period,evidence_class,control_variance_quantile_band,control_variance_q25,control_variance_q50,control_variance_q75,model_key,model_identity,games,mean_predictive_variance,mean_mean_minus_median_gap,mean_actual,mean_mae,median_mae,median_minus_mean_mae
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,16.332340172535154,17.18735746523216,18.36467216478615,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,320,21.55570894386422,0.5442819072719891,9.846875,3.7717787531082876,3.775,0.003221246891712326
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,15.898274529282338,16.818143431327975,17.86216615320211,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,110,15.306119066550902,0.6762116949464826,9.345454545454546,3.337217867412791,3.5454545454545454,0.2082366780417546
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,15.898274529282338,16.818143431327975,17.86216615320211,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,110,17.610795239403785,0.44893278746401466,9.345454545454546,3.2723972529636556,3.309090909090909,0.036693656127253504
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,15.898274529282338,16.818143431327975,17.86216615320211,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,110,16.353201036231813,0.5129616656312069,8.072727272727272,3.258256233096398,3.2363636363636363,-0.02189259673276167
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,15.898274529282338,16.818143431327975,17.86216615320211,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,110,18.570384882473018,0.6274919010706115,8.072727272727272,3.4310286095927247,3.2818181818181817,-0.14921042777454296
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,15.898274529282338,16.818143431327975,17.86216615320211,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,109,17.289536022280934,0.3225229376755628,8.477064220183486,3.7976092137658464,3.7247706422018347,-0.07283857156401163
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,15.898274529282338,16.818143431327975,17.86216615320211,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,109,19.599988652504013,0.5628679784481688,8.477064220183486,3.945654459560934,3.761467889908257,-0.184186569652677
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,15.898274529282338,16.818143431327975,17.86216615320211,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,110,19.67443340444501,0.6802990149979913,9.809090909090909,4.321046914667764,4.245454545454545,-0.07559236921321855
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,15.898274529282338,16.818143431327975,17.86216615320211,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,110,21.617301723189843,0.5555084132016279,9.809090909090909,4.414064746049685,4.345454545454546,-0.06861020059513923
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q1_LOWEST,15.367149859203973,16.11875484554655,17.063057096877206,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,32,14.94261767955749,0.5541912017829012,8.4375,2.7846067756257145,2.75,-0.03460677562571446
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q1_LOWEST,15.367149859203973,16.11875484554655,17.063057096877206,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,32,17.540142518738673,0.45282328614909273,8.4375,2.8597033212165908,2.875,0.015296678783409234
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q2,15.367149859203973,16.11875484554655,17.063057096877206,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,31,15.767363795447555,0.83017427945318,8.193548387096774,2.9403380506272216,3.129032258064516,0.18869420743729437
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q2,15.367149859203973,16.11875484554655,17.063057096877206,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,31,18.051789753586814,0.5503639404026829,8.193548387096774,2.7992904863330703,2.903225806451613,0.10393532011854267
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q3,15.367149859203973,16.11875484554655,17.063057096877206,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,31,16.527359395973374,0.33655702638797597,7.935483870967742,3.8898267238988544,3.870967741935484,-0.018858981963370436
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q3,15.367149859203973,16.11875484554655,17.063057096877206,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,31,19.00057284285288,0.6157226606721885,7.935483870967742,3.928425120675601,3.838709677419355,-0.08971544325624592
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q4_HIGHEST,15.367149859203973,16.11875484554655,17.063057096877206,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,32,18.66014072303914,0.5832553675485346,9.84375,3.4574700516683663,3.5625,0.1050299483316337
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,Q4_HIGHEST,15.367149859203973,16.11875484554655,17.063057096877206,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,32,20.482645724955145,0.5291590604110046,9.84375,3.5033480806361785,3.46875,-0.03459808063617853
