row_type,period,evidence_class,game_date,game_pk,model_key,model_identity,distribution_mean,distribution_median,market_total_line,absolute_mean_minus_market_line,absolute_median_minus_market_line,market_status,market_snapshot_timestamp_utc,sportsbook_provider,interpretation,games_with_governed_line,mean_absolute_mean_minus_market_line,mean_absolute_median_minus_market_line
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,823675,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.571435234732478,8.0,8.0,0.571435234732478,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,823918,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.878608622052052,7.0,7.5,0.37860862205205237,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,823998,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.357210642434513,8.0,8.0,0.35721064243451295,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,824887,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.953364944049966,7.0,8.5,0.5466350559500341,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,824969,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,9.723573134814238,9.0,10.0,0.276426865185762,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-10,825048,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.445726599114565,8.0,8.5,0.05427340088543531,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-10T12:44:42Z,BetRivers,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,822697,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.835534472542005,8.0,9.0,0.16446552745799536,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T20:17:48Z,FanDuel,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,822778,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.237171220959544,8.0,7.0,1.237171220959544,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823019,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.002540967339032,7.0,8.0,0.002540967339031752,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823186,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.672305312744075,7.0,8.0,0.3276946872559252,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T18:18:09Z,Pinnacle,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823264,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.5490449234519925,7.0,7.5,0.04904492345199252,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823512,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.967648283195693,7.0,8.0,0.03235171680430682,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823673,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.602300549336602,8.0,9.5,0.8976994506633975,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823832,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.117596578293712,8.0,7.0,1.1175965782937123,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823917,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.943111887602854,7.0,8.5,0.5568881123971456,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-11,823997,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.058873516785129,8.0,9.0,0.9411264832148714,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-11T12:49:21Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
