period,side,support_state,variant,experience_signal_shape,chronological_growth_after_n3,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,AWAY,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,2290,8.982478377209361,8.875109170305677,-0.10736920690368344,3.6145223108522537,4.5723034486216205,2.519526495253879,0.22634909755989674,0.6442644646472775,0.014715107543503277
FROZEN_2025_VALIDATION,AWAY,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,2290,8.979636478162629,8.875109170305677,-0.10452730785695115,3.6143720508121517,4.572421832062887,2.519588295063473,0.22635617980510278,0.6442814508424554,0.01423482942142371
2026_SEQUENTIAL_EARLY,HOME,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,23,9.283083973032223,8.521739130434783,-0.7613448425974431,3.966525409085605,4.690999384109128,2.6382913888936073,0.23312822436572259,0.6589085728957466,0.10525692622932115
2026_SEQUENTIAL_EARLY,HOME,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,23,9.263573064290158,8.521739130434783,-0.7418339338553761,3.9594986180758305,4.689493066952252,2.637241905495816,0.2329177755011429,0.6584739434928438,0.10368797733578747
2026_SEQUENTIAL_EARLY,HOME,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,36,9.217729325700422,9.5,0.2822706742995789,3.77608606198259,4.67536895878971,2.596202278869059,0.24139029323608766,0.6762268444278328,0.05717530366886173
2026_SEQUENTIAL_EARLY,HOME,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,36,9.216135616630668,9.5,0.283864383369333,3.775776833320054,4.674766287577374,2.595933409218885,0.24136010714354708,0.6761585306361952,0.05719689812972532
2026_SEQUENTIAL_EARLY,HOME,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,1222,8.963928141643162,8.983633387888707,0.019705246245543383,3.540692068904667,4.469259010443625,2.482186001579461,0.22431560066902467,0.6399972129419513,0.005173454813307601
2026_SEQUENTIAL_EARLY,HOME,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,1222,8.961720357801598,8.983633387888707,0.021913030087110104,3.5402891219225183,4.469017464714385,2.482040085624056,0.22429855142334243,0.6399611681996237,0.00462913796634597
2026_SEQUENTIAL_EARLY,AWAY,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,32,9.061384491611559,9.71875,0.657365508388442,3.3241609649904413,3.8459407711916604,2.268143718675258,0.23339333726222122,0.6586385437380388,0.09480562572561028
2026_SEQUENTIAL_EARLY,AWAY,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,32,9.097601973738922,9.71875,0.6211480262610771,3.3155909519459126,3.837838898896246,2.2629918741509547,0.23274185551789897,0.657240509355816,0.09007463285994001
2026_SEQUENTIAL_EARLY,AWAY,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,54,8.815089927930758,8.907407407407407,0.09231747947664969,3.3147180315639115,4.108621765139262,2.339265627112338,0.22986789317898143,0.6524776250344383,0.042552668450756934
2026_SEQUENTIAL_EARLY,AWAY,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,54,8.79136962500745,8.907407407407407,0.11603778239995571,3.317166794085391,4.109246441451533,2.3401680178418633,0.23001683371667134,0.652810310624434,0.03883360294170423
2026_SEQUENTIAL_EARLY,AWAY,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,1195,8.981832817031858,8.974058577405858,-0.007774239626001327,3.5719890931026774,4.510956996009652,2.5008153431399713,0.22450561565724086,0.6403894833804115,0.004258771314622682
2026_SEQUENTIAL_EARLY,AWAY,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,1195,8.979253654394043,8.974058577405858,-0.005195076988185083,3.5715513170390825,4.510822382999199,2.5007350110917064,0.22449393651526808,0.6403646044101031,0.003859011469955424
2026_LATE_HOLDOUT,HOME,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,9,9.146855421394152,8.88888888888889,-0.25796653250526247,3.8049599283964906,4.156827405276686,2.4315808409378876,0.2492515221360613,0.6937257394457389,0.09475687813189207
2026_LATE_HOLDOUT,HOME,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,9,9.125494601918243,8.88888888888889,-0.2366057130293555,3.802870582216082,4.155633242254976,2.431713325675747,0.24930943767549235,0.6939217469589155,0.09465106219539701
2026_LATE_HOLDOUT,HOME,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,10,9.380941156313654,10.1,0.7190588436863472,4.110587655927317,6.472874650086095,3.0271919663134623,0.22175971227443636,0.6342370623014291,0.07512990612687184
2026_LATE_HOLDOUT,HOME,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,10,9.377576402118395,10.1,0.7224235978816038,4.108873899084384,6.472516291968534,3.026601717185797,0.22168378314184486,0.6340813031242049,0.0749118941635801
2026_LATE_HOLDOUT,HOME,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,420,8.920795572586082,8.9,-0.020795572586082046,3.756309016961827,4.602068907182301,2.5732342261193004,0.22884614250136026,0.6496794395257948,0.023807484210805044
2026_LATE_HOLDOUT,HOME,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,420,8.918778996951646,8.9,-0.018778996951646136,3.756529559660722,4.602577315535369,2.5735854775178386,0.22888368819093727,0.6497626478459654,0.023719578693745302
2026_LATE_HOLDOUT,AWAY,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,8,8.845826432483792,7.0,-1.8458264324837923,4.494386283817147,5.215520080938942,2.8376240734607214,0.22936368019030165,0.6504944993186038,0.27971925006738896
2026_LATE_HOLDOUT,AWAY,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,8,8.8828700603734,7.0,-1.8828700603733994,4.522828469398975,5.229502367914033,2.85017663429816,0.23115684817044124,0.6543182082495966,0.28282554999027576
2026_LATE_HOLDOUT,AWAY,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,12,8.569747243396606,10.166666666666666,1.5969194232700616,4.330273242244229,5.38981302440537,3.1046510365508175,0.24577522733728735,0.6877680103879483,0.09618504702660163
2026_LATE_HOLDOUT,AWAY,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,12,8.547003097783334,10.166666666666666,1.6196635688833319,4.329960199994235,5.397087418716185,3.109293966752706,0.24612179928799952,0.688599853214736,0.09731847925005288
2026_LATE_HOLDOUT,AWAY,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,419,8.948118550026752,8.928400954653938,-0.019717595372813205,3.7352790784280216,4.609701255389148,2.5607582748815902,0.2286205930858481,0.6491505841519225,0.023766019710810563
2026_LATE_HOLDOUT,AWAY,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,419,8.94550213962232,8.928400954653938,-0.01710118496838271,3.734880284327373,4.609628712160625,2.5607264844511084,0.22861349745554183,0.6491376538057378,0.023186384293670308
PROSPECTIVE_AUG06_15,HOME,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,1,9.628214326330463,18.0,8.371785673669537,8.371785673669537,8.371785673669537,6.102872367572104,0.2609866404801313,0.7157391320787815,0.4896351469159434
PROSPECTIVE_AUG06_15,HOME,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,1,9.605575689076401,18.0,8.394424310923599,8.394424310923599,8.394424310923599,6.125787865016533,0.26275967631266556,0.7195976182653997,0.4914094888618178
PROSPECTIVE_AUG06_15,HOME,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,3,8.904545988075409,6.333333333333333,-2.571212654742076,2.571212654742076,2.7022500804833793,1.4491446489364561,0.18479318214732932,0.5540611455797715,0.37077593078548743
PROSPECTIVE_AUG06_15,HOME,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,3,8.902865237952307,6.333333333333333,-2.569531904618973,2.569531904618973,2.7005216287982066,1.4483953017972333,0.18469027508346578,0.5538390338328869,0.3706485371982106
PROSPECTIVE_AUG06_15,HOME,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,122,8.755985798628586,8.59016393442623,-0.165821864202356,3.246650860972637,4.020319516406403,2.2675565033826652,0.22015641526802268,0.631133427986862,0.020762487111408327
PROSPECTIVE_AUG06_15,HOME,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,122,8.753534580233474,8.59016393442623,-0.16337064580724522,3.246994365438774,4.020536323476831,2.267706064825628,0.22017755547237683,0.6311798272233065,0.020446204520991284
PROSPECTIVE_AUG06_15,AWAY,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,1,8.72005359082615,3.0,-5.720053590826151,5.720053590826151,5.720053590826151,3.4559654877463997,0.21200360235334506,0.6106096006567199,0.4360660866262942
PROSPECTIVE_AUG06_15,AWAY,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,1,8.757083996751387,3.0,-5.757083996751387,5.757083996751387,5.757083996751387,3.4834268281523735,0.2147618268583743,0.6166478741916551,0.43921013735189696
PROSPECTIVE_AUG06_15,AWAY,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,2,8.868728570169067,8.0,-0.8687285701690666,1.1455755125650615,1.4377178386653948,1.1203086608997634,0.15894832337480355,0.5012517107609201,0.22357706393945662
PROSPECTIVE_AUG06_15,AWAY,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,2,8.845202121793198,8.0,-0.8452021217931982,1.1486886545988089,1.4261319195248894,1.1177771406696433,0.15858356903202195,0.500370705247237,0.22219871483189724
PROSPECTIVE_AUG06_15,AWAY,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,123,8.765159422699837,8.666666666666666,-0.09849275603316943,3.2858993826065137,4.059539005544322,2.2877692432318755,0.2206873869960808,0.6322202256994853,0.01948060076142718
PROSPECTIVE_AUG06_15,AWAY,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,123,8.762584568707963,8.666666666666666,-0.09591790204129631,3.286031474002943,4.059744869761861,2.2879035168263675,0.22070376670138714,0.6322574337912303,0.019162945654448763
