period,control_raw_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_SEQUENTIAL_EARLY,7.5-7.99,D_LOW_DEPTH,295,8.499956067557402,8.769491525423728,0.26953545786632727,3.4870782829623925,4.346817738691346,2.4373896128922854,0.22829038080689934,0.6485895393721329,0.029678858438945525
2026_SEQUENTIAL_EARLY,8.0-8.49,A_CONTROL,523,8.23163642777618,8.665391969407265,0.43375554163108604,3.3957620878659682,4.345474822580868,2.4105277326142587,0.22146034075939197,0.633886081853877,0.023947040140050276
2026_SEQUENTIAL_EARLY,8.0-8.49,B_PARK_ONLY,523,8.68822228465505,8.665391969407265,-0.02283031524778441,3.447173183019762,4.334332556218794,2.4081749390554195,0.22191689072950863,0.6347292329810081,0.01635647452405133
2026_SEQUENTIAL_EARLY,8.0-8.49,C_CONFIDENCE_ONLY,523,8.855591741843458,8.665391969407265,-0.1901997724361928,3.462390890199346,4.3298704474255425,2.405445566850807,0.22174280844969582,0.6344025372914491,0.030227208563812145
2026_SEQUENTIAL_EARLY,8.0-8.49,D_LOW_DEPTH,523,8.853003573092733,8.665391969407265,-0.1876116036854661,3.461679800785848,4.329455740732701,2.4051807781074688,0.22170587029454766,0.6343218324577857,0.030466373360996626
2026_SEQUENTIAL_EARLY,8.5-8.99,A_CONTROL,307,8.707503326130977,8.947882736156352,0.24037941002537402,3.4230305980745817,4.246096840192321,2.416456311897377,0.22724412317199583,0.646436734443313,0.04600019246321287
2026_SEQUENTIAL_EARLY,8.5-8.99,B_PARK_ONLY,307,9.03084525124423,8.947882736156352,-0.08296251508787941,3.4457479747230844,4.256018038213534,2.416175491626781,0.226599637220482,0.6450907275547603,0.019140005981164818
2026_SEQUENTIAL_EARLY,8.5-8.99,C_CONFIDENCE_ONLY,307,9.209088537438532,8.947882736156352,-0.26120580128218013,3.452893440949426,4.262100088926896,2.4155233382502304,0.22596834554193782,0.6437310426203678,0.010071716242246584
2026_SEQUENTIAL_EARLY,8.5-8.99,D_LOW_DEPTH,307,9.207562916382404,8.947882736156352,-0.2596801802260524,3.452313182983259,4.261728354560299,2.415278875337853,0.22593382412682095,0.6436556411384472,0.01057968590873931
2026_SEQUENTIAL_EARLY,9.0-9.49,A_CONTROL,60,9.167150403294812,9.466666666666667,0.29951626337185566,4.337305266284999,5.3115295344934,3.0019798474023576,0.2413636624216993,0.6762950206573034,0.03418606763531319
2026_SEQUENTIAL_EARLY,9.0-9.49,B_PARK_ONLY,60,9.383533531603279,9.466666666666667,0.08313313506339014,4.37273459145401,5.336204253951259,3.014119639340074,0.24241784507438524,0.6785385257393617,0.046745706610310175
2026_SEQUENTIAL_EARLY,9.0-9.49,C_CONFIDENCE_ONLY,60,9.558792482056079,9.466666666666667,-0.09212581538941181,4.411226088418343,5.337724012406938,3.015420700173221,0.24317584752895288,0.680193090894856,0.052616330378165904
2026_SEQUENTIAL_EARLY,9.0-9.49,D_LOW_DEPTH,60,9.55655555267748,9.466666666666667,-0.08988888601081411,4.408860863908733,5.3364966891412715,3.0145423635946034,0.24304844391709354,0.6799224690142327,0.04920135368284665
2026_SEQUENTIAL_EARLY,9.5-9.99,A_CONTROL,37,9.812892055438706,12.297297297297296,2.4844052418585925,4.914906598780278,7.034602418859292,3.7304108280986057,0.2227908424691908,0.6359357947556764,0.12388721630110794
2026_SEQUENTIAL_EARLY,9.5-9.99,B_PARK_ONLY,37,9.971085955058589,12.297297297297296,2.3262113422387074,5.099342154260102,7.200919194833514,3.8215389582336163,0.2336288572842144,0.6593433797548841,0.1130402855778569
2026_SEQUENTIAL_EARLY,9.5-9.99,C_CONFIDENCE_ONLY,37,10.137251712824442,12.297297297297296,2.1600455844728557,5.034667758653305,7.126956340674231,3.7641047024183534,0.22804238870648585,0.6471371483884966,0.10075979757650723
2026_SEQUENTIAL_EARLY,9.5-9.99,D_LOW_DEPTH,37,10.132221037904102,12.297297297297296,2.1650762593931927,5.033941744428679,7.126308328224361,3.7635079543205903,0.22801334602024703,0.6470686214059325,0.10113087277853378
2026_SEQUENTIAL_EARLY,>=10.0,A_CONTROL,47,10.287519870985681,11.425531914893616,1.1380120439079366,3.443405582403717,4.506304499035709,2.5674238583463245,0.20855726502632707,0.6055074782894391,0.1313934792284204
