period,feature,support_band,training_max,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,C_CONFIDENCE_ONLY,1854,9.007008141533072,8.950377562028047,-0.056630579505024425,3.5834918886718485,4.578352765596543,2.5114665407115866,0.22526237746744548,0.6419631029354702,0.010562362109411128
FROZEN_2025_VALIDATION,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,D_LOW_DEPTH,1854,9.004383607842025,8.950377562028047,-0.05400604581397801,3.583977354228997,4.579073277146963,2.5118913256650153,0.22530822107948645,0.6420647975616346,0.010119705976164548
FROZEN_2025_VALIDATION,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,A_CONTROL,579,8.745277869129794,8.689119170984457,-0.05615869814533819,3.6993434921962556,4.563797920137272,2.5588479038252236,0.22945094928734824,0.6508795515001564,0.020341967277917053
FROZEN_2025_VALIDATION,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,B_PARK_ONLY,579,8.781170119034078,8.689119170984457,-0.0920509480496227,3.7163378436290393,4.579442803786185,2.5688669890404694,0.23064087702226785,0.6536057993244847,0.022846505266618605
FROZEN_2025_VALIDATION,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,C_CONFIDENCE_ONLY,579,8.892366634690367,8.689119170984457,-0.2032474637059113,3.71888432988149,4.5743818913588825,2.564822195617893,0.23011633736122133,0.6523350661386389,0.023451263368762586
FROZEN_2025_VALIDATION,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,D_LOW_DEPTH,579,8.889341686491974,8.689119170984457,-0.20022251550751893,3.7185582326157784,4.574165413868468,2.56471860128939,0.2301079370622987,0.6523158015607782,0.023305392569673972
FROZEN_2025_VALIDATION,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,A_CONTROL,1917,8.676790600681182,8.833072509128847,0.15628190844766576,3.5678435505608945,4.539544536749755,2.5094093442907304,0.22628113941258712,0.6443747314176448,0.013030067954540672
FROZEN_2025_VALIDATION,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,B_PARK_ONLY,1917,8.92625262164895,8.833072509128847,-0.09318011252010341,3.583886689995689,4.528740589233247,2.503376141565433,0.22562714864753428,0.6427570046132182,0.013788872367557884
FROZEN_2025_VALIDATION,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,C_CONFIDENCE_ONLY,1917,8.985414539714817,8.833072509128847,-0.15234203058597137,3.5895715200645526,4.5302383752388,2.5042304435057106,0.22569603351611187,0.6429077639055348,0.01590291486063317
FROZEN_2025_VALIDATION,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,D_LOW_DEPTH,1917,8.98279258737962,8.833072509128847,-0.14972007825077407,3.5899385524441114,4.530742213503832,2.5045433336140865,0.2257313636409738,0.6429859924880028,0.015700850277655942
FROZEN_2025_VALIDATION,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,A_CONTROL,516,8.65965522139629,9.093023255813954,0.4333680344176644,3.706293913503779,4.780309518579709,2.6140209619430426,0.2305457008250662,0.6534368340857264,0.03075230502901537
FROZEN_2025_VALIDATION,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,B_PARK_ONLY,516,8.63914905020685,9.093023255813954,0.45387420560710373,3.7025239177159044,4.772991022142215,2.6107675154722916,0.2303224486610462,0.6529363230818589,0.03127195256275736
FROZEN_2025_VALIDATION,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,C_CONFIDENCE_ONLY,516,8.958592448168083,9.093023255813954,0.1344308076458707,3.7128282647969812,4.748546937324473,2.59821949135968,0.2290978893534975,0.6500918851351231,0.016237383137336373
FROZEN_2025_VALIDATION,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,D_LOW_DEPTH,516,8.955509022114796,9.093023255813954,0.13751423369915738,3.712843074398709,4.749023282443312,2.5984670879676197,0.22912192507886062,0.6501450313632942,0.016296956862828393
2026_SEQUENTIAL_EARLY,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,A_CONTROL,45,10.057321721617685,12.266666666666667,2.2093449450489833,4.107265230347972,6.323356353649164,3.250074021772053,0.2072216972705842,0.602576339556311,0.1554079624031229
2026_SEQUENTIAL_EARLY,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,B_PARK_ONLY,45,9.637428855191907,12.266666666666667,2.6292378114747597,4.27570008264425,6.55042278411646,3.3743930099636517,0.2206748624017444,0.6319371685839095,0.18569855896926382
2026_SEQUENTIAL_EARLY,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,C_CONFIDENCE_ONLY,45,9.78169941044603,12.266666666666667,2.484967256220637,4.207776079057556,6.487491380539954,3.3315216521779285,0.21569716496139016,0.6211741737581105,0.17443684144893845
2026_SEQUENTIAL_EARLY,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,D_LOW_DEPTH,45,9.77854985497334,12.266666666666667,2.488116811693327,4.207361497198978,6.487139894203856,3.331073339495405,0.21565767753043572,0.6210888467030147,0.17466931787407175
2026_SEQUENTIAL_EARLY,park_history_depth,ABOVE_TRAINING_MAX,161.0,A_CONTROL,1236,8.352531177894893,8.870550161812298,0.5180189839174065,3.4995993942011183,4.420255929649376,2.4780264949211337,0.22761591150161048,0.6476390819142623,0.046110665854457306
2026_SEQUENTIAL_EARLY,park_history_depth,ABOVE_TRAINING_MAX,161.0,B_PARK_ONLY,1236,8.789773749766162,8.870550161812298,0.08077641204613499,3.521594869712523,4.392642033054926,2.4609539015514863,0.22579930003911838,0.6431838068421056,0.009280960859689857
2026_SEQUENTIAL_EARLY,park_history_depth,ABOVE_TRAINING_MAX,161.0,C_CONFIDENCE_ONLY,1236,8.947486167251482,8.870550161812298,-0.07693600543918365,3.5311852486118567,4.388835361391035,2.457489323273409,0.22529068876310385,0.6420896601714834,0.005202113051353869
2026_SEQUENTIAL_EARLY,park_history_depth,ABOVE_TRAINING_MAX,161.0,D_LOW_DEPTH,1236,8.945008573169199,8.870550161812298,-0.07445841135690033,3.5306621956558493,4.388562435590594,2.457334021774747,0.22527047495481298,0.6420470527844199,0.004417803066038337
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,A_CONTROL,860,8.282671867016834,8.997674418604651,0.7150025515878167,3.5856626448207813,4.630748986025056,2.5673355893483585,0.229601562188275,0.6522657629115595,0.06041643286135809
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,B_PARK_ONLY,860,8.811189508721007,8.997674418604651,0.18648490988364377,3.6142024677144065,4.60576183426363,2.5472627762664626,0.22724083256765204,0.6464068553668836,0.01507446032437911
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,C_CONFIDENCE_ONLY,860,8.966404093120135,8.997674418604651,0.03127032548451649,3.627131990474847,4.602642256250187,2.545162615374179,0.22691664901883285,0.6456970998268683,0.006703305729987764
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,D_LOW_DEPTH,860,8.963696279435467,8.997674418604651,0.033978139169183644,3.626717380760366,4.602429844928217,2.5450468261168586,0.22690656013202304,0.6456788595828437,0.006219151594170898
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,A_CONTROL,421,8.67745892569217,8.973871733966746,0.29641280827457595,3.388745634328668,4.222832779291847,2.3781127597688236,0.22137980881532143,0.6333712219052761,0.03187930448709441
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,B_PARK_ONLY,421,8.836631058656879,8.973871733966746,0.1372406753098656,3.413025274226319,4.231047257659973,2.3822819956694623,0.2223068590219669,0.6353977725121106,0.01664114589699632
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,C_CONFIDENCE_ONLY,421,8.998009159405195,8.973871733966746,-0.024137425438447765,3.407509213856239,4.215993327118341,2.371818120408898,0.22094381372508937,0.6324849214725934,0.01396773347079007
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,D_LOW_DEPTH,421,8.995930022794363,8.973871733966746,-0.022058288827617498,3.40677623218686,4.215575085522585,2.3715507855828557,0.22090085705339338,0.6323879717385587,0.014876275920019867
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,A_CONTROL,860,8.391109239160421,9.0,0.6088907608395795,3.6277338329648643,4.619709704157155,2.568745942251886,0.22727304971722548,0.6468950066069578,0.04756469064839814
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,B_PARK_ONLY,860,8.920088665022028,9.0,0.07991133497797248,3.6633142058064356,4.60811325819752,2.5570150292149383,0.22598358135491609,0.6434757598485324,0.011714591515795129
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,C_CONFIDENCE_ONLY,860,8.963423269061586,9.0,0.03657673093841418,3.6659566365425307,4.606169356030371,2.556587039790012,0.22596678941935383,0.6434291427607095,0.01121625042840127
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,D_LOW_DEPTH,860,8.961065002955822,9.0,0.03893499704417819,3.665428149942527,4.605856219954736,2.556391692889194,0.22594276676316394,0.6433793382514845,0.011531073033647851
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,A_CONTROL,421,8.45594790421121,8.969121140142517,0.513173235931307,3.3028044899013245,4.2474603743760575,2.375231753837627,0.22613639011010186,0.6443423630500683,0.05564152501012584
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,B_PARK_ONLY,421,8.614176725120354,8.969121140142517,0.3549444150221631,3.3127020087651666,4.225813900081785,2.3623605288388476,0.2248751156560593,0.6413852835472222,0.04170807797910484
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,C_CONFIDENCE_ONLY,421,9.004098253681565,8.969121140142517,-0.034977113539046395,3.3281999606063386,4.208117183361374,2.348480816376556,0.222884144498372,0.6371178028904002,0.013231503814299205
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,D_LOW_DEPTH,421,9.001305076885801,8.969121140142517,-0.03218393674328357,3.3276996015534674,4.207923744938469,2.3483759983519548,0.22286965110854495,0.6370853312277955,0.01370531178935422
2026_LATE_HOLDOUT,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,A_CONTROL,14,10.01645474915283,12.0,1.9835452508471687,4.731561556597367,6.194697640283848,3.357580548134621,0.23107338987465914,0.6534298111304393,0.07813779002217816
2026_LATE_HOLDOUT,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,B_PARK_ONLY,14,9.9070326946142,12.0,2.0929673053857987,4.734149455200368,6.210419376585039,3.3889191001524543,0.23607068968904568,0.6645905803181297,0.0861647361648527
2026_LATE_HOLDOUT,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,C_CONFIDENCE_ONLY,14,10.100774783133414,12.0,1.8992252168665886,4.683571579494811,6.116066368869392,3.313831033410739,0.2283316878008038,0.6476483763575471,0.1081001523558695
2026_LATE_HOLDOUT,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,D_LOW_DEPTH,14,10.099491918959147,12.0,1.9005080810408514,4.684219114680305,6.1174108162024075,3.3145218730582635,0.22837567697240338,0.6477445015073207,0.10814549947489918
2026_LATE_HOLDOUT,park_history_depth,ABOVE_TRAINING_MAX,161.0,A_CONTROL,425,8.20839198831017,8.825882352941177,0.617490364631008,3.643564362770774,4.622638258243792,2.5773960482451344,0.23051832781588652,0.6543863611125286,0.04323779113309781
2026_LATE_HOLDOUT,park_history_depth,ABOVE_TRAINING_MAX,161.0,B_PARK_ONLY,425,8.716994158744376,8.825882352941177,0.1088881941967994,3.726737874941736,4.605145281653057,2.5691736290433567,0.23053557909540617,0.6536599474003698,0.03373172993980193
2026_LATE_HOLDOUT,park_history_depth,ABOVE_TRAINING_MAX,161.0,C_CONFIDENCE_ONLY,425,8.89753977383052,8.825882352941177,-0.07165742088934253,3.7351301198256035,4.587964381257068,2.5565197358445446,0.22912846363136227,0.6503157402584802,0.02752097462724716
2026_LATE_HOLDOUT,park_history_depth,ABOVE_TRAINING_MAX,161.0,D_LOW_DEPTH,425,8.895057664218145,8.825882352941177,-0.06917531127696815,3.735242168665336,4.588374513171932,2.5568330151473333,0.22916355843077152,0.650395289007236,0.02741327540527326
2026_LATE_HOLDOUT,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,A_CONTROL,282,8.186752449452943,8.790780141843971,0.6040276923910289,3.5336594962644554,4.493799275328141,2.4930330892993924,0.22928927378331604,0.6515073452448016,0.04942733357857023
2026_LATE_HOLDOUT,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,B_PARK_ONLY,282,8.794100457750655,8.790780141843971,-0.0033203159066847346,3.632830249761692,4.491597301569499,2.4914660539948033,0.22967301375917126,0.6515418201243204,0.03216536656554961
2026_LATE_HOLDOUT,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,C_CONFIDENCE_ONLY,282,8.98733551543169,8.790780141843971,-0.1965553735877189,3.6319717354992127,4.462968332563169,2.4719290693392595,0.22746655000165356,0.6465143154765572,0.02535404307922714
2026_LATE_HOLDOUT,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,D_LOW_DEPTH,282,8.984609230450806,8.790780141843971,-0.19382908860683287,3.632183700408653,4.463571542440488,2.4723273807769286,0.22751160402107437,0.6466164995334734,0.024788031078417896
2026_LATE_HOLDOUT,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,A_CONTROL,157,8.408488985823132,9.171974522292993,0.7634855364698638,3.9379919619322656,4.999490355467451,2.7984975604817732,0.23277542403249615,0.6594722896153934,0.03737289584898776
2026_LATE_HOLDOUT,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,B_PARK_ONLY,157,8.68461558028837,9.171974522292993,0.4873589420046243,3.9852455973901004,4.9609338576998425,2.78184861477087,0.23257847701342665,0.6584391878633926,0.038003085057818034
2026_LATE_HOLDOUT,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,C_CONFIDENCE_ONLY,157,8.843545448981539,9.171974522292993,0.3284290733114547,4.004995373426946,4.95379266464854,2.7759906028535717,0.23204250682849623,0.6569059230221057,0.03332482933902587
2026_LATE_HOLDOUT,home_starter_prior_starts,ABOVE_TRAINING_MAX,65.0,D_LOW_DEPTH,157,8.841608860961864,9.171974522292993,0.3303656613311295,4.004975705560839,4.953992791969114,2.776184817078588,0.2320605062213285,0.6569462928709444,0.03415232559226582
2026_LATE_HOLDOUT,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,A_CONTROL,283,8.26233617222812,8.802120141342757,0.5397839691146389,3.6670325362737426,4.738245627989207,2.60605028001773,0.2240392955897585,0.6398779311321979,0.02727105987979208
2026_LATE_HOLDOUT,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,B_PARK_ONLY,283,8.88949576216184,8.802120141342757,-0.08737562081908366,3.794586107230144,4.736623171563047,2.61188056240195,0.22623618222627978,0.6441047921243381,0.0429593662170714
2026_LATE_HOLDOUT,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,C_CONFIDENCE_ONLY,283,8.938901755132386,8.802120141342757,-0.13678161378963025,3.793696191293424,4.728704595132236,2.607567857484216,0.22582878918290075,0.6431374719263756,0.04537111497094355
2026_LATE_HOLDOUT,away_starter_prior_starts,WITHIN_TRAINING_SUPPORT,66.0,D_LOW_DEPTH,283,8.936802977579127,8.802120141342757,-0.13468283623637106,3.794042762328712,4.729387059050831,2.6080216584584446,0.2258761232190489,0.6432424244967324,0.04521610306595608
2026_LATE_HOLDOUT,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,A_CONTROL,156,8.272793748585922,9.153846153846153,0.8810524052602307,3.6986314628491845,4.575119678021145,2.5954308905964703,0.24232177005189331,0.6806202969117873,0.08423295238090556
2026_LATE_HOLDOUT,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,B_PARK_ONLY,156,8.510856887815118,9.153846153846153,0.642989266031036,3.69406295433918,4.531814241408641,2.565265772985955,0.23883186667408396,0.6719749333232263,0.06434300630268532
2026_LATE_HOLDOUT,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,C_CONFIDENCE_ONLY,156,8.930487526534442,9.153846153846153,0.22335862731171163,3.714001800658781,4.48760893823369,2.5318770418823626,0.23504290598576463,0.663098476433945,0.03183670282991639
