variant,term,control_coefficient,candidate_coefficient,candidate_minus_control,absolute_change,sign_flip,mechanically_count_style_term,status,coefficient_reassignment_risk
D_LOW_DEPTH,away_offense,0.013564475744245507,0.0137783584727436,0.00021388272849809375,0.00021388272849809375,False,False,RETAINED,LOW
D_LOW_DEPTH,away_prevention,-0.013586090275206979,-0.011824413397986008,0.0017616768772209714,0.0017616768772209714,False,False,RETAINED,LOW
D_LOW_DEPTH,home_starter_ra9,0.013753975761015624,0.014303057616141852,0.0005490818551262284,0.0005490818551262284,False,False,RETAINED,LOW
D_LOW_DEPTH,away_starter_ra9,0.006799765020473005,0.007021940959486699,0.00022217593901369386,0.00022217593901369386,False,False,RETAINED,LOW
D_LOW_DEPTH,home_starter_prior_starts,0.012677233712015375,nan,nan,nan,False,False,REMOVED,LOW
D_LOW_DEPTH,away_starter_prior_starts,0.0008268356527004493,nan,nan,nan,False,False,REMOVED,LOW
D_LOW_DEPTH,home_expected_outs,-0.011065970207803344,-0.007365059471617398,0.0037009107361859455,0.0037009107361859455,False,False,RETAINED,LOW
D_LOW_DEPTH,away_expected_outs,0.007419496809107899,0.007517685630347751,9.818882123985209e-05,9.818882123985209e-05,False,False,RETAINED,LOW
D_LOW_DEPTH,home_workload_uncertainty_outs,0.010362819278096425,0.010834896218853078,0.0004720769407566532,0.0004720769407566532,False,False,RETAINED,LOW
D_LOW_DEPTH,away_workload_uncertainty_outs,0.0014323801126656583,0.001812188688078412,0.0003798085754127536,0.0003798085754127536,False,False,RETAINED,LOW
D_LOW_DEPTH,home_bullpen_ra9,0.015070549615556185,0.011501527378982437,-0.0035690222365737483,0.0035690222365737483,False,False,RETAINED,LOW
D_LOW_DEPTH,away_bullpen_ra9,0.010854280711089645,0.0088451402756002,-0.0020091404354894444,0.0020091404354894444,False,False,RETAINED,LOW
D_LOW_DEPTH,home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.01326482769287063,-0.00242037856391719,0.00242037856391719,False,True,RETAINED,LOW
D_LOW_DEPTH,away_bullpen_likely_available_reliever_count,0.003558827664027518,0.002007110387190432,-0.001551717276837086,0.001551717276837086,False,True,RETAINED,LOW
D_LOW_DEPTH,home_bullpen_recent_innings_burden,-0.000834537374008508,-0.002500392214595576,-0.0016658548405870679,0.0016658548405870679,False,False,RETAINED,LOW
D_LOW_DEPTH,away_bullpen_recent_innings_burden,0.007154814495771844,0.006346316698432979,-0.0008084977973388651,0.0008084977973388651,False,False,RETAINED,LOW
D_LOW_DEPTH,strict_prior_total_run_factor,0.04347158492532503,0.045218025259556524,0.0017464403342314916,0.0017464403342314916,False,False,RETAINED,LOW
D_LOW_DEPTH,park_history_depth,-0.02681303790069205,nan,nan,nan,False,False,REMOVED,LOW
D_LOW_DEPTH,game_number,0.003839049993724805,0.0034111805495585412,-0.00042786944416626366,0.00042786944416626366,False,True,RETAINED,LOW
D_LOW_DEPTH,home_starter_n0,nan,-0.000515992700546288,nan,nan,False,False,ADDED_BOUNDED_STATE,LOW
D_LOW_DEPTH,home_starter_n1_2,nan,-3.517676678766079e-06,nan,nan,False,False,ADDED_BOUNDED_STATE,LOW
D_LOW_DEPTH,away_starter_n0,nan,0.0010208243010761265,nan,nan,False,False,ADDED_BOUNDED_STATE,LOW
D_LOW_DEPTH,away_starter_n1_2,nan,-0.00074249175570067,nan,nan,False,False,ADDED_BOUNDED_STATE,LOW
