canonical_season,game_id,summary_rows,summary_teams,summary_home_rows,summary_goal_min,summary_goal_max,source_event_rows,source_goal_rows,source_home_team,source_away_team,final_home_before_so,final_away_before_so,final_home_goals,final_away_goals,score_status,authority_decision,summary_semantic_defect
2023,2023020026,2,2,1,0,0,89,11,TOR,MIN,7,4,7,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020027,2,2,1,0,0,77,5,NYI,BUF,3,2,3,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020028,2,2,1,0,0,88,2,STL,SEA,1,1,2,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020029,2,2,1,0,0,84,7,EDM,VAN,3,4,3,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020030,2,2,1,0,0,119,2,SJS,COL,1,1,1,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020031,2,2,1,0,0,85,5,VGK,ANA,4,1,4,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020032,2,2,1,0,0,74,10,LAK,CAR,5,5,5,6,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020033,2,2,1,0,0,78,7,OTT,TBL,5,2,5,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020034,2,2,1,0,0,96,9,ANA,CAR,6,3,6,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020035,2,2,1,0,0,72,4,CBJ,DET,0,4,0,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020036,2,2,1,0,0,87,7,NJD,FLA,3,4,3,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020037,2,2,1,0,0,83,3,NYR,ARI,2,1,2,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020038,2,2,1,0,0,98,5,TOR,CHI,1,4,1,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020039,2,2,1,0,0,91,4,WSH,CGY,2,2,3,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020040,2,2,1,0,0,91,5,BUF,TBL,3,2,3,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020041,2,2,1,0,0,81,7,MTL,MIN,2,5,2,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020042,2,2,1,0,0,87,1,PHI,VAN,2,0,2,0,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020043,2,2,1,0,0,81,1,NYI,ARI,1,0,1,0,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020044,2,2,1,0,0,96,7,NSH,EDM,1,6,1,6,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020045,2,2,1,0,0,82,6,WPG,LAK,1,5,1,5,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020046,2,2,1,0,0,88,5,SEA,COL,1,4,1,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020047,2,2,1,0,0,79,9,SJS,CAR,3,6,3,6,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
