league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,624133,Ranger Suarez,outs_recorded,pitcher_outs,16.5,0.271317,0.728683,269,-269,under,0.728683,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,624133,Ranger Suarez,strikeouts_pitching,pitcher_strikeouts,3.5,0.501978,0.498022,-101,101,over,0.501978,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,701350,Roman Anthony,hits,batter_hits,0.5,0.47052,0.52948,113,-113,under,0.52948,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,701350,Roman Anthony,hits_runs_rbis,batter_h+r+rbi,1.5,0.320039,0.679961,212,-212,under,0.679961,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,701350,Roman Anthony,singles,batter_singles,0.5,0.491045,0.508955,104,-104,under,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,701350,Roman Anthony,total_bases,batter_bases,0.5,0.551786,0.448214,-123,123,over,0.551786,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,596115,Trevor Story,hits,batter_hits,0.5,0.562828,0.437172,-129,129,over,0.562828,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,596115,Trevor Story,singles,batter_singles,0.5,0.522474,0.477526,-109,109,over,0.522474,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,596115,Trevor Story,total_bases,batter_bases,0.5,0.597806,0.402194,-149,149,over,0.597806,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,623168,Tyler Heineman,hits,batter_hits,0.5,0.287714,0.712286,248,-248,under,0.712286,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,623168,Tyler Heineman,singles,batter_singles,0.5,0.477526,0.522474,109,-109,under,0.522474,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,623168,Tyler Heineman,total_bases,batter_bases,0.5,0.363874,0.636126,175,-175,under,0.636126,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,665489,Vladimir Guerrero Jr.,hits,batter_hits,1.5,0.474736,0.525264,111,-111,under,0.525264,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
