player_id,game_id,team_id,opponent_id,is_home,game_date,season,season_5on5_icetime_per_game,season_5on5_shifts_per_game,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_pp,szn_shifts_per_game_pk,d5_sog_per60,d10_sog_per60,d20_sog_per60,attempts_d10_per60,rest_days,b2b_flag,pace_matchup_index
8477940,2025020706,12,55,True,2026-01-10,2025,,,13.6586956521739,3.1963768115942,0.288333333333333,3.17391304347826,1.2,,,,,2,False,0.91718730553827006962
8477942,2025020709,26,22,False,2026-01-10,2025,,,15.2659722222222,3.15555555555556,0.393939393939394,2.91666666666667,1.54545454545455,,,,,1,True,0.98270068450528936031
8477946,2025020703,17,8,False,2026-01-10,2025,,,15.3108974358974,3.25,1.68266666666667,3.03846153846154,3.36,,,,,2,False,0.98270068450528936031
8477948,2025020705,4,14,True,2026-01-10,2025,,,19.4091666666667,2.09444444444444,3.63333333333333,3.05555555555556,4.95,,,,,2,False,0.94994399502177971496
8477949,2025020701,7,24,True,2026-01-10,2025,,,15.455303030303,2.35714285714286,2.69469696969697,2.66666666666667,4.40909090909091,,,,,2,False,0.94994399502177971496
8477950,2025020708,2,30,False,2026-01-10,2025,,,16.431746031746,2.07962962962963,0.211111111111111,2.66666666666667,1.16666666666667,,,,,2,False,1.01545737398879900000
8477952,2025020710,19,54,False,2026-01-10,2025,,,11.9619047619048,0.694444444444444,0.3875,1.33333333333333,1.25,,,,,7,False,0.98270068450528936031
8477953,2025020709,22,26,True,2026-01-10,2025,,,14.13,0.75,0.220833333333333,2,1,,,,,2,False,0.94994399502177971496
8477955,2025020706,55,12,False,2026-01-10,2025,,,13.480303030303,2.7969696969697,0.633333333333333,2.81818181818182,1.71428571428571,,,,,2,False,1.01545737398879900000
8477956,2025020697,6,3,True,2026-01-10,2025,,,16.0466666666667,3.6575,0.329761904761905,2.95,1.64285714285714,,,,,2,False,0.98270068450528936031
8477960,2025020709,26,22,False,2026-01-10,2025,,,15.0576388888889,3.07173913043478,1.18245614035088,3.17391304347826,2.52631578947368,,,,,1,True,0.98270068450528936031
