period,control_frozen_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,9.5-9.99,CONTROL_RAW,88,9.73048217567934,10.409090909090908,0.6786087334115687,4.081078871816927,5.451298721153615,2.926642424206973,0.22729990137618045,0.6461375174758245,0.04477611141603099
FROZEN_2025_VALIDATION,9.5-9.99,REPAIRED,88,9.578069729039358,10.409090909090908,0.8310211800515499,4.067242451493485,5.423309275095276,2.9216007012480163,0.2284134370110314,0.6485452650827909,0.05339385466805139
FROZEN_2025_VALIDATION,>=10.0,CONTROL_RAW,107,10.313084813695475,10.289719626168225,-0.023365187527249802,3.391210521160095,4.182979551807389,2.3829129431895058,0.21839650182673384,0.6271432381342179,0.03358329532515634
FROZEN_2025_VALIDATION,>=10.0,REPAIRED,107,10.312943008514717,10.289719626168225,-0.023223382346493893,3.361310379448999,4.176295728003054,2.377739493691493,0.2174653292308397,0.6251258736061575,0.030591827056069477
2026_SEQUENTIAL_EARLY,<7.5,CONTROL_RAW,12,7.383069782509213,7.5,0.1169302174907878,3.4090685076959333,4.012590389796942,2.3534130457341487,0.22761680324065794,0.6523658140835233,0.06344316538862368
2026_SEQUENTIAL_EARLY,<7.5,REPAIRED,12,8.037863411151946,7.5,-0.5378634111519459,3.5199241655577684,4.061244558182155,2.359307873620096,0.2253772914573823,0.6431683532562518,0.07491426509318375
2026_SEQUENTIAL_EARLY,7.5-7.99,CONTROL_RAW,295,7.8398045387334605,8.769491525423728,0.9296869866902683,3.520810428603887,4.459562562961061,2.5067190420936747,0.23665038966242316,0.6685585605029952,0.08689898592274244
2026_SEQUENTIAL_EARLY,7.5-7.99,REPAIRED,295,8.39007798071923,8.769491525423728,0.37941354470449823,3.4868092265826864,4.358603660274952,2.4440186526922005,0.22917508579321083,0.6505869229256266,0.03854502769551894
2026_SEQUENTIAL_EARLY,8.0-8.49,CONTROL_RAW,523,8.23163642777618,8.665391969407265,0.43375554163108604,3.3957620878659682,4.345474822580868,2.4105277326142587,0.22146034075939197,0.633886081853877,0.023947040140050276
2026_SEQUENTIAL_EARLY,8.0-8.49,REPAIRED,523,8.68822228465505,8.665391969407265,-0.02283031524778441,3.447173183019762,4.334332556218794,2.4081749390554195,0.22191689072950863,0.6347292329810081,0.01635647452405133
2026_SEQUENTIAL_EARLY,8.5-8.99,CONTROL_RAW,307,8.707503326130977,8.947882736156352,0.24037941002537402,3.4230305980745817,4.246096840192321,2.416456311897377,0.22724412317199583,0.646436734443313,0.04600019246321287
2026_SEQUENTIAL_EARLY,8.5-8.99,REPAIRED,307,9.03084525124423,8.947882736156352,-0.08296251508787941,3.4457479747230844,4.256018038213534,2.416175491626781,0.226599637220482,0.6450907275547603,0.019140005981164818
2026_SEQUENTIAL_EARLY,9.0-9.49,CONTROL_RAW,60,9.167150403294812,9.466666666666667,0.29951626337185566,4.337305266284999,5.3115295344934,3.0019798474023576,0.2413636624216993,0.6762950206573034,0.03418606763531319
2026_SEQUENTIAL_EARLY,9.0-9.49,REPAIRED,60,9.383533531603279,9.466666666666667,0.08313313506339014,4.37273459145401,5.336204253951259,3.014119639340074,0.24241784507438524,0.6785385257393617,0.046745706610310175
