row_type,period,depth_group,variant,mean_depth,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,d_log_location_per_depth_game,mechanical_depth_suppression
OBSERVED_GROUP,2026_LATE_HOLDOUT,WITHIN_TRAINING_SUPPORT_BELOW_P95,CONTROL_RAW,124.5,14,10.01645474915283,12.0,1.9835452508471687,4.731561556597367,6.194697640283848,3.357580548134621,0.23107338987465914,0.6534298111304393,0.07813779002217816,,
OBSERVED_GROUP,2026_LATE_HOLDOUT,WITHIN_TRAINING_SUPPORT_BELOW_P95,REPAIRED,124.5,14,9.9070326946142,12.0,2.0929673053857987,4.734149455200368,6.210419376585039,3.3889191001524543,0.23607068968904568,0.6645905803181297,0.0861647361648527,,
OBSERVED_GROUP,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,CONTROL_RAW,288.79058823529414,425,8.20839198831017,8.825882352941177,0.617490364631008,3.643564362770774,4.622638258243792,2.5773960482451344,0.23051832781588652,0.6543863611125286,0.04323779113309781,,
OBSERVED_GROUP,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,REPAIRED,288.79058823529414,425,8.716994158744376,8.825882352941177,0.1088881941967994,3.726737874941736,4.605145281653057,2.5691736290433567,0.23053557909540617,0.6536599474003698,0.03373172993980193,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,WITHIN_TRAINING_SUPPORT_BELOW_P95,CONTROL_RAW,132.0,5,9.840288200324803,12.6,2.759711799675197,3.579361560965834,4.204653255556449,2.571940978323908,0.22212507308518975,0.6335224877063205,0.30648009538387827,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,WITHIN_TRAINING_SUPPORT_BELOW_P95,REPAIRED,132.0,5,9.649524029572907,12.6,2.9504759704270915,3.54055736257233,4.327950730769701,2.6383409302961214,0.22601151173702877,0.64300542204441,0.32169214396915635,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,CONTROL_RAW,297.8512396694215,121,7.978227435521138,8.446280991735538,0.4680535562143987,3.2527666006519818,4.087413104987049,2.303213947119702,0.22443984056861332,0.6411405644992345,0.05851434728829379,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,REPAIRED,297.8512396694215,121,8.54330802362603,8.446280991735538,-0.09702703189049336,3.2737164851125997,4.066948569792038,2.28265932777475,0.22167105023654934,0.634582354772584,0.02643982071722629,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,VERY_HIGH_PROSPECTIVE_DEPTH,CONTROL_RAW,301.3666666666667,30,7.905852710349892,7.833333333333333,-0.07251937701655893,3.779566022094673,4.463255305347876,2.5848715758929526,0.23397804301986772,0.6642018488535478,0.07528859978830196,,
OBSERVED_GROUP,PROSPECTIVE_AUG06_15,VERY_HIGH_PROSPECTIVE_DEPTH,REPAIRED,301.3666666666667,30,8.462662441024017,7.833333333333333,-0.6293291076906847,3.953662642717461,4.507894928355322,2.605917623730991,0.23721582876651975,0.6688918823823273,0.07887714463805495,,
