row_type,period,block_type,excluded_block,remaining_games,metric,repaired_minus_control,favors_repaired,min_repaired_minus_control,max_repaired_minus_control,delta_sign_changes,fraction_blocks_favoring_repaired
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-13,118,mae,0.017072662272586303,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-13,118,rmse,-0.011178982064349086,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-13,118,bias,-0.5302663038350445,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-13,118,crps,-0.015518120486852194,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-13,118,brier,-0.0025127005058471485,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-14,112,mae,0.01164937561221846,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-14,112,rmse,-0.02104295903550968,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-14,112,bias,-0.5356555096301783,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-14,112,crps,-0.020298500300297118,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-14,112,brier,-0.0024084910248817204,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-15,111,mae,0.011501920123736742,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-15,111,rmse,-0.018459331008285673,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-15,111,bias,-0.5370504768601894,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-15,111,crps,-0.01830947243657688,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-15,111,brier,-0.0026478793807787337,True,,,,
SUMMARY,PROSPECTIVE_AUG06_15,DATE,ALL,VARIES,mae,,,-0.006595137082103797,0.038347122161941805,True,0.1
SUMMARY,PROSPECTIVE_AUG06_15,DATE,ALL,VARIES,rmse,,,-0.044075821635195744,-0.0011744394100476896,False,1.0
SUMMARY,PROSPECTIVE_AUG06_15,DATE,ALL,VARIES,bias,,,-0.5478808611431593,-0.5209349801445745,False,1.0
SUMMARY,PROSPECTIVE_AUG06_15,DATE,ALL,VARIES,crps,,,-0.03593388264085595,-0.00969766437848163,False,1.0
SUMMARY,PROSPECTIVE_AUG06_15,DATE,ALL,VARIES,brier,,,-0.004761502464609102,-0.0015150575243050302,False,1.0
