period,variant,row_type,line_events,ladder_brier,ladder_log_loss,ladder_ece,reliability_bin,mean_probability,observed_rate,absolute_calibration_gap
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,154,,,,"[0.3, 0.4)",0.34839895141042926,0.35064935064935066,0.0022503992389213967
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,134,,,,"[0.4, 0.5)",0.4466426128641376,0.5149253731343284,0.06828276027019081
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,127,,,,"[0.5, 0.6)",0.5453270080543363,0.5275590551181102,0.017767952936226128
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,126,,,,"[0.6, 0.7)",0.6449791885570713,0.6746031746031746,0.02962398604610339
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,10,,,,"[0.7, 0.8)",0.7194625186476922,0.9,0.18053748135230785
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,SUMMARY,756,0.22041427354092372,0.6317162581747379,0.02543241455335312,,,,
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,40,,,,"[0.1, 0.2)",0.1871598665532729,0.2,0.012840133446727103
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,172,,,,"[0.2, 0.3)",0.2494763337561149,0.26744186046511625,0.017965526709001367
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,147,,,,"[0.3, 0.4)",0.34647035159176803,0.36054421768707484,0.014073866095306808
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,133,,,,"[0.4, 0.5)",0.4426093158244228,0.47368421052631576,0.031074894701892952
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,127,,,,"[0.5, 0.6)",0.5410856690819799,0.5511811023622047,0.010095433280224886
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,124,,,,"[0.6, 0.7)",0.6398658900306404,0.6854838709677419,0.045617980937101454
PROSPECTIVE_AUG06_15,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,13,,,,"[0.7, 0.8)",0.7321030387410314,0.9230769230769231,0.19097388433589169
