date,capture_window,lane,exact_recovered,outcome_complete,month
2026-06-29,13:00,HITS_15_UNDER,9,8,2026-06
2026-06-29,16:30,HITS_05_OVER,35,30,2026-06
2026-06-29,16:30,HITS_05_UNDER,5,3,2026-06
2026-06-29,16:30,HITS_15_UNDER,11,9,2026-06
2026-06-30,05:30,HITS_05_OVER,5,2,2026-06
2026-06-30,05:30,HITS_15_UNDER,1,1,2026-06
2026-06-30,08:30,HITS_05_OVER,1,0,2026-06
2026-06-30,11:00,HITS_05_OVER,5,4,2026-06
2026-06-30,11:00,HITS_05_UNDER,2,1,2026-06
2026-06-30,11:00,HITS_15_UNDER,2,0,2026-06
2026-06-30,13:00,HITS_05_OVER,49,35,2026-06
2026-06-30,13:00,HITS_05_UNDER,4,1,2026-06
2026-06-30,13:00,HITS_15_OVER,1,0,2026-06
2026-06-30,13:00,HITS_15_UNDER,5,4,2026-06
2026-06-30,16:30,HITS_05_OVER,41,33,2026-06
2026-06-30,16:30,HITS_05_UNDER,7,5,2026-06
2026-06-30,16:30,HITS_15_OVER,1,1,2026-06
2026-06-30,16:30,HITS_15_UNDER,15,11,2026-06
2026-07-01,05:30,HITS_05_OVER,10,6,2026-07
2026-07-01,05:30,HITS_05_UNDER,1,0,2026-07
2026-07-01,05:30,HITS_15_OVER,1,1,2026-07
2026-07-01,08:30,HITS_05_OVER,23,17,2026-07
2026-07-01,08:30,HITS_05_UNDER,1,1,2026-07
2026-07-01,08:30,HITS_15_UNDER,7,7,2026-07
2026-07-01,11:00,HITS_05_OVER,11,8,2026-07
2026-07-01,11:00,HITS_05_UNDER,2,1,2026-07
2026-07-01,11:00,HITS_15_UNDER,4,4,2026-07
2026-07-01,13:00,HITS_05_OVER,20,14,2026-07
2026-07-01,13:00,HITS_15_UNDER,4,3,2026-07
2026-07-01,16:30,HITS_05_OVER,36,30,2026-07
2026-07-01,16:30,HITS_05_UNDER,1,0,2026-07
2026-07-01,16:30,HITS_15_OVER,1,0,2026-07
2026-07-01,16:30,HITS_15_UNDER,11,10,2026-07
2026-07-02,05:30,HITS_05_OVER,2,2,2026-07
2026-07-02,05:30,HITS_15_UNDER,1,0,2026-07
2026-07-02,08:30,HITS_05_OVER,5,3,2026-07
2026-07-02,08:30,HITS_15_OVER,1,1,2026-07
2026-07-02,08:30,HITS_15_UNDER,2,2,2026-07
2026-07-02,11:00,HITS_05_OVER,8,7,2026-07
2026-07-02,11:00,HITS_15_OVER,2,2,2026-07
2026-07-02,11:00,HITS_15_UNDER,2,2,2026-07
2026-07-02,13:00,HITS_05_OVER,9,7,2026-07
2026-07-02,13:00,HITS_05_UNDER,1,1,2026-07
2026-07-02,16:30,HITS_05_OVER,8,5,2026-07
2026-07-02,16:30,HITS_15_UNDER,2,1,2026-07
2026-07-03,08:30,HITS_15_UNDER,3,1,2026-07
2026-07-03,11:00,HITS_05_OVER,4,1,2026-07
2026-07-03,13:00,HITS_05_OVER,32,23,2026-07
2026-07-03,13:00,HITS_05_UNDER,1,1,2026-07
2026-07-03,13:00,HITS_15_OVER,2,1,2026-07
2026-07-03,13:00,HITS_15_UNDER,10,8,2026-07
2026-07-03,16:30,HITS_05_OVER,43,36,2026-07
2026-07-03,16:30,HITS_05_UNDER,7,4,2026-07
2026-07-03,16:30,HITS_15_UNDER,7,6,2026-07
2026-07-04,05:30,HITS_05_OVER,9,4,2026-07
2026-07-04,05:30,HITS_15_OVER,2,1,2026-07
2026-07-04,05:30,HITS_15_UNDER,4,3,2026-07
2026-07-04,08:30,HITS_05_OVER,4,3,2026-07
2026-07-04,08:30,HITS_05_UNDER,2,1,2026-07
2026-07-04,08:30,HITS_15_UNDER,2,1,2026-07
2026-07-04,11:00,HITS_05_OVER,1,0,2026-07
2026-07-04,11:00,HITS_15_UNDER,1,1,2026-07
2026-07-04,13:00,HITS_05_OVER,29,23,2026-07
2026-07-04,13:00,HITS_05_UNDER,1,1,2026-07
2026-07-04,13:00,HITS_15_OVER,1,0,2026-07
2026-07-04,13:00,HITS_15_UNDER,2,2,2026-07
2026-07-04,16:30,HITS_05_OVER,36,29,2026-07
2026-07-04,16:30,HITS_05_UNDER,4,1,2026-07
2026-07-04,16:30,HITS_15_OVER,2,2,2026-07
2026-07-04,16:30,HITS_15_UNDER,8,8,2026-07
2026-07-05,05:30,HITS_05_OVER,3,2,2026-07
2026-07-05,05:30,HITS_05_UNDER,2,1,2026-07
2026-07-05,05:30,HITS_15_UNDER,2,2,2026-07
2026-07-05,08:30,HITS_05_OVER,17,12,2026-07
2026-07-05,08:30,HITS_05_UNDER,2,2,2026-07
2026-07-05,08:30,HITS_15_OVER,2,1,2026-07
2026-07-05,08:30,HITS_15_UNDER,2,2,2026-07
2026-07-05,11:00,HITS_05_OVER,31,25,2026-07
2026-07-05,11:00,HITS_05_UNDER,4,1,2026-07
2026-07-05,11:00,HITS_15_UNDER,7,5,2026-07
2026-07-05,13:00,HITS_05_OVER,25,17,2026-07
2026-07-05,13:00,HITS_05_UNDER,2,1,2026-07
2026-07-05,13:00,HITS_15_UNDER,6,6,2026-07
2026-07-05,16:30,HITS_05_OVER,2,2,2026-07
2026-07-05,16:30,HITS_05_UNDER,1,0,2026-07
2026-07-05,16:30,HITS_15_UNDER,3,3,2026-07
2026-07-06,05:30,HITS_05_OVER,1,1,2026-07
2026-07-06,05:30,HITS_15_UNDER,1,0,2026-07
2026-07-06,11:00,HITS_05_OVER,5,4,2026-07
2026-07-06,11:00,HITS_15_UNDER,5,4,2026-07
2026-07-06,13:00,HITS_05_OVER,22,16,2026-07
2026-07-06,13:00,HITS_05_UNDER,1,1,2026-07
2026-07-06,13:00,HITS_15_UNDER,2,2,2026-07
2026-07-06,16:30,HITS_05_OVER,23,17,2026-07
2026-07-06,16:30,HITS_05_UNDER,5,2,2026-07
2026-07-06,16:30,HITS_15_UNDER,7,7,2026-07
2026-07-07,05:30,HITS_05_OVER,2,2,2026-07
2026-07-07,05:30,HITS_15_UNDER,1,0,2026-07
2026-07-07,08:30,HITS_05_OVER,1,1,2026-07
2026-07-07,11:00,HITS_05_OVER,8,4,2026-07
2026-07-07,11:00,HITS_15_UNDER,2,2,2026-07
2026-07-07,13:00,HITS_05_OVER,53,43,2026-07
2026-07-07,13:00,HITS_05_UNDER,2,1,2026-07
2026-07-07,13:00,HITS_15_OVER,1,1,2026-07
2026-07-07,13:00,HITS_15_UNDER,3,2,2026-07
2026-07-07,16:30,HITS_05_OVER,34,27,2026-07
2026-07-07,16:30,HITS_05_UNDER,1,1,2026-07
2026-07-07,16:30,HITS_15_UNDER,6,6,2026-07
2026-07-08,05:30,HITS_05_OVER,1,1,2026-07
2026-07-08,05:30,HITS_15_UNDER,1,1,2026-07
2026-07-08,08:30,HITS_05_OVER,3,2,2026-07
2026-07-08,11:00,HITS_05_OVER,10,5,2026-07
2026-07-08,11:00,HITS_05_UNDER,1,0,2026-07
2026-07-08,11:00,HITS_15_UNDER,2,2,2026-07
2026-07-08,13:00,HITS_05_OVER,49,43,2026-07
2026-07-08,13:00,HITS_05_UNDER,3,3,2026-07
2026-07-08,13:00,HITS_15_UNDER,9,7,2026-07
2026-07-08,16:30,HITS_05_OVER,38,29,2026-07
2026-07-08,16:30,HITS_05_UNDER,3,0,2026-07
2026-07-08,16:30,HITS_15_OVER,1,1,2026-07
2026-07-08,16:30,HITS_15_UNDER,3,3,2026-07
2026-07-09,05:30,HITS_05_OVER,5,5,2026-07
2026-07-09,05:30,HITS_05_UNDER,1,0,2026-07
2026-07-09,05:30,HITS_15_UNDER,1,1,2026-07
2026-07-09,08:30,HITS_05_OVER,25,22,2026-07
2026-07-09,08:30,HITS_05_UNDER,5,5,2026-07
2026-07-09,08:30,HITS_15_UNDER,9,6,2026-07
2026-07-09,11:00,HITS_05_OVER,4,4,2026-07
2026-07-09,11:00,HITS_05_UNDER,3,1,2026-07
2026-07-09,13:00,HITS_05_OVER,14,11,2026-07
