active_start,active_end,artifact,position,feature,source,missing_value_handling,preprocessing,lineage_hash,recovery
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,27,d7_walks_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,28,d15_walks_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,29,d30_walks_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,30,d7_earned_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,31,d15_earned_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,32,d30_earned_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,33,d7_hits_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,34,d15_hits_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,35,d30_hits_allowed,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,36,bvp_at_bats,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,37,bvp_hits,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,38,bvp_home_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,39,bvp_strikeouts,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,40,bvp_walks,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,41,bvp_plate_appearances,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,42,bvp_total_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,43,isna__d7_hits,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,44,isna__d7_home_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,45,isna__d7_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,46,isna__d7_walks,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,47,isna__d15_hits,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,48,isna__d15_home_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,49,isna__d15_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,50,isna__d15_walks,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,51,isna__d30_hits,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,52,isna__d30_home_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,53,isna__d30_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,54,isna__d30_walks,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,55,isna__d7_total_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,56,isna__d15_total_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,57,isna__d30_total_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,58,isna__d7_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,59,isna__d15_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,60,isna__d30_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,61,isna__d7_stolen_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,62,isna__d15_stolen_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,63,isna__d30_stolen_bases,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,64,isna__d7_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,65,isna__d15_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,66,isna__d30_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,67,isna__d7_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,68,isna__d15_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,69,isna__d30_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,70,isna__d7_walks_allowed,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,71,isna__d15_walks_allowed,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,72,isna__d30_walks_allowed,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,73,isna__d7_earned_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,74,isna__d15_earned_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,75,isna__d30_earned_runs,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,76,isna__d7_hits_allowed,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,77,isna__d15_hits_allowed,strict-prior prop_workflow/prepared feature vector,generated 1/0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
