feature,coefficient,absolute_coefficient,coefficient_rank_by_absolute_magnitude,absolute_standardized_contribution_min,absolute_standardized_contribution_p10,absolute_standardized_contribution_median,absolute_standardized_contribution_mean,absolute_standardized_contribution_p90,absolute_standardized_contribution_max,absolute_standardized_contribution_std,mae_delta,rmse_delta,absolute_bias_delta,crps_delta,brier_delta,log_loss_delta,mean_absolute_forecast_change,median_absolute_forecast_change,maximum_absolute_forecast_change,mean_signed_forecast_change,dependence_pattern
away_workload_uncertainty_outs,0.0014323801126656583,0.0014323801126656583,20,3.70661675444372e-06,8.960564377508384e-05,0.001036885122542359,0.0010920758099501793,0.002046688770383629,0.007000330226693585,0.0008028711582236785,0.0001692274420030948,-0.00011703053295430976,-0.001272082634202254,-5.9975541817802736e-05,-7.952503967179059e-06,-1.9628770149604513e-05,0.009319217471365361,0.008720092187441963,0.057266698825293005,0.0012720826342022427,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_bullpen_ra9,0.015070549615556185,0.015070549615556185,3,4.318080597444671e-06,0.001131774821591743,0.006658657115005829,0.007472268840495672,0.015088298264500413,0.028552515177151756,0.005624588937649621,0.0030833819922242434,0.0028499283841405543,0.001877510444646624,0.0016202716226585423,0.00018175087889343855,0.0003569445767526158,0.06479943081187357,0.055702500213831385,0.29577987894582947,-0.001877510444646698,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_bullpen_ra9,0.010854280711089645,0.010854280711089645,12,1.8223824034098298e-06,0.0007679355601536283,0.004276169002458678,0.004794404681028705,0.00972258266541842,0.018062663695953843,0.0035846540540300726,0.0014644643948562575,0.0016933325254484544,-0.0023817681701038262,0.0009636591632573577,9.454490160340501e-05,0.0002270421024243019,0.04085574474364759,0.03674685464483041,0.16310579949031379,0.0023817681701037443,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_bullpen_likely_available_reliever_count,-0.01084444912895344,0.01084444912895344,13,0.001478459155825896,0.001478459155825896,0.00848024574272457,0.009187125037116262,0.01952690060487013,0.047534046952464826,0.0071359272769170754,-0.006440654827799097,-0.008112204155457547,-0.00890993246209143,-0.0049037770225428545,-0.0005682721088544063,-0.0012939647084094785,0.07844195667920888,0.06864817554464686,0.38932052139273843,0.008909932462091357,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_bullpen_likely_available_reliever_count,0.003558827664027518,0.003558827664027518,19,0.00048075069472400153,0.00048075069472400153,0.0027641990091559873,0.0029371270966127563,0.006189371480803966,0.017606613052963894,0.0023325372499218076,0.0010845218225159492,0.0013754663314289317,0.0021267080870869814,0.0008019852877381162,9.181311296616035e-05,0.0002080512937331358,0.025086694765689654,0.0219691760937204,0.14949045543373707,-0.002126708087087054,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_bullpen_recent_innings_burden,-0.000834537374008508,0.000834537374008508,21,1.5325986077656415e-05,9.890507289172143e-05,0.0005697276216207976,0.0006617809272545375,0.0013525913751026943,0.003191331285012121,0.0005244689416482115,0.0002260060399650321,8.113557094002743e-05,-8.190964764570596e-05,7.925813545162086e-05,1.2269449001373056e-05,2.6686513508344945e-05,0.005651091121468771,0.004741841344301889,0.029336759476363383,8.190964764568822e-05,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_bullpen_recent_innings_burden,0.007154814495771844,0.007154814495771844,16,0.00024058506237752315,0.0009795248968227687,0.004674224069049013,0.005574382136869776,0.01158245228874645,0.03497075728130419,0.004396359885754622,-0.0012042149772559796,-0.0010389290232497572,0.00041509908970299714,-0.0006941165975340446,-7.917985531788463e-05,-0.00018497398136352317,0.04757066288173717,0.03952529905860569,0.32335753020966784,-0.00041509908970309314,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
strict_prior_total_run_factor,0.04347158492532503,0.04347158492532503,1,2.86818171749052e-06,0.00393417040803039,0.03182075383268257,0.03818306104591293,0.0790135226473746,0.18712374838068024,0.03566842631669351,0.03349483496274486,0.027302564058632406,-0.05773112301828409,0.01585600558045952,0.001773723537812688,0.0037255895034087327,0.3303727213848459,0.2716083356954542,1.8198201018176903,0.05773112301828401,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
park_history_depth,-0.02681303790069205,0.02681303790069205,2,2.5141457796903595e-05,0.050445685876921255,0.08428408147633455,0.08371990035574574,0.11984307346215872,0.12844605539421294,0.0274316450515729,0.07797731920835549,-0.0014206938101279931,-0.03216461547071614,-0.0016073905818720924,9.02344365843466e-05,-0.00020661311240577351,0.740374720947828,0.7474791730220183,1.4254553932463896,0.7216742537516655,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
game_number,0.003839049993724805,0.003839049993724805,18,0.0004435263729696111,0.0004435263729696111,0.0004435263729696111,0.0007935309797660133,0.0004435263729696111,0.033229827474832586,0.003369399531175739,0.0007988774334886095,0.00012284846300403274,-0.0006900343690978694,0.00013278342491895856,3.115905736028601e-05,6.661814480879436e-05,0.006802462389393206,0.0037474141765212465,0.35340775928029977,0.0006900343690977927,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
