population,metric,feature,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,point_delta_ablation_minus_champion,fraction_draws_keeping_feature_better,interpretation
FROZEN_2025_VALIDATION,mae,league_total,22,0.0214,0.3424,False,-0.006854966870310476,0.0107,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_prevention,22,0.5126,1.0,False,-0.0006435231812187621,0.2563,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_offense,22,0.302,1.0,False,-0.0008514641015510216,0.151,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_prevention,22,0.894,1.0,False,-0.00013361632776753485,0.447,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_starter_ra9,22,0.0248,0.4216,False,0.0019132562041285785,0.9876,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_starter_ra9,22,0.8304,1.0,False,0.00011206377605212447,0.5848,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_starter_prior_starts,22,0.7568,1.0,False,0.0008559802872205135,0.6216,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_starter_prior_starts,22,0.0622,0.9329999999999999,False,0.00034047676592422946,0.9689,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_expected_outs,22,0.0008,0.016800000000000002,True,0.0032800940088651078,0.9996,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_expected_outs,22,0.0582,0.9312,False,-0.0011953382107206393,0.0291,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_workload_uncertainty_outs,22,0.8906,1.0,False,0.00014246034978642236,0.5547,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_workload_uncertainty_outs,22,0.8506,1.0,False,2.641248594869755e-05,0.5747,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_ra9,22,0.2934,1.0,False,0.0009793580480189094,0.8533,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_ra9,22,0.4248,1.0,False,0.0004800427184778243,0.7876,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_likely_available_reliever_count,22,0.0,0.0,True,-0.005504026610252055,0.0,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_likely_available_reliever_count,22,0.0172,0.3268,False,0.0009215765672681124,0.9914,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_recent_innings_burden,22,0.2684,1.0,False,9.505477618041516e-05,0.8658,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_recent_innings_burden,22,0.222,1.0,False,-0.0008423285168319798,0.111,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,strict_prior_total_run_factor,22,0.022,0.39599999999999996,False,0.011457453750577285,0.989,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,park_history_depth,22,0.5614,1.0,False,0.004025370783061206,0.7193,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,game_number,22,0.2734,1.0,False,0.0004548114922060267,0.8633,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,league_total,22,0.0076,0.152,False,0.0005804709675478783,0.9962,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_offense,22,0.391,1.0,False,9.01742144196385e-05,0.8045,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_prevention,22,0.3888,1.0,False,-9.58537106779428e-05,0.1944,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_offense,22,0.2842,1.0,False,-0.00010707089425278832,0.1421,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_prevention,22,0.9128,1.0,False,9.676158109967124e-06,0.5436,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_starter_ra9,22,0.0222,0.3774,False,0.00023082579406233445,0.9889,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_starter_ra9,22,0.9888,1.0,False,1.6752688115993797e-06,0.5056,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_starter_prior_starts,22,0.9788,1.0,False,-1.4008461980575367e-05,0.4894,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_starter_prior_starts,22,0.0906,1.0,False,3.650620146562723e-05,0.9547,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_expected_outs,22,0.0008,0.016800000000000002,True,0.0003932764113106008,0.9996,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_expected_outs,22,0.061,0.976,False,-0.00014418245394936272,0.0305,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_workload_uncertainty_outs,22,0.8594,1.0,False,-2.0041326645045356e-05,0.4297,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_workload_uncertainty_outs,22,0.9488,1.0,False,1.303354360585555e-06,0.5256,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_ra9,22,0.1716,1.0,False,0.0001501265617467863,0.9142,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_ra9,22,0.5058,1.0,False,4.602594678429573e-05,0.7471,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_likely_available_reliever_count,22,0.0,0.0,True,-0.0006372467104224327,0.0,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_likely_available_reliever_count,22,0.0152,0.2736,False,0.00011207221423854617,0.9924,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_recent_innings_burden,22,0.124,1.0,False,1.605869338285178e-05,0.938,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_recent_innings_burden,22,0.2414,1.0,False,-0.00010024609183404769,0.1207,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,strict_prior_total_run_factor,22,0.014,0.266,False,0.0014367771697474236,0.993,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,park_history_depth,22,0.4606,1.0,False,0.0006212520057353454,0.7697,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,brier,game_number,22,0.1848,1.0,False,6.392857195929975e-05,0.9076,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,league_total,22,0.005,0.1,False,0.0014006975947896633,0.9975,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_offense,22,0.3738,1.0,False,0.00021160558596160426,0.8131,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_prevention,22,0.5354,1.0,False,-0.00015617956500125636,0.2677,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_offense,22,0.2612,1.0,False,-0.00025279098074015426,0.1306,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_prevention,22,0.95,1.0,False,9.92902022419111e-06,0.525,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_starter_ra9,22,0.024,0.4284,False,0.0005095817407666336,0.988,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_starter_ra9,22,0.9714,1.0,False,7.338293352164585e-06,0.5143,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_starter_prior_starts,22,0.945,1.0,False,4.465847214750732e-05,0.5275,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_starter_prior_starts,22,0.0756,1.0,False,8.635595977132826e-05,0.9622,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_expected_outs,22,0.0008,0.016800000000000002,True,0.0008902723835184458,0.9996,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_expected_outs,22,0.0838,1.0,False,-0.000301408971932008,0.0419,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_workload_uncertainty_outs,22,0.8888,1.0,False,-3.4745400309387086e-05,0.4444,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_workload_uncertainty_outs,22,0.946,1.0,False,3.007291653835348e-06,0.527,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_ra9,22,0.2452,1.0,False,0.00028544401327118465,0.8774,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_ra9,22,0.4636,1.0,False,0.00011540327216577828,0.7682,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_likely_available_reliever_count,22,0.0,0.0,True,-0.001408915296676938,0.0,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_likely_available_reliever_count,22,0.0148,0.2812,False,0.0002503885745667061,0.9926,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_recent_innings_burden,22,0.138,1.0,False,3.4907227038227414e-05,0.931,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_recent_innings_burden,22,0.2352,1.0,False,-0.00022668083890381777,0.1176,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,strict_prior_total_run_factor,22,0.0238,0.4284,False,0.002982977504307332,0.9881,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,park_history_depth,22,0.5266,1.0,False,0.001168917687034928,0.7367,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,log_loss,game_number,22,0.2024,1.0,False,0.00013925727453528898,0.8988,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,league_total,22,0.411,1.0,False,0.0034822576938820047,0.7945,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_offense,22,0.7406,1.0,False,-0.0005194675833583525,0.3703,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_prevention,22,0.315,1.0,False,-0.0021893064107679013,0.1575,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_offense,22,0.2084,1.0,False,-0.002202321534821689,0.1042,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_prevention,22,0.0462,0.7392,False,-0.0044525381024165134,0.0231,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_starter_ra9,22,0.594,1.0,False,0.0012158130761205893,0.703,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_starter_ra9,22,0.0016,0.033600000000000005,True,0.0033528969766137852,0.9992,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_starter_prior_starts,22,0.7498,1.0,False,0.002968443520759816,0.6251,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_starter_prior_starts,22,0.7814,1.0,False,0.00014859890634921248,0.6093,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_expected_outs,22,0.2756,1.0,False,0.002922336965199977,0.8622,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_expected_outs,22,0.0248,0.44639999999999996,False,-0.00400356317104723,0.0124,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_workload_uncertainty_outs,22,0.8944,1.0,False,-0.00031745234041616436,0.4472,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_workload_uncertainty_outs,22,0.7958,1.0,False,6.897145937894107e-05,0.6021,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_ra9,22,0.0352,0.5984,False,0.004527845806258898,0.9824,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_ra9,22,0.0176,0.33440000000000003,False,0.0032760997615647715,0.9912,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_likely_available_reliever_count,22,0.0726,1.0,False,-0.004737376000403657,0.0363,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_likely_available_reliever_count,22,0.1202,1.0,False,0.0012517036250871845,0.9399,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_recent_innings_burden,22,0.3312,1.0,False,0.0001834103690092865,0.8344,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_recent_innings_burden,22,0.7846,1.0,False,0.00045932008607871695,0.6077,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,strict_prior_total_run_factor,22,0.0,0.0,True,0.04459341731190201,1.0,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,park_history_depth,22,0.0042,0.08399999999999999,False,0.0736606511014042,0.9979,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,mae,game_number,22,0.1864,1.0,False,0.0008618528665707114,0.9068,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,league_total,22,0.0,0.0,True,0.013051509018240124,1.0,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_offense,22,0.0124,0.22319999999999998,False,-0.0022764654471634175,0.0062,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_prevention,22,0.4532,1.0,False,-0.000998065055475028,0.2266,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_offense,22,0.0304,0.4864,False,-0.0024393526280860837,0.0152,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_prevention,22,0.2288,1.0,False,-0.0016840730430623494,0.1144,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_starter_ra9,22,0.6668,1.0,False,-0.0005921765582049025,0.3334,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_starter_ra9,22,0.5326,1.0,False,0.0003912219281457832,0.7337,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_starter_prior_starts,22,0.0024,0.047999999999999994,True,0.017258835440363204,0.9988,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_starter_prior_starts,22,0.002,0.042,True,0.0010280663017253103,0.999,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_expected_outs,22,0.2066,1.0,False,0.0020445157323956843,0.8967,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_expected_outs,22,0.043,0.636,False,-0.0020493984091131154,0.0215,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_workload_uncertainty_outs,22,0.3824,1.0,False,-0.0010698997160383367,0.1912,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_workload_uncertainty_outs,22,0.076,0.988,False,-0.0002921364116856806,0.038,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_ra9,22,0.0172,0.2924,False,0.0030499943082546864,0.9914,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_ra9,22,0.0424,0.636,False,0.0017849088462632582,0.9788,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_likely_available_reliever_count,22,0.0914,1.0,False,-0.0030651344851454097,0.0457,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_likely_available_reliever_count,22,0.2718,1.0,False,0.0005969629826512147,0.8641,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_recent_innings_burden,22,0.5114,1.0,False,8.230617379287105e-05,0.7443,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_recent_innings_burden,22,0.8264,1.0,False,-0.00022463691836855827,0.4132,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,strict_prior_total_run_factor,22,0.003,0.057,False,0.022062771590902402,0.9985,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,park_history_depth,22,0.4994,1.0,False,-0.010538184072413703,0.2497,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,crps,game_number,22,0.5638,1.0,False,0.00029770453652609583,0.7181,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,league_total,22,0.0,0.0,True,0.0014658263859690173,1.0,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_offense,22,0.0142,0.2556,False,-0.00026506059580027203,0.0071,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_prevention,22,0.527,1.0,False,-9.511242631296057e-05,0.2635,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_offense,22,0.0272,0.4352,False,-0.00027790771634510165,0.0136,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_prevention,22,0.3594,1.0,False,-0.00014986310077656092,0.1797,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_starter_ra9,22,0.6398,1.0,False,-8.002242009881434e-05,0.3199,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_starter_ra9,22,0.2528,1.0,False,8.624033506194083e-05,0.8736,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_starter_prior_starts,22,0.0058,0.11019999999999999,False,0.001876066367070096,0.9971,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_starter_prior_starts,22,0.002,0.042,True,0.00012305069939765194,0.999,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_expected_outs,22,0.1892,1.0,False,0.00024133244830940614,0.9054,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_expected_outs,22,0.0182,0.3094,False,-0.00029205042989145026,0.0091,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_workload_uncertainty_outs,22,0.5102,1.0,False,-9.716668127489473e-05,0.2551,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_workload_uncertainty_outs,22,0.149,1.0,False,-2.751307568219154e-05,0.0745,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_ra9,22,0.0398,0.597,False,0.00031518384714280336,0.9801,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_ra9,22,0.0708,0.9912000000000001,False,0.0001801522814269308,0.9646,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_likely_available_reliever_count,22,0.0732,0.9912000000000001,False,-0.0003924746205604593,0.0366,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_likely_available_reliever_count,22,0.3034,1.0,False,6.501047348980184e-05,0.8483,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_recent_innings_burden,22,0.4658,1.0,False,1.0994857273350613e-05,0.7671,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_recent_innings_burden,22,0.9394,1.0,False,-1.0325092464179298e-05,0.4697,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,strict_prior_total_run_factor,22,0.0038,0.076,False,0.002505202937649556,0.9981,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,park_history_depth,22,0.5078,1.0,False,-0.0012000340705489673,0.2539,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,brier,game_number,22,0.4302,1.0,False,4.745172826903022e-05,0.7849,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,league_total,22,0.0,0.0,True,0.0034368917899442273,1.0,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_offense,22,0.0138,0.2484,False,-0.0006106503140657423,0.0069,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_prevention,22,0.6442,1.0,False,-0.00015756338390858615,0.3221,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_offense,22,0.0236,0.4012,False,-0.000660153710440691,0.0118,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_prevention,22,0.3506,1.0,False,-0.0003500481604867167,0.1753,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_starter_ra9,22,0.599,1.0,False,-0.0002044173264043272,0.2995,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_starter_ra9,22,0.3442,1.0,False,0.00016139878895656207,0.8279,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_starter_prior_starts,22,0.0066,0.1254,False,0.004221456297801565,0.9967,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_starter_prior_starts,22,0.0026,0.054599999999999996,False,0.0002788667847238903,0.9987,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_expected_outs,22,0.2132,1.0,False,0.0005245386897872294,0.8934,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_expected_outs,22,0.0238,0.4012,False,-0.0006420375478341114,0.0119,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_workload_uncertainty_outs,22,0.5096,1.0,False,-0.00022169220580265086,0.2548,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_workload_uncertainty_outs,22,0.1392,1.0,False,-6.507214652105065e-05,0.0696,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_ra9,22,0.0544,0.816,False,0.0006709495638796202,0.9728,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_ra9,22,0.0628,0.8792,False,0.000423649886673517,0.9686,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_likely_available_reliever_count,22,0.0662,0.8792,False,-0.0009267495120471581,0.0331,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_likely_available_reliever_count,22,0.291,1.0,False,0.00015262996614432987,0.8545,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_recent_innings_burden,22,0.4724,1.0,False,2.487194289473613e-05,0.7638,FWER sensitivity only; not sole screening interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_recent_innings_burden,22,0.8846,1.0,False,-4.386181696990214e-05,0.4423,FWER sensitivity only; not sole screening interpretation
