population,feature,variant,games,mae,rmse,actual_minus_forecast_bias,absolute_bias,mean_forecast,median_forecast,crps,governed_total_line_brier,governed_total_line_log_loss,governed_total_line_ece,mae_delta,rmse_delta,absolute_bias_delta,champion_mae,champion_rmse,champion_absolute_bias
FROZEN_2025_VALIDATION,park_history_depth,FROZEN_DIRECT_TERM_ABLATION,2433,3.659545522264669,4.596443206249562,-0.34764733026388966,0.34764733026388966,9.235851193806841,9.17635348877228,2.5356211493970937,0.22780683600888518,0.6474655747013629,0.03217782151152483,0.06233888609813265,0.004781374455870235,0.13259993024182223,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,game_number,FROZEN_DIRECT_TERM_ABLATION,2433,3.5983554677233323,4.592421337117757,0.2146260919283519,0.2146260919283519,8.6735777716146,8.59100967385654,2.5320505901062385,0.2272495125751092,0.6464359142888633,0.01639613395563702,0.001148831556796015,0.0007595053240647687,-0.00042130809371554445,3.5972066361665362,4.591661831793692,0.21504740002206743
2026_SEQUENTIAL_EARLY,UNALTERED_CHAMPION,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,1281,3.5209459692414056,4.500767948230816,0.5774332448470871,0.5774332448470871,8.412418433529181,8.290438649396904,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.0,0.0,0.0,,,
2026_SEQUENTIAL_EARLY,league_total,FROZEN_DIRECT_TERM_ABLATION,1281,3.524428226935288,4.52266326531595,0.7259836457610194,0.7259836457610194,8.26386803261525,8.14713935122119,2.518199111439991,0.2283653135000727,0.6494929733871826,0.06259102711778033,0.003482257693882218,0.021895317085133925,0.14855040091393223,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_offense,FROZEN_DIRECT_TERM_ABLATION,1281,3.520426501658047,4.496242639388516,0.5586768195023292,0.5586768195023292,8.43117485887394,8.306682701520005,2.5028711369745875,0.2266344265183034,0.6454454312831727,0.04821798089321292,-0.0005194675833584128,-0.004525308842300291,-0.018756425344757965,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_prevention,FROZEN_DIRECT_TERM_ABLATION,1281,3.518756662830638,4.498496447137134,0.5866583161114461,0.5866583161114461,8.403193362264822,8.256806186264452,2.5041495373662763,0.22680437468779072,0.6458985182133298,0.05079300195670897,-0.002189306410767422,-0.0022715010936824598,0.009225071264359008,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_offense,FROZEN_DIRECT_TERM_ABLATION,1281,3.518743647706584,4.496719018144873,0.5636232312677226,0.5636232312677226,8.426228447108546,8.309862251642187,2.502708249793665,0.2266215793977586,0.6453959278867977,0.04853872053104009,-0.002202321534821472,-0.004048930085943425,-0.01381001357936451,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_prevention,FROZEN_DIRECT_TERM_ABLATION,1281,3.516493431138989,4.497280938758943,0.5922950662694189,0.5922950662694189,8.39755661210685,8.280660090440918,2.5034635293786884,0.2267496240133271,0.6457060334367517,0.051003720996442646,-0.004452538102416526,-0.0034870094718728595,0.014861821422331722,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,1281,3.5221617823175264,4.500153831895206,0.5640032374547126,0.5640032374547126,8.425848440921555,8.309238038237439,2.504555425863546,0.22681946469400485,0.6458516642708341,0.04855980495440912,0.0012158130761208419,-0.0006141163356101487,-0.013430007392374543,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,1281,3.524298866218019,4.500989687589855,0.5707471687265948,0.5707471687265948,8.419104509649674,8.297150486812587,2.505538824349897,0.22698572744916562,0.646217480386195,0.04916093463830086,0.003352896976613451,0.00022173935903868625,-0.006686076120492324,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,1281,3.523914412762166,4.529231200948,0.7822000015442766,0.7822000015442766,8.207651676831992,8.113839377158433,2.5224064378621143,0.2287755534811738,0.6502775378950398,0.06740707964919308,0.002968443520760644,0.02846325271718353,0.20476675669718947,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,1281,3.5210945681477552,4.5024267645796785,0.5909411584057523,0.5909411584057523,8.398910519970517,8.273306058712125,2.5061756687234764,0.22702253781350137,0.6463349483819623,0.05091024406062087,0.00014859890634966177,0.0016588163488622243,0.013507913558665208,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_expected_outs,FROZEN_DIRECT_TERM_ABLATION,1281,3.523868306206606,4.503998963033369,0.5877515306975711,0.5877515306975711,8.402100147678697,8.275371398367957,2.5071921181541468,0.22714081956241308,0.6465806202870257,0.05059484599261616,0.0029223369652005005,0.003231014802552501,0.010318285850484,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_expected_outs,FROZEN_DIRECT_TERM_ABLATION,1281,3.5169424060703585,4.497962950815044,0.5687248568270554,0.5687248568270554,8.421126821549214,8.296077568277136,2.503098204012638,0.2266074366842122,0.6454140440494043,0.048985368948633395,-0.004003563171047109,-0.0028049974157724478,-0.00870838802003171,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,1281,3.52062851690099,4.499102421074948,0.5685458998135117,0.5685458998135117,8.421305778562756,8.293362808435502,2.504077702705713,0.2268023204328288,0.6458343893914358,0.04896242802182899,-0.0003174523404156915,-0.0016655271558683182,-0.008887345033575467,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,1281,3.521014940700785,4.50021976681506,0.5755996540464061,0.5755996540464061,8.414252024329864,8.291886056654105,2.5048554660100653,0.2268719740384215,0.6459910094507174,0.049590678261486186,6.897145937934113e-05,-0.0005481814157564102,-0.0018335908006810175,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,1281,3.5254738150476648,4.506449659277269,0.579571386677683,0.579571386677683,8.410280291698585,8.309162131676322,2.508197596730006,0.2272146709612465,0.646727031161118,0.04975918762677358,0.004527845806259201,0.005681711046452875,0.0021381418305959077,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,1281,3.524222069002971,4.504042579642808,0.5751254394823433,0.5751254394823433,8.414726238893925,8.284627592758977,2.506932511268014,0.22707963939553064,0.6464797314839119,0.04958032485973285,0.0032760997615652876,0.0032746314119913578,-0.0023078053647438423,3.5209459692414056,4.500767948230816,0.5774332448470871
