identity,date,game_id,player_id,prediction_timestamp,scheduled_game_start,strict_pregame,model_semantic_name,model_artifact_sha256,p_over,target,actual_hits,outcome_attachment_contract,baseline_a_population,hitter_prior_resolved_games,hitter_prior_hits,baseline_b_hitter_shrunk
823757:669003:hits:0.5,2026-08-03,823757,669003,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5380939125903976,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,54,30.0,0.5581565889072672
823757:680779:hits:0.5,2026-08-03,823757,680779,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5604201448832083,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,28,11.0,0.43349190311807134
823757:682848:hits:0.5,2026-08-03,823757,682848,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.568670169308352,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,14,11.0,0.7093503869204804
823757:683734:hits:0.5,2026-08-03,823757,683734,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4991807414614693,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,30,20.0,0.6475186450592255
823757:687401:hits:0.5,2026-08-03,823757,687401,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.586631300630543,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,41,21.0,0.5225654798418483
823757:687462:hits:0.5,2026-08-03,823757,687462,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6383570789124892,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,21,12.0,0.5726106383534679
823757:691373:hits:0.5,2026-08-03,823757,691373,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4804421770774948,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,7,4.0,0.5737139008167046
823757:693304:hits:0.5,2026-08-03,823757,693304,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.7078656857680256,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,52,37.0,0.693428475204176
823757:694192:hits:0.5,2026-08-03,823757,694192,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6625509067740796,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,24,20.0,0.7689283910078303
823757:694378:hits:0.5,2026-08-03,823757,694378,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4901520394546077,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,33,16.0,0.5025782563963553
823757:699013:hits:0.5,2026-08-03,823757,699013,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5279802151132532,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,35,21.0,0.5954815933081528
824160:514888:hits:0.5,2026-08-03,824160,514888,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5682084765328268,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,47,27.0,0.574649245677283
824160:543807:hits:0.5,2026-08-03,824160,543807,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6973264537028324,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,51,38.0,0.7221306527500095
824160:572233:hits:0.5,2026-08-03,824160,572233,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6410449922572238,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,58,37.0,0.6303895229128873
824160:660821:hits:0.5,2026-08-03,824160,660821,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4755365267551374,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,7,3.0,0.5070472341500378
824160:662139:hits:0.5,2026-08-03,824160,662139,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5879310046992045,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,52,27.0,0.5267618085375095
824160:664702:hits:0.5,2026-08-03,824160,664702,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.3758123590805667,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,30,11.0,0.4106765397960676
824160:664770:hits:0.5,2026-08-03,824160,664770,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5018925104746145,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,45,29.0,0.634069971929256
824160:664774:hits:0.5,2026-08-03,824160,664774,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5182624324417032,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,19,8.0,0.4668780930463174
824160:665489:hits:0.5,2026-08-03,824160,665489,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6206993057606031,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,46,26.0,0.566772379856492
824160:665926:hits:0.5,2026-08-03,824160,665926,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5486668165062332,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,34,17.0,0.5144216312440612
824160:666211:hits:0.5,2026-08-03,824160,666211,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5906868989742571,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,32,18.0,0.5651427128062643
824160:670623:hits:0.5,2026-08-03,824160,670623,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5798347113159887,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,61,40.0,0.6464595436558053
824160:672386:hits:0.5,2026-08-03,824160,672386,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6425361049058205,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,31,20.0,0.6309156028782197
824160:672960:hits:0.5,2026-08-03,824160,672960,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5779039446852055,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,62,34.0,0.5515101216035795
824160:673237:hits:0.5,2026-08-03,824160,673237,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6435374029713834,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,27,18.0,0.645877386064302
824160:676391:hits:0.5,2026-08-03,824160,676391,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5652910436357627,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,53,40.0,0.7312411231516486
824160:678218:hits:0.5,2026-08-03,824160,678218,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.526908454044366,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,31,17.0,0.5539925259551428
824160:701358:hits:0.5,2026-08-03,824160,701358,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5466137452750143,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,60,29.0,0.4942015957683907
824324:650489:hits:0.5,2026-08-03,824324,650489,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.625965850855993,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,48,34.0,0.6893876520044744
824324:666160:hits:0.5,2026-08-03,824324,666160,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6059856595633127,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,20,12.0,0.5930610182946632
824324:670764:hits:0.5,2026-08-03,824324,670764,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4276471045001366,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,50,26.0,0.5276846295215616
824324:671289:hits:0.5,2026-08-03,824324,671289,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5078267839432982,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,35,20.0,0.5722257793546643
824324:676439:hits:0.5,2026-08-03,824324,676439,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5413031925607328,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,29,14.0,0.502856986817583
