record_type,team,appearance,rows,champion_brier,challenger_brier,brier_improvement,champion_log_loss,challenger_log_loss,log_loss_improvement,champion_roc_auc,challenger_roc_auc,roc_auc_change,champion_accuracy,challenger_accuracy,accuracy_change,champion_ece,challenger_ece,ece_degradation
team_appearance,FLA,home,84,0.227665942865679,0.226307059124934,0.00135888374074514,0.647717913551124,0.645014514471516,0.00270339907960837,0.553605015673981,0.586833855799373,0.033228840125392,0.630952380952381,0.642857142857143,0.011904761904762,0.0665260903959786,0.0822385524130312,0.0157124620170525
team_appearance,LAK,home,67,0.218336668357396,0.219443219468447,-0.00110655111105046,0.627714707302725,0.630168958991418,-0.0024542516886934,0.538377192982456,0.549342105263158,0.0109649122807018,0.641791044776119,0.671641791044776,0.0298507462686568,0.119473105536504,0.126708492627115,0.00723538709061083
team_appearance,MIN,home,62,0.226300815159656,0.22835161791175,-0.00205080275209421,0.644487415330202,0.64876632782563,-0.00427891249542811,0.770833333333333,0.746875,-0.0239583333333332,0.596774193548387,0.645161290322581,0.0483870967741935,0.0662100476838148,0.0931400852597183,0.0269300375759035
team_appearance,MTL,home,61,0.254529873632217,0.258071585226473,-0.00354171159425581,0.702724721839621,0.710139791162149,-0.00741506932252844,0.531182795698925,0.510752688172043,-0.0204301075268817,0.557377049180328,0.557377049180328,0,0.0801434944401041,0.0930452222043913,0.0129017277642872
team_appearance,NJD,home,63,0.254280333652243,0.257066120896352,-0.00278578724410861,0.700941815534897,0.70720494845049,-0.00626313291559322,0.608163265306122,0.589795918367347,-0.0183673469387755,0.444444444444444,0.492063492063492,0.0476190476190476,0.16555394747462,0.135021610901285,-0.0305323365733352
team_appearance,NSH,home,61,0.2530383116229,0.253258804458392,-0.000220492835491193,0.699314114578954,0.699886610580232,-0.000572496001277956,0.540860215053763,0.534408602150538,-0.00645161290322571,0.475409836065574,0.491803278688525,0.0163934426229508,0.099358557745403,0.0971440674221979,-0.00221449032320514
team_appearance,NYI,home,62,0.261411477213584,0.261576647345165,-0.000165170131581349,0.718602895981133,0.717466151182486,0.00113674479864667,0.496875,0.480208333333333,-0.0166666666666666,0.483870967741935,0.451612903225806,-0.0322580645161291,0.0821280527995859,0.121553899939244,0.0394258471396582
team_appearance,NYR,home,69,0.23341584333271,0.229628946488417,0.00378689684429329,0.659319892275657,0.651426194253907,0.00789369802175011,0.649572649572649,0.67008547008547,0.0205128205128206,0.594202898550725,0.608695652173913,0.0144927536231885,0.0959977419294067,0.0616571907329906,-0.0343405511964161
team_appearance,OTT,home,62,0.248016765302081,0.248910273183646,-0.000893507881565309,0.689830853230242,0.691827706121703,-0.00199685289146101,0.434594594594595,0.447567567567568,0.012972972972973,0.612903225806452,0.564516129032258,-0.0483870967741935,0.0965020363494515,0.0961734132238901,-0.000328623125561339
team_appearance,PHI,home,61,0.251344782133399,0.252919836807376,-0.00157505467397745,0.696654607491343,0.700048269488806,-0.00339366199746294,0.585129310344828,0.566810344827586,-0.0183189655172413,0.540983606557377,0.524590163934426,-0.0163934426229508,0.0808135881629581,0.0825535720118231,0.00173998384886501
team_appearance,PIT,home,61,0.234430064581541,0.234145861195278,0.000284203386262505,0.660932514157493,0.660468964827902,0.000463549329591473,0.632034632034632,0.652597402597403,0.0205627705627706,0.573770491803279,0.590163934426229,0.0163934426229508,0.0730574239878738,0.0730807785344325,2.33545465587737e-05
team_appearance,SEA,home,62,0.251632935786518,0.258282793883311,-0.00664985809679353,0.696608308773027,0.710639757295016,-0.0140314485219888,0.598290598290598,0.536324786324786,-0.0619658119658121,0.580645161290323,0.532258064516129,-0.0483870967741936,0.11487417024302,0.116603368853458,0.00172919861043784
team_appearance,SJS,home,62,0.223390716377441,0.220919652140885,0.00247106423655616,0.639525661281581,0.634157339979733,0.00536832130184772,0.549019607843137,0.566013071895425,0.0169934640522876,0.693548387096774,0.709677419354839,0.0161290322580645,0.179530291499723,0.155555355662449,-0.0239749358372742
team_appearance,STL,home,63,0.236020534724783,0.237159992814313,-0.00113945808953017,0.664920122490927,0.667289624509603,-0.00236950201867647,0.646367521367521,0.635683760683761,-0.0106837606837606,0.650793650793651,0.634920634920635,-0.0158730158730159,0.116604738022053,0.103361627252201,-0.0132431107698529
team_appearance,TBL,home,64,0.228595503028489,0.224380021052889,0.00421548197559976,0.648951821542265,0.640836253553131,0.00811556798913404,0.628125,0.675,0.0468749999999999,0.625,0.65625,0.03125,0.0715160975264853,0.0842593154301379,0.0127432179036527
team_appearance,TOR,home,71,0.229991981420515,0.2305759244665,-0.000583943045984442,0.651074649395611,0.652384774907523,-0.00131012551191134,0.597643097643098,0.595959595959596,-0.00168350168350162,0.605633802816901,0.633802816901408,0.0281690140845071,0.0736822425263447,0.062267135342912,-0.0114151071834327
team_appearance,UTA,home,41,0.237984875215427,0.236611782900575,0.00137309231485214,0.668632489781309,0.665595498810115,0.00303699097119436,0.669082125603865,0.669082125603865,0,0.634146341463415,0.585365853658537,-0.0487804878048781,0.130561539547865,0.0884564422844249,-0.0421050972634403
