variant,parameter,parameter_type,coefficient_or_value,standardized_effect_size,sign,raw_common_term_coefficient,change_from_raw_common_term,absolute_ratio_to_raw_common_term,sign_flip_from_raw,training_support_mean,training_support_std,training_support_min,training_support_max
RAW,park_history_depth,STANDARDIZED_DIRECT_FEATURE,-0.02681303790069205,-0.02681303790069205,NEGATIVE,-0.02681303790069205,0.0,1.0,False,80.043836180284,46.75071640123089,0.0,161.0
RAW,game_number,STANDARDIZED_DIRECT_FEATURE,0.003839049993724805,0.003839049993724805,POSITIVE,0.003839049993724805,0.0,1.0,False,1.0131714344515332,0.11400854251336694,1.0,2.0
RAW,INTERCEPT,INTERCEPT,2.1965397963878517,,,,,,,,,,
RAW,DISPERSION_ALPHA,DISPERSION,0.12944479977012996,,,,,,,,,,
CORE_1,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.04264536957322615,0.04264536957322615,POSITIVE,0.04347158492532503,-0.000826215352098883,0.9809941286125604,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
CORE_1,INTERCEPT,INTERCEPT,2.1973041915539007,,,,,,,,,,
CORE_1,DISPERSION_ALPHA,DISPERSION,0.13127804369719087,,,,,,,,,,
CORE_1_PLUS_LEAGUE_TOTAL,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.042959941677484445,0.042959941677484445,POSITIVE,0.04347158492532503,-0.0005116432478405875,0.9882303981159306,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
CORE_1_PLUS_LEAGUE_TOTAL,league_total,STANDARDIZED_DIRECT_FEATURE,-0.00517981594226588,-0.00517981594226588,NEGATIVE,-0.01265250483616578,0.007472688893899899,0.4093905522533334,False,9.12713348290902,0.11622389197806818,8.0,9.441441441441441
CORE_1_PLUS_LEAGUE_TOTAL,INTERCEPT,INTERCEPT,2.197291561043714,,,,,,,,,,
CORE_1_PLUS_LEAGUE_TOTAL,DISPERSION_ALPHA,DISPERSION,0.13124388610928991,,,,,,,,,,
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.04219324478064289,0.04219324478064289,POSITIVE,0.04347158492532503,-0.001278340144682144,0.9705936614255481,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,home_starter_prior_starts,STANDARDIZED_DIRECT_FEATURE,-0.006194294408656968,-0.006194294408656968,NEGATIVE,0.012677233712015375,-0.018871528120672342,0.48861561988764696,True,18.73677711463264,15.546598179262267,0.0,65.0
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,INTERCEPT,INTERCEPT,2.19728353340589,,,,,,,,,,
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,DISPERSION_ALPHA,DISPERSION,0.13123654522925027,,,,,,,,,,
CORE_1_PLUS_PARK_HISTORY_DEPTH,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.041412117768816155,0.041412117768816155,POSITIVE,0.04347158492532503,-0.0020594671565088776,0.9526249811216544,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
CORE_1_PLUS_PARK_HISTORY_DEPTH,park_history_depth,STANDARDIZED_DIRECT_FEATURE,-0.016815039774381868,-0.016815039774381868,NEGATIVE,-0.02681303790069205,0.009997998126310182,0.6271217695160111,False,80.043836180284,46.75071640123089,0.0,161.0
CORE_1_PLUS_PARK_HISTORY_DEPTH,INTERCEPT,INTERCEPT,2.197159383302696,,,,,,,,,,
CORE_1_PLUS_PARK_HISTORY_DEPTH,DISPERSION_ALPHA,DISPERSION,0.13096114878073586,,,,,,,,,,
CONSERVATIVE_SURVIVOR_CORE,league_total,STANDARDIZED_DIRECT_FEATURE,-0.009686921622589365,-0.009686921622589365,NEGATIVE,-0.01265250483616578,0.0029655832135764143,0.7656129555390784,False,9.12713348290902,0.11622389197806818,8.0,9.441441441441441
CONSERVATIVE_SURVIVOR_CORE,home_starter_prior_starts,STANDARDIZED_DIRECT_FEATURE,0.006867623913991205,0.006867623913991205,POSITIVE,0.012677233712015375,-0.00580960979802417,0.5417289031661638,False,18.73677711463264,15.546598179262267,0.0,65.0
CONSERVATIVE_SURVIVOR_CORE,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.04202965562447678,0.04202965562447678,POSITIVE,0.04347158492532503,-0.0014419293008482506,0.966830533017713,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
CONSERVATIVE_SURVIVOR_CORE,park_history_depth,STANDARDIZED_DIRECT_FEATURE,-0.023374316281722804,-0.023374316281722804,NEGATIVE,-0.02681303790069205,0.003438721618969246,0.8717518831060731,False,80.043836180284,46.75071640123089,0.0,161.0
CONSERVATIVE_SURVIVOR_CORE,INTERCEPT,INTERCEPT,2.1971000427596263,,,,,,,,,,
CONSERVATIVE_SURVIVOR_CORE,DISPERSION_ALPHA,DISPERSION,0.1308153513679034,,,,,,,,,,
