slate_date,game_pk,player_mlb_id,player,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,hit_by_pitch,sacrifice_flies,recomputed_tb_components,recomputed_tb_equivalent,official_total_bases,decision
2026-07-29,823924,660271,Shohei Ohtani,4,3,2,1,1,0,0,1,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,663656,Kyle Tucker,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,663728,Cal Raleigh,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,668227,Randy Arozarena,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,669242,Tommy Edman,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,670042,Luke Raley,1,1,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,677594,Julio Rodríguez,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,681624,Andy Pages,4,4,3,2,0,0,1,0,0,0,6,6,6,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,686527,Dominic Canzone,4,3,1,0,1,0,0,0,1,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,687221,Dalton Rushing,3,3,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,702284,Cole Young,4,3,2,2,0,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,514888,Jose Altuve,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,545361,Mike Trout,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,572233,Christian Walker,5,4,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,624585,Jorge Soler,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,665161,Jeremy Peña,5,5,1,0,0,0,1,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,666139,Josh Lowe,2,1,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,666176,Jo Adell,4,3,2,2,0,0,0,0,0,1,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,666211,Taylor Trammell,5,3,1,1,0,0,0,2,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,670541,Yordan Alvarez,5,4,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,670623,Isaac Paredes,5,5,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,673237,Yainer Diaz,5,5,4,3,0,0,1,0,0,0,7,7,7,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,687093,Vaughn Grissom,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,687263,Zach Neto,5,4,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,694203,Denzer Guzman,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,694384,Nolan Schanuel,4,3,1,0,1,0,0,0,1,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,701358,Cam Smith,5,5,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824002,828599,Lucas Spence,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,595879,Javier Báez,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,621493,Taylor Ward,6,5,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,624413,Pete Alonso,6,6,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,641933,Tyler O'Neill,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,650402,Gleyber Torres,5,5,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,663837,Matt Vierling,2,2,2,0,1,1,0,0,0,0,5,5,5,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,679529,Spencer Torkelson,5,5,2,1,0,0,1,0,0,0,5,5,5,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,680664,Eduardo Valencia,6,6,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,682985,Riley Greene,6,4,0,0,0,0,0,2,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
