slate_date,game_pk,player_mlb_id,player,governing_capture,market_timestamp,settlement_side,final_odds,outcome,risk,gross_winning_profit,net_result,decision
2026-07-29,822947,677649,Ezequiel Duran,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,152,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,677649,Ezequiel Duran,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-200,WIN,5.00,2.5,2.5,SETTLEMENT_CERTIFIED
2026-07-29,822947,691406,Junior Caminero,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,100,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,691406,Junior Caminero,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-130,WIN,5.00,3.8461538461538463,3.8461538461538463,SETTLEMENT_CERTIFIED
2026-07-29,822947,694671,Wyatt Langford,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,128,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,694671,Wyatt Langford,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-167,WIN,5.00,2.9940119760479043,2.9940119760479043,SETTLEMENT_CERTIFIED
2026-07-29,822947,802415,Chandler Simpson,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,161,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,802415,Chandler Simpson,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-213,WIN,5.00,2.347417840375587,2.347417840375587,SETTLEMENT_CERTIFIED
2026-07-29,823022,608324,Alex Bregman,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,164,WIN,5.00,8.2,8.2,SETTLEMENT_CERTIFIED
2026-07-29,823022,608324,Alex Bregman,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-217,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,608348,Carson Kelly,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,190,LOSS,5.00,,,NO_ACTION
2026-07-29,823022,608348,Carson Kelly,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-256,WIN,5.00,,,NO_ACTION
2026-07-29,823022,621020,Dansby Swanson,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,171,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,621020,Dansby Swanson,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-227,WIN,5.00,2.202643171806167,2.202643171806167,SETTLEMENT_CERTIFIED
2026-07-29,823022,663538,Nico Hoerner,cleanroom_20260729T194916Z,2026-07-29T19:49:38+00:00,Over,161,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,663538,Nico Hoerner,cleanroom_20260729T194916Z,2026-07-29T19:49:38+00:00,Under,-213,WIN,5.00,2.347417840375587,2.347417840375587,SETTLEMENT_CERTIFIED
2026-07-29,823022,664023,Ian Happ,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,171,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,664023,Ian Happ,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-227,WIN,5.00,2.202643171806167,2.202643171806167,SETTLEMENT_CERTIFIED
2026-07-29,823022,665877,José Fermín,cleanroom_20260729T230547Z,2026-07-29T23:05:38+00:00,Over,182,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,665877,José Fermín,cleanroom_20260729T230547Z,2026-07-29T23:05:38+00:00,Under,-244,WIN,5.00,2.0491803278688523,2.0491803278688523,SETTLEMENT_CERTIFIED
2026-07-29,823022,671056,Iván Herrera,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,134,WIN,5.00,6.7,6.7,SETTLEMENT_CERTIFIED
2026-07-29,823022,671056,Iván Herrera,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-175,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,673548,Seiya Suzuki,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,144,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,673548,Seiya Suzuki,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-189,WIN,5.00,2.6455026455026456,2.6455026455026456,SETTLEMENT_CERTIFIED
2026-07-29,823022,676369,Nelson Velázquez,cleanroom_20260729T194916Z,2026-07-29T19:49:38+00:00,Over,149,LOSS,5.00,,,NO_ACTION
2026-07-29,823022,676369,Nelson Velázquez,cleanroom_20260729T194916Z,2026-07-29T19:49:38+00:00,Under,-196,WIN,5.00,,,NO_ACTION
2026-07-29,823022,676475,Alec Burleson,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,146,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,676475,Alec Burleson,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-192,WIN,5.00,2.6041666666666665,2.6041666666666665,SETTLEMENT_CERTIFIED
2026-07-29,823022,683737,Michael Busch,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,158,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,683737,Michael Busch,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-208,WIN,5.00,2.4038461538461537,2.4038461538461537,SETTLEMENT_CERTIFIED
2026-07-29,823022,691023,Jordan Walker,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,102,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,691023,Jordan Walker,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-132,WIN,5.00,3.787878787878788,3.787878787878788,SETTLEMENT_CERTIFIED
2026-07-29,823022,691026,Masyn Winn,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,158,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,691026,Masyn Winn,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-208,WIN,5.00,2.4038461538461537,2.4038461538461537,SETTLEMENT_CERTIFIED
