slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|823022|676369|Total Bases|1.5,823022|676369,1,Nelson Velázquez,Nelson Velázquez,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823022|676475|Total Bases|1.5,823022|676475,1,Alec Burleson,Alec Burleson,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|683737|Total Bases|1.5,823022|683737,1,Michael Busch,Michael Busch,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|691023|Total Bases|1.5,823022|691023,1,Jordan Walker,Jordan Walker,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|691026|Total Bases|1.5,823022|691026,1,Masyn Winn,Masyn Winn,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|691458|Total Bases|1.5,823022|691458,1,Blaze Jordan,Blaze Jordan,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|691718|Total Bases|1.5,823022|691718,1,Pete Crow-Armstrong,Pete Crow-Armstrong,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|699393|Total Bases|1.5,823022|699393,1,Pedro Ramírez,Pedro Ramírez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|802139|Total Bases|1.5,823022|802139,1,JJ Wetherholt,JJ Wetherholt,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|592885|Total Bases|1.5,823192|592885,1,Christian Yelich,Christian Yelich,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|641343|Total Bases|1.5,823192|641343,1,Jake Bauers,Jake Bauers,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|642715|Total Bases|1.5,823192|642715,1,Willy Adames,Willy Adames,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|646240|Total Bases|1.5,823192|646240,1,Rafael Devers,Rafael Devers,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|650333|Total Bases|1.5,823192|650333,1,Luis Arraez,Luis Arraez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|661388|Total Bases|1.5,823192|661388,1,William Contreras,William Contreras,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823192|668930|Total Bases|1.5,823192|668930,1,Brice Turang,Brice Turang,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|669003|Total Bases|1.5,823192|669003,1,Garrett Mitchell,Garrett Mitchell,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|671218|Total Bases|1.5,823192|671218,1,Heliot Ramos,Heliot Ramos,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|683734|Total Bases|1.5,823192|683734,1,Andrew Vaughn,Andrew Vaughn,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|694192|Total Bases|1.5,823192|694192,1,Jackson Chourio,Jackson Chourio,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|805811|Total Bases|1.5,823192|805811,1,Bryce Eldridge,Bryce Eldridge,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|806198|Total Bases|1.5,823192|806198,1,Cooper Pratt,Cooper Pratt,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823192|808982|Total Bases|1.5,823192|808982,1,Jung Hoo Lee,Jung Hoo Lee,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|592518|Total Bases|1.5,823273|592518,1,Manny Machado,Manny Machado,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|593428|Total Bases|1.5,823273|593428,1,Xander Bogaerts,Xander Bogaerts,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|630105|Total Bases|1.5,823273|630105,1,Jake Cronenworth,Jake Cronenworth,EXACT_ONE_TO_ONE_MATCH
