slate_date,partition,game_pk,player_mlb_id,books_observed,books_executable,betonline_odds,best_observed_book,best_observed_odds,best_executable_book,best_executable_odds,median_odds,american_odds_improvement_vs_betonline,break_even_improvement_vs_betonline
2026-05-02,DESIGN,825014,643446,5,1,-185.0,williamhill_us,-182.0,betonlineag,-185.0,-185.0,3.0,0.0037327360955580202
2026-05-02,DESIGN,825014,667670,6,1,-141.0,draftkings,-128.0,betonlineag,-141.0,-138.48375451263536,13.0,0.023658731891970652
2026-05-02,DESIGN,825014,669127,7,1,-120.0,betmgm,-105.0,betonlineag,-120.0,-124.00000000000001,15.0,0.03325942350332589
2026-05-02,DESIGN,825014,680757,6,1,-167.0,draftkings,-159.0,betonlineag,-167.0,-163.4862385321101,8.0,0.01156855089439357
2026-05-02,DESIGN,825014,691016,6,1,-143.0,draftkings,-142.0,betonlineag,-143.0,-143.99305555555557,1.0,0.0017005067510117433
2026-05-02,DESIGN,825014,701762,6,1,-120.0,draftkings,-113.0,betonlineag,-120.0,-119.99999999999999,7.0,0.014938113529662789
2026-05-02,DESIGN,825014,805779,6,1,-147.0,betonlineag,-147.0,betonlineag,-147.0,-148.49831649831648,0.0,0.0
2026-05-03,DESIGN,822742,650859,6,1,-172.0,bovada,-160.0,betonlineag,-172.0,-170.9941520467836,12.0,0.016968325791855143
2026-05-03,DESIGN,822742,663368,2,1,-244.0,mybookieag,-240.0,betonlineag,-244.0,-241.98347107438013,4.0,0.0034199726402188713
2026-05-03,DESIGN,822742,669003,6,1,-172.0,bovada,-170.0,betonlineag,-172.0,-171.99999999999994,2.0,0.002723311546840912
2026-05-03,DESIGN,822742,682928,5,1,-172.0,bovada,-170.0,betonlineag,-172.0,-171.99999999999994,2.0,0.002723311546840912
2026-05-03,DESIGN,822742,686217,5,1,-200.0,mybookieag,-199.0,betonlineag,-200.0,-200.0,1.0,0.0011148272017836858
2026-05-03,DESIGN,822742,695578,5,1,-164.0,williamhill_us,-159.0,betonlineag,-164.0,-165.00000000000003,5.0,0.0073125073125073214
2026-05-03,DESIGN,822742,695734,7,1,-179.0,williamhill_us,-173.0,betonlineag,-179.0,-178.99999999999997,6.0,0.007877427232265921
2026-05-03,DESIGN,822987,642715,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-03,DESIGN,822987,646240,5,1,-185.0,williamhill_us,-182.0,betonlineag,-185.0,-185.0,3.0,0.0037327360955580202
2026-05-03,DESIGN,822987,656305,6,1,-182.0,williamhill_us,-173.0,betonlineag,-182.0,-177.97752808988764,9.0,0.01169043722235219
2026-05-03,DESIGN,822987,666018,2,1,-217.0,mybookieag,-216.0,betonlineag,-217.0,-216.4988452655889,1.0,0.000998282953320273
2026-05-03,DESIGN,822987,691406,6,1,-147.0,williamhill_us,-143.0,betonlineag,-147.0,-145.99315068493152,4.0,0.006664334149714235
2026-05-03,DESIGN,822987,802415,5,1,-161.0,williamhill_us,-159.0,betonlineag,-161.0,-163.0,2.0,0.002958623648278813
2026-05-03,DESIGN,823065,518692,6,1,-127.0,bovada,-115.0,betonlineag,-127.0,-125.48207171314743,12.0,0.02458764470853403
2026-05-03,DESIGN,823065,663656,6,1,-159.0,bovada,-145.0,betonlineag,-159.0,-155.42122186495178,14.0,0.022062879205736352
2026-05-03,DESIGN,823065,681624,6,1,-141.0,draftkings,-126.0,betonlineag,-141.0,-141.99295774647888,15.0,0.027540116770095158
2026-05-03,DESIGN,823065,687221,2,1,-179.0,betonlineag,-179.0,betonlineag,-179.0,-178.99999999999997,0.0,0.0
2026-05-03,DESIGN,823065,691026,2,1,-204.0,betonlineag,-204.0,betonlineag,-204.0,-203.99999999999997,0.0,0.0
2026-05-03,DESIGN,823065,695336,2,1,-227.0,mybookieag,-224.0,betonlineag,-227.0,-225.4900221729491,3.0,0.002831577755125214
2026-05-03,DESIGN,823145,695600,2,1,-179.0,betonlineag,-179.0,betonlineag,-179.0,-180.97790055248615,0.0,0.0
2026-05-03,DESIGN,823307,593428,5,1,-204.0,williamhill_us,-197.0,betonlineag,-204.0,-202.99999999999997,7.0,0.007752968279284067
2026-05-03,DESIGN,823307,643217,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-03,DESIGN,823307,665487,6,1,-154.0,bovada,-145.0,betonlineag,-154.0,-149.36454849498327,9.0,0.014462477904547688
2026-05-03,DESIGN,823307,701538,5,1,-189.0,williamhill_us,-179.0,betonlineag,-189.0,-190.00000000000006,10.0,0.012402177822425697
2026-05-03,DESIGN,823387,680574,2,1,-238.0,mybookieag,-234.0,betonlineag,-238.0,-235.9830508474576,4.0,0.0035432094391100177
