left_out_dimension,left_out_value,selected_wagers,wins,losses,voids,technical_unresolved,observed_win_rate,mean_offered_break_even_probability,mean_no_vig_market_probability,mean_model_selected_side_probability,observed_minus_offered_break_even,observed_minus_no_vig_market_probability,observed_minus_model_probability,average_selected_odds,stake,offered_net,offered_roi,novig_fair_net,novig_fair_roi,even_money_net,even_money_roi,offered_price_drag_vs_novig,novig_return_vs_even_money
date,2026-05-12,5318,3336,1982,440,50,0.627303497555472,0.6444936991038731,0.6058469913127664,0.5903732720947725,-0.01719020154840112,0.021456506242705564,0.03693022546069946,-184.88115833019933,26590,-719.0041484068897,-0.027040396705787503,931.5795601693333,0.03503495901351385,6770.0,0.254606995110944,-1650.583708576223,-5838.4204398306665
date,2026-05-13,5346,3355,1991,438,51,0.6275720164609053,0.6445508689626966,0.605900027486921,0.5903160458286569,-0.01697885250179132,0.02167198897398437,0.03725597063224839,-184.93771043771045,26730,-714.5006978116286,-0.026730291725088985,945.3453257603021,0.03536645438684258,6820.0,0.2551440329218107,-1659.8460235719308,-5874.654674239698
date,2026-05-14,5343,3349,1994,437,51,0.6268014224218604,0.6443281133244078,0.60569166038764,0.5903192732547259,-0.017526690902547326,0.021109762034220436,0.03648214916713455,-184.75800112296463,26715,-733.7297743958934,-0.027465086071341696,923.9004886867451,0.034583585576894824,6775.0,0.25360284484372075,-1657.6302630826385,-5851.099511313255
date,2026-05-15,5333,3344,1989,440,49,0.6270391899493718,0.6447760676898033,0.6061127688493918,0.5902649448715545,-0.017736877740431534,0.020926421099979997,0.03677424507781735,-185.10706919182448,26665,-746.370937590894,-0.027990659575882017,907.2490471392503,0.03402396576558223,6775.0,0.25407837989874366,-1653.619984730144,-5867.75095286075
date,2026-05-16,5305,3331,1974,433,47,0.6278982092365692,0.6444755108328467,0.6058299804800288,0.590318511592837,-0.01657730159627746,0.022068228756540464,0.03757969764373226,-184.88124410933082,26525,-690.6209038978564,-0.02603660335147432,957.7116221010853,0.03610599894820302,6785.0,0.25579641847313855,-1648.3325259989415,-5827.288377898914
date,2026-05-17,5331,3348,1983,432,49,0.6280247608328644,0.6446915676820875,0.6060330636929925,0.5903723980491465,-0.01666680684922306,0.021991697139871924,0.03765236278371786,-185.0362033389608,26655,-697.0496959346947,-0.026150804574552416,959.0884200838184,0.03598155768463022,6825.0,0.25604952166572875,-1656.138116018513,-5865.911579916182
date,2026-05-18,5298,3323,1975,436,50,0.6272178180445451,0.6444217681588547,0.6057792478869407,0.5901994822574557,-0.01720395011430953,0.02143857015760442,0.03701833578708946,-184.8271045677614,26490,-713.6735399583636,-0.02694124348653694,930.895215043776,0.0351413822213581,6740.0,0.2544356360890902,-1644.5687550021396,-5809.104784956224
date,2026-05-19,5317,3338,1979,441,49,0.627797630242618,0.6443431315788144,0.6057048790284159,0.5901510189956742,-0.016545501336196367,0.022092751214202178,0.037646611246943795,-184.7671619334211,26585,-690.7533785395206,-0.025982824094019957,961.3561401736397,0.036161600156992275,6795.0,0.255595260485236,-1652.1095187131602,-5833.64385982636
date,2026-05-20,5330,3349,1981,437,50,0.6283302063789868,0.6444517058181509,0.6058089554044698,0.5901377517823639,-0.016121499439164078,0.02252125097451707,0.038192454596622905,-184.85084427767356,26650,-676.8621270030238,-0.025398203639888324,980.1913115040961,0.03678016178251768,6840.0,0.25666041275797374,-1657.05343850712,-5859.808688495904
date,2026-05-21,5359,3357,2002,443,51,0.6264228400821049,0.64439604418278,0.6057544557021418,0.590159991789513,-0.017973204100675044,0.0206683843799631,0.036262848292591965,-184.81339802201904,26795,-755.0200992928418,-0.028177648788686015,906.4073759243898,0.033827481840805744,6775.0,0.2528456801642097,-1661.4274752172316,-5868.59262407561
date,2026-05-22,5319,3335,1984,438,49,0.626997555931566,0.6443855520747119,0.6057453283582893,0.5903973015604438,-0.0173879961431459,0.021252227573276716,0.03660025437112224,-184.80861064109794,26595,-727.6591210031341,-0.027360749050691264,922.7205892889768,0.03469526562470302,6755.0,0.2539951118631322,-1650.379710292111,-5832.279410711023
date,2026-05-23,5299,3322,1977,430,51,0.6269107378750708,0.6443657062212402,0.6057268102514363,0.5902021679562183,-0.01745496834616944,0.021183927623634524,0.03670856991885252,-184.794112096622,26495,-725.5824814643306,-0.02738563810018232,918.5333961365093,0.034668178755859945,6725.0,0.2538214757501415,-1644.11587760084,-5806.4666038634905
date,2026-06-19,5319,3347,1972,434,50,0.6292536191013348,0.6445836534423741,0.6059322680987135,0.590238658394435,-0.0153300343410393,0.023321351002621338,0.039014960706899804,-184.96127091558563,26595,-639.3930212326554,-0.024041850770169407,1016.6213724435338,0.03822603393282699,6875.0,0.2585072382026697,-1656.0143936761892,-5858.378627556466
date,2026-06-20,5306,3338,1968,437,50,0.6290991330569167,0.6444493057904993,0.6058047025439715,0.5902259913305692,-0.015350172733582634,0.02329443051294522,0.03887314172634748,-184.86091217489636,26530,-641.3205150596102,-0.024173408030893715,1010.3974594485411,0.03808509081977162,6850.0,0.2581982661138334,-1651.7179745081512,-5839.602540551459
date,2026-06-21,5310,3333,1977,440,51,0.6276836158192091,0.6445292992451682,0.6058815698159253,0.5903425576271186,-0.016845683425959157,0.021802046003283726,0.03734105819209044,-184.91129943502824,26550,-702.7646657530906,-0.026469478936086276,946.3443891128065,0.03564385646375919,6780.0,0.25536723163841807,-1649.1090548658972,-5833.655610887194
date,2026-06-22,5323,3338,1985,440,51,0.627089986849521,0.6445459515662639,0.6058959537370373,0.59013833270712,-0.017455964716742933,0.02119403311248369,0.03695165414240098,-184.935374788653,26615,-727.6519478380756,-0.027339919137256266,924.0056692071157,0.03471747770832672,6765.0,0.2541799736990419,-1651.6576170451913,-5840.994330792884
date,2026-06-23,5307,3337,1970,427,50,0.628792161296401,0.6445500324965338,0.6059003467577513,0.5901945788581119,-0.015757871200132723,0.022891814538649746,0.038597582438289146,-184.93649896363294,26535,-658.1313654196073,-0.024802387993955427,992.8157070786335,0.0374153271934665,6835.0,0.25758432259280195,-1650.9470724982407,-5842.184292921366
date,2026-06-24,5307,3338,1969,438,51,0.6289805916713774,0.6446092408542736,0.605956251186399,0.5901437279065386,-0.015628649182896193,0.02302434048497848,0.03883686376483886,-184.98134539287733,26535,-650.5504186036871,-0.024516691863715363,1000.9205344781994,0.037720766326670416,6845.0,0.25796118334275486,-1651.4709530818866,-5844.079465521801
date,2026-06-25,5346,3352,1994,437,47,0.6270108492330715,0.6444316300743683,0.6057886696130556,0.590198785634119,-0.017420780841296835,0.021222179620015935,0.036812063598952505,-184.8424990647213,26730,-732.3235177777875,-0.027397063889928453,926.383076594502,0.034657054866984734,6790.0,0.2540216984661429,-1658.7065943722896,-5863.616923405498
date,2026-06-26,5316,3333,1983,439,51,0.6269751693002258,0.644496651157371,0.6058479899058145,0.5901562802859293,-0.017521481857145194,0.021127179394411333,0.03681888901429653,-184.89597441685478,26580,-730.0037978608977,-0.027464401725391187,919.3549117041348,0.034588220906852325,6750.0,0.25395033860045146,-1649.3587095650325,-5830.645088295865
date,2026-06-27,5296,3327,1969,437,48,0.6282099697885196,0.6443568879509902,0.605717068502199,0.5900168408232629,-0.016146918162470603,0.022492901286320643,0.03819312896525673,-184.78682024169186,26480,-673.5736179478688,-0.025437070164194442,972.9390431033326,0.03674241099332827,6790.0,0.2564199395770393,-1646.5126610512013,-5817.060956896667
date,2026-06-28,5299,3315,1984,435,48,0.6255897339120589,0.6445517889925483,0.6059017725578923,0.5902020341573881,-0.018962055080489426,0.019687961354166506,0.03538769975467071,-184.93979996225704,26495,-791.5604813882726,-0.02987584379650019,848.3550830230154,0.03201944076327667,6655.0,0.25117946782411776,-1639.915564411288,-5806.644916976985
date,2026-06-29,5295,3329,1966,432,48,0.6287063267233239,0.6448320166637013,0.606166352395062,0.5899459510859301,-0.01612568994037733,0.022539974328261936,0.038760375637393873,-185.1501416430595,26475,-670.919048672243,-0.02534160712643033,975.3813779180825,0.03684160067679254,6815.0,0.25741265344664777,-1646.3004265903255,-5839.618622081917
date,2026-06-30,5283,3317,1966,429,50,0.6278629566534166,0.6447791281433025,0.6061160505297937,0.5899795171304183,-0.01691617148988589,0.021746906123622955,0.03788343952299833,-185.10126821881508,26415,-705.3009854933567,-0.026700775525018237,935.0043655777014,0.03539672025658533,6755.0,0.25572591330683325,-1640.305351071058,-5819.995634422298
date,2026-07-01,5292,3328,1964,433,50,0.6288737717309146,0.6448872236193982,0.6062186606415618,0.5898464363189722,-0.016013451888483576,0.02265511108935281,0.039027335411942476,-185.16609977324262,26460,-663.8675805819908,-0.0250894777241871,981.9387861990592,0.037110309380160966,6820.0,0.25774754346182915,-1645.80636678105,-5838.061213800941
date,2026-07-02,5335,3353,1982,442,51,0.6284910965323336,0.6445592887549749,0.6059097575414173,0.5901759610121837,-0.01606819222264133,0.0225813389909163,0.03831513552014987,-184.9302717900656,26675,-675.3170813594948,-0.02531647915124629,983.4806564635371,0.03686900305392829,6855.0,0.2569821930646673,-1658.7977378230319,-5871.519343536463
date,2026-07-03,5296,3321,1975,436,51,0.6270770392749244,0.6447891173231513,0.6061264958910846,0.5900326548338368,-0.01771207804822683,0.020950543383839837,0.0370443844410876,-185.11367069486406,26480,-736.5900820407941,-0.027816845998519413,905.7885148623031,0.034206514911718396,6730.0,0.25415407854984895,-1642.3785969030973,-5824.211485137697
date,2026-07-04,5286,3315,1971,430,51,0.6271282633371169,0.6447747608269973,0.6061118326998948,0.5900172962542566,-0.01764649748988034,0.02101643063722214,0.037110967082860324,-185.1040484298146,26430,-728.992888018409,-0.027582023761574308,910.7201586319404,0.03445781909314947,6720.0,0.2542565266742338,-1639.7130466503495,-5809.279841368059
date,2026-07-05,5286,3322,1964,433,51,0.6284525160802119,0.6446708679183729,0.6060132153839951,0.5898872088535755,-0.016218351838161005,0.022439300696216802,0.038565307226636425,-185.02024214907303,26430,-674.4403153209424,-0.02551798393193123,968.796439616742,0.03665518121894597,6790.0,0.25690503216042376,-1643.2367549376845,-5821.203560383258
date,2026-07-06,5346,3362,1984,442,51,0.6288814066591845,0.6445772828513041,0.6059258237855555,0.5901814046015713,-0.01569587619211965,0.022955582873628977,0.03870000205761315,-184.96502057613168,26730,-659.2704526676384,-0.02466406482108636,1004.0765450029769,0.03756365675282368,6890.0,0.25776281331836887,-1663.3469976706153,-5885.923454997023
date,2026-07-07,5299,3310,1989,437,48,0.6246461596527647,0.6443582937195034,0.6057194703909474,0.5901274500849217,-0.019712134066738662,0.018926689261817287,0.034518709567842976,-184.78788450651066,26495,-818.1676728489269,-0.030880078235475634,820.0398717773819,0.030950740584162365,6605.0,0.24929231930552934,-1638.2075446263088,-5784.960128222618
date,2026-07-08,5316,3328,1988,435,50,0.6260346124905944,0.6445815309063231,0.6059290942289909,0.5901463333333333,-0.01854691841572864,0.02010551826160356,0.035888279157261116,-184.96914973664408,26580,-775.85250920657,-0.029189334432150865,870.4828661239247,0.032749543496009205,6700.0,0.2520692249811889,-1646.3353753304946,-5829.517133876076
date,2026-07-09,5334,3342,1992,439,51,0.6265466816647919,0.6446089036752328,0.6059552767053311,0.590330988751406,-0.018062222010440943,0.02059140495946077,0.03621569291338589,-184.98293963254594,26670,-756.6150224908665,-0.028369517153763273,896.6853055693173,0.03362149627181542,6750.0,0.2530933633295838,-1653.3003280601838,-5853.314694430683
date,2026-07-10,5299,3332,1967,439,50,0.6287978863936592,0.6445273595021155,0.6058793504437445,0.5903175327420268,-0.015729473108456293,0.022918535949914665,0.03848035365163238,-184.91960747310813,26495,-656.6852591877987,-0.024785252281102045,991.7738783369966,0.03743249210556696,6825.0,0.2575957727873184,-1648.4591375247953,-5833.226121663003
date,2026-07-11,5323,3342,1981,440,50,0.6278414427954161,0.6446361957683747,0.6059815470036749,0.59039683317678,-0.016794752972958626,0.02185989579174119,0.03744460961863605,-185.00901747135075,26615,-700.0288061093061,-0.026302040432436825,953.3385014501891,0.035819594268276876,6805.0,0.25568288559083224,-1653.3673075594952,-5851.661498549811
date,2026-07-12,5309,3328,1981,436,51,0.6268600489734413,0.6445177708288145,0.6058697545509357,0.5903804524392541,-0.017657721855373176,0.02099029442250555,0.0364795965341872,-184.92070069692974,26545,-736.8555159877553,-0.027758731060002085,909.7554888788499,0.03427219773512337,6735.0,0.25372009794688266,-1646.611004866605,-5825.24451112115
date,2026-07-19,5304,3329,1975,435,50,0.6276395173453997,0.6445682036807696,0.6059166971726043,0.590222222096531,-0.016928686335369925,0.021722820172795365,0.03741729524886872,-184.93759426847663,26520,-702.1054526990612,-0.026474564581412563,945.1169320851486,0.03563789336670998,6770.0,0.2552790346907994,-1647.2223847842097,-5824.883067914851
date,2026-07-20,5302,3331,1971,441,49,0.6282534892493399,0.6446453006073294,0.6059900177562689,0.5902315777065259,-0.016391811357989505,0.022263471493070952,0.03802191154281398,-185.00980761976612,26510,-683.5319255932277,-0.02578392778548577,964.22389133723,0.03637208190634591,6800.0,0.25650697849867976,-1647.7558169304577,-5835.77610866277
date,2026-07-21,5300,3325,1975,435,51,0.6273584905660378,0.6445867517129668,0.6059358562413978,0.5903447143396227,-0.01722826114692899,0.021422634324639978,0.03701377622641511,-184.96735849056603,26500,-720.7849967230986,-0.027199433838607495,923.8935693173464,0.03486390827612628,6750.0,0.25471698113207547,-1644.678566040445,-5826.106430682654
date,2026-07-22,5288,3322,1966,429,50,0.6282148260211801,0.644526262277494,0.6058780345911932,0.5903352946293495,-0.016311436256313927,0.022336791429986902,0.037879531391830534,-184.91168683812404,26440,-675.7458361340882,-0.0255577093847991,968.0277626383245,0.0366122451829926,6780.0,0.25642965204236007,-1643.7735987724127,-5811.972237361675
date,2026-07-23,5388,3381,2007,442,51,0.6275055679287305,0.6445196277374243,0.6058713153754355,0.590263932256867,-0.01701405980869386,0.021634252553294986,0.03724163567186345,-184.9086859688196,26940,-720.9595517507116,-0.026761676011533467,951.8482279382165,0.03533215396949579,6870.0,0.25501113585746105,-1672.8077796889281,-5918.151772061783
date,2026-07-24,5314,3336,1978,438,50,0.6277756868648852,0.6444709327214775,0.6058259187744338,0.5902900583364697,-0.016695245856592322,0.02194976809045135,0.037485628528415416,-184.87297704177644,26570,-696.0052625832502,-0.026195154782960115,954.795690374212,0.03593510313790786,6790.0,0.25555137372977044,-1650.8009529574622,-5835.204309625788
date,2026-07-25,5309,3328,1981,439,51,0.6268600489734413,0.6443954872647216,0.6057544040417724,0.5903995437935581,-0.017535438291280347,0.021105644931668888,0.036460505179883196,-184.812582407233,26545,-730.1078517746976,-0.027504533877366642,916.9637772380288,0.03454374749436914,6735.0,0.25372009794688266,-1647.0716290127264,-5818.036222761972
date,2026-07-26,5286,3323,1963,433,51,0.6286416950435112,0.6445246000029409,0.6058755815389084,0.5904405287552024,-0.015882904959429678,0.02276611350460278,0.03820116628830883,-184.91430192962542,26430,-655.168789836073,-0.024788830489446575,989.2965577975267,0.03743081943993669,6800.0,0.25728339008702233,-1644.4653476335998,-5810.7034422024735
date,2026-07-27,5327,3344,1983,439,51,0.6277454477191665,0.6445632987295522,0.605913133825611,0.5904596870658907,-0.016817851010385687,0.021832313893555555,0.03728576065327582,-184.94837619673362,26635,-704.1532747936606,-0.026437141910781323,950.2553429054979,0.035676941727257286,6805.0,0.25549089543833303,-1654.4086176991584,-5854.744657094502
date,2026-07-28,5295,3323,1972,438,51,0.6275731822474032,0.6445918654812182,0.6059395599803289,0.5904037476864967,-0.017018683233814946,0.021633622267074326,0.03716943456090649,-184.9675165250236,26475,-709.950484409183,-0.02681588231951588,933.9079921808385,0.03527508941192969,6755.0,0.25514636449480643,-1643.8584765900214,-5821.092007819161
date,2026-07-29,5311,3339,1972,437,50,0.6286951609866315,0.6445143132591535,0.6058673623312333,0.590484765204293,-0.015819152272522063,0.02282779865539819,0.038210395782338424,-184.90830352099417,26555,-657.9596468091271,-0.0247772414539306,994.2674478765555,0.03744181690365488,6835.0,0.25739032197326306,-1652.2270946856825,-5840.732552123444
date,2026-07-30,5351,3356,1995,440,51,0.6271724911231545,0.64450247893236,0.6058556432244452,0.5903408392823771,-0.01732998780920547,0.021316847898709357,0.03683165184077741,-184.89665483087273,26755,-731.1898892889983,-0.027329093227022924,929.1427106816609,0.03472781576085445,6805.0,0.2543449822463091,-1660.3325999706592,-5875.857289318339
date,2026-07-31,5305,3321,1984,436,50,0.6260131950989632,0.6445113634932463,0.6058636101753441,0.5904609223374175,-0.018498168394283088,0.02014958492361918,0.03555227276154571,-184.8938737040528,26525,-770.4738816475041,-0.02904708319123484,872.7050865171611,0.03290122852091088,6685.0,0.2520263901979265,-1643.178968164665,-5812.294913482839
date,2026-08-01,5353,3363,1990,439,51,0.6282458434522697,0.6445161404802539,0.6058685618725091,0.5903783519521764,-0.016270297027984104,0.0223772815797606,0.037867491500093386,-184.90715486643003,26765,-683.283817230521,-0.025529004940426713,980.7264811039402,0.0366421252047054,6865.0,0.2564916869045395,-1664.0102983344611,-5884.27351889606
date,2026-08-02,5321,3332,1989,425,51,0.6261980830670927,0.6444227183123357,0.6057807644183478,0.590464670738583,-0.01822463524524298,0.020417318648744853,0.035733412328509684,-184.83348994549897,26605,-760.6900088978887,-0.028591994320537068,888.1928456846207,0.033384433214982925,6715.0,0.2523961661341853,-1648.8828545825095,-5826.807154315379
month,2026-05,3691,2287,1404,303,31,0.6196152804118125,0.6426737215095767,0.6041326849543677,0.5912589244107288,-0.023058441097764226,0.015482595457444792,0.02835635600108366,-183.44757518287727,18455,-665.2844169240358,-0.03604900660655843,469.80009953731894,0.025456521242878297,4415.0,0.23923056082362504,-1135.0845164613547,-3945.199900462681
month,2026-06,4230,2681,1549,341,34,0.633806146572104,0.6449389056497533,0.606263694174602,0.5886886983451538,-0.011132759077649323,0.02754245239750197,0.045117448226950185,-185.25721040189126,21150,-377.10137751919126,-0.017829852364973583,948.4150769721399,0.044842320424214654,5660.0,0.26761229314420804,-1325.5164544913312,-4711.58492302786
month,2026-07,3033,1909,1124,268,37,0.6294098252555226,0.646448932729112,0.6076917737593321,0.5906151971645236,-0.017039107473589388,0.021718051496190438,0.038794628090998984,-186.41147378832838,15165,-403.237472347622,-0.02659000806776274,538.3592831446925,0.03550011758290093,3925.0,0.25881965051104516,-941.5967554923145,-3386.6407168553073
month,2026-08,5267,3302,1965,420,51,0.6269223466869186,0.6444050058113969,0.605764346932956,0.5905946324283273,-0.017482659124478328,0.021157999753962597,0.03632771425859127,-184.82020125308526,26335,-721.574552898595,-0.027399831133419216,912.5458801778827,0.03465144788979999,6685.0,0.2538446933738371,-1634.1204330764776,-5772.454119822118
