dimension,value,rows,share,selected_wagers,wins,losses,voids,technical_unresolved,observed_win_rate,mean_offered_break_even_probability,mean_no_vig_market_probability,mean_model_selected_side_probability,observed_minus_offered_break_even,observed_minus_no_vig_market_probability,observed_minus_model_probability,average_selected_odds,stake,offered_net,offered_roi,novig_fair_net,novig_fair_roi,even_money_net,even_money_roi,offered_price_drag_vs_novig,novig_return_vs_even_money
date,2026-05-11,32,0.005421890884445951,32,22,10,0,0,0.6875,0.6648248948345311,0.6250426202842554,0.5806607500000001,0.02267510516546889,0.06245737971574461,0.10683924999999994,-201.15625,160,4.830677515001836,0.03019173446876148,15.332333019985827,0.09582708137491142,60.0,0.375,-10.50165550498399,-44.667666980014175
date,2026-05-12,94,0.01592680447305998,89,57,32,4,1,0.6404494382022472,0.6468486144686781,0.6080757761393153,0.5830431573033708,-0.006399176266430939,0.03237366206293191,0.05740628089887645,-187.20224719101122,445,-3.3951248229248634,-0.007629493984100817,24.793886441344746,0.05571659874459493,125.0,0.2808988764044944,-28.18901126426961,-100.20611355865526
date,2026-05-13,67,0.01135208403930871,61,38,23,6,0,0.6229508196721312,0.6429192302874226,0.6044507693870627,0.584693786885246,-0.01996841061529142,0.018500050285068514,0.03825703278688519,-183.31147540983608,305,-7.898575418186102,-0.025896968584216726,11.02812085037608,0.036157773279921576,75.0,0.2459016393442623,-18.926696268562182,-63.971879149623916
date,2026-05-14,71,0.012029820399864452,64,44,20,7,0,0.6875,0.6615923285906132,0.6219141004145357,0.5846878906249999,0.025907671409386768,0.06558589958546435,0.10281210937500007,-198.390625,320,11.330501166078664,0.035407816143995824,32.47295792393289,0.10147799351229028,120.0,0.375,-21.142456757854227,-87.52704207606712
date,2026-05-15,80,0.013554727211114876,74,49,25,4,2,0.6621621621621622,0.6269763450322678,0.5893736162687054,0.5893642027027027,0.035185817129894326,0.07278854589345674,0.07279795945945944,-171.3918918918919,370,23.971664361079313,0.06478828205697111,49.124399471428,0.13276864722007567,120.0,0.32432432432432434,-25.152735110348686,-70.875600528572
date,2026-05-16,117,0.019823788546255508,102,62,40,11,4,0.6078431372549019,0.647494446606444,0.6086764454033147,0.5868254705882353,-0.03965130935154204,-0.0008333081484127591,0.0210176666666666,-186.90196078431373,510,-31.778369331958395,-0.0623105281018792,-1.3381754904072083,-0.002623873510602369,110.0,0.21568627450980393,-30.440193841551185,-111.33817549040721
date,2026-05-17,90,0.015249068112504236,76,45,31,12,2,0.5921052631578947,0.633371989590801,0.5954050175045668,0.5818506315789475,-0.0412667264329063,-0.003299754346672068,0.010254631578947238,-176.72368421052633,380,-25.34957729511995,-0.06670941393452619,-2.7149734731402604,-0.007144667034579633,70.0,0.18421052631578946,-22.634603821979688,-72.71497347314026
date,2026-05-18,118,0.019993222636394442,109,70,39,8,1,0.6422018348623854,0.6499127597843765,0.610959528189712,0.5928352752293577,-0.0077109249219911025,0.03124230667267336,0.04936655963302761,-189.40366972477065,545,-8.725733271451029,-0.01601051976413033,25.47823156690201,0.04674904874660919,155.0,0.28440366972477066,-34.20396483835304,-129.52176843309798
date,2026-05-19,95,0.016096238563198917,90,55,35,3,2,0.6111111111111112,0.6557176435283673,0.6164466898178118,0.5962548222222223,-0.044606532417256095,-0.00533557870670065,0.014856288888888902,-193.9111111111111,450,-31.64589469029423,-0.07032421042287607,-4.982693562961649,-0.011072652362136998,100.0,0.2222222222222222,-26.66320112733258,-104.98269356296164
date,2026-05-20,85,0.014401897661809555,77,44,33,7,1,0.5714285714285714,0.6501224222255171,0.6110559944398339,0.5982037012987013,-0.07869385079694569,-0.03962742301126254,-0.026775129870129866,-189.66233766233765,385,-45.5371462267909,-0.11827830188776858,-23.817864893417944,-0.06186458413874791,55.0,0.14285714285714285,-21.719281333372958,-78.81786489341795
date,2026-05-21,49,0.008302270416807861,48,36,12,1,0,0.75,0.6597628697206624,0.620310745206508,0.600593875,0.09023713027933755,0.12968925479349203,0.14940612499999995,-196.75,240,32.62082606302716,0.1359201085959465,49.96607068628827,0.20819196119286779,120.0,0.5,-17.34524462326111,-70.03392931371172
date,2026-05-22,96,0.01626567265333785,88,58,30,6,2,0.6590909090909091,0.6534121254172365,0.6142459356812467,0.5815074431818182,0.005678783673672583,0.044844973409662314,0.07758346590909082,-191.61363636363637,440,5.2598477733194855,0.011954199484817013,33.65285732170128,0.07648376664023018,140.0,0.3181818181818182,-28.393009548381798,-106.34714267829872
date,2026-05-23,122,0.020670958996950185,108,71,37,14,0,0.6574074074074074,0.6527142708866441,0.6135803366234261,0.5927279074074073,0.004693136520763308,0.04382707078398129,0.06467950000000011,-191.0648148148148,540,3.1832082345160213,0.005894830063918558,37.84005047416868,0.07007416754475682,170.0,0.3148148148148148,-34.656842239652654,-132.15994952583134
date,2026-06-19,99,0.01677397492375466,88,46,42,10,1,0.5227272727272727,0.6414382484332009,0.6029467029617468,0.5910963409090908,-0.11871097570592815,-0.08021943023447409,-0.0683690681818181,-182.38636363636363,440,-83.00625199715928,-0.18865057272081656,-60.247925832855664,-0.13692710416558104,20.0,0.045454545454545456,-22.758326164303618,-80.24792583285566
date,2026-06-20,109,0.018468315825144018,101,55,46,7,1,0.5445544554455446,0.6489010098784166,0.6100325958354244,0.5916514059405941,-0.104346554432872,-0.06547814038987976,-0.04709695049504947,-187.990099009901,505,-81.07875817020444,-0.16055199637664244,-54.02401283786316,-0.10697824324329339,45.0,0.0891089108910891,-27.054745332341277,-99.02401283786315
date,2026-06-21,101,0.01711284310403253,97,60,37,4,0,0.6185567010309279,0.6447055621676907,0.6059990531456428,0.5853290824742268,-0.026148861136762847,0.012557647885285017,0.03322761855670109,-185.36082474226805,485,-19.634607476724007,-0.040483726756131974,10.029057497871417,0.020678469067776116,115.0,0.23711340206185566,-29.663664974595424,-104.97094250212858
date,2026-06-22,88,0.014910199932226365,84,55,29,4,0,0.6547619047619048,0.6436775992248351,0.6051057397076341,0.5974947261904762,0.011084305537069628,0.04965616505427062,0.0572671785714286,-183.9047619047619,420,5.252674608260881,0.012506368114906859,32.36777740356228,0.07706613667514828,130.0,0.30952380952380953,-27.115102795301397,-97.63222259643771
date,2026-06-23,118,0.019993222636394442,100,56,44,17,1,0.56,0.6435999606300444,0.6049990363430477,0.59333272,-0.08359996063004438,-0.044999036343047694,-0.03333271999999998,-184.01,500,-64.26790781020743,-0.12853581562041486,-36.442260467955485,-0.07288452093591097,60.0,0.12,-27.825647342251948,-96.44226046795549
date,2026-06-24,106,0.017960013554727212,100,55,45,6,0,0.55,0.6404577730847896,0.6020321883147113,0.59603138,-0.09045777308478953,-0.052032188314711236,-0.046031379999999955,-181.63,500,-71.8488546261276,-0.1436977092522552,-44.54708786752131,-0.08909417573504262,50.0,0.1,-27.30176675860629,-94.54708786752131
date,2026-06-25,72,0.012199254490003388,61,41,20,7,4,0.6721311475409836,0.6533692482710896,0.6142101004310679,0.594970393442623,0.018761899269894022,0.057921047109915635,0.07716075409836054,-191.65573770491804,305,9.924244547972862,0.03253850671466512,29.990370016176332,0.09832908202025027,105.0,0.3442622950819672,-20.06612546820347,-75.00962998382367
date,2026-06-26,96,0.01626567265333785,91,60,31,5,0,0.6593406593406593,0.646624406258523,0.6079684564657212,0.5958803956043957,0.012716253082136308,0.051372202874938155,0.06346026373626368,-186.28571428571428,455,7.604524631082951,0.016713240947435058,37.01853490654323,0.08135941737701809,145.0,0.31868131868131866,-29.414010275460278,-107.98146509345676
date,2026-06-27,121,0.02050152490681125,111,66,45,7,3,0.5945945945945946,0.6529093687717608,0.6138328746850918,0.6015019189189188,-0.05831477417716613,-0.019238280090497217,-0.006907324324324171,-191.24324324324326,555,-48.825655281945835,-0.08797415366116366,-16.56559649265442,-0.029847921608386344,105.0,0.1891891891891892,-32.26005878929141,-121.56559649265442
date,2026-06-28,120,0.020332090816672314,108,78,30,9,3,0.7222222222222222,0.643584154172182,0.6049958434575828,0.5927344722222222,0.07863806805004026,0.11722637876463937,0.12948775,-183.91666666666666,540,69.16120815845798,0.1280763114045518,108.01836358766268,0.20003400664381976,240.0,0.4444444444444444,-38.857155429204695,-131.9816364123373
date,2026-06-29,127,0.021518129447644866,112,64,48,12,3,0.5714285714285714,0.630370448998309,0.5925197138021179,0.6047508125,-0.058941877569737566,-0.02109114237354648,-0.03332224107142856,-174.00892857142858,560,-51.48022455757168,-0.09192897242423514,-19.00793130740447,-0.03394273447750798,80.0,0.14285714285714285,-32.47229325016721,-99.00793130740448
date,2026-06-30,140,0.023720772619451033,124,76,48,15,1,0.6129032258064516,0.6340232624277583,0.595983459103154,0.6018880080645161,-0.02112003662130668,0.016919766703297645,0.011015217741935479,-177.16935483870967,620,-17.098287736457838,-0.027577883445899738,21.369081032976723,0.034466259730607615,140.0,0.22580645161290322,-38.46736876943456,-118.63091896702328
date,2026-07-01,127,0.021518129447644866,115,65,50,11,1,0.5652173913043478,0.6282072272022081,0.5904686240221354,0.6089440086956522,-0.06298983589786034,-0.02525123271778762,-0.043726617391304456,-173.56521739130434,575,-58.531692647823995,-0.10179424808317217,-25.565339588381324,-0.04446146015370665,75.0,0.13043478260869565,-32.96635305944267,-100.56533958838132
date,2026-07-02,74,0.01253812267028126,72,40,32,2,0,0.5555555555555556,0.6425446251988688,0.6039512138087404,0.5959326388888889,-0.08698906964331321,-0.048395658253184815,-0.04037708333333334,-184.11111111111111,360,-47.082191870319875,-0.1307838663064441,-27.107209852859082,-0.07529780514683078,40.0,0.1111111111111111,-19.974982017460793,-67.10720985285909
date,2026-07-03,119,0.02016265672653338,111,72,39,8,0,0.6486486486486487,0.6322869655738766,0.5942983931396996,0.6007474054054053,0.016361683074772038,0.05435025550894912,0.04790124324324341,-175.64864864864865,555,14.190808810979346,0.025569024884647473,50.58493174837499,0.09114402116824323,165.0,0.2972972972972973,-36.39412293739564,-114.415068251625
date,2026-07-04,135,0.022873602168756352,121,78,43,14,0,0.6446280991735537,0.63394737843473,0.5959164977359267,0.6005328429752066,0.010680720738823646,0.04871160143762698,0.04409525619834709,-176.8512396694215,605,6.593614788594336,0.010898536840651795,45.65328797873761,0.07545998013014481,175.0,0.2892561983471074,-39.05967319014327,-129.3467120212624
date,2026-07-05,132,0.022365299898339547,121,71,50,11,0,0.5867768595041323,0.6384860388891745,0.6002246889082002,0.6062158347107438,-0.05170917938504227,-0.013447829404067968,-0.01943897520661153,-180.51239669421489,605,-47.95895790887224,-0.0792710048080533,-12.422993006063829,-0.020533872737295584,105.0,0.17355371900826447,-35.535964902808416,-117.42299300606383
date,2026-07-06,63,0.010674347678752964,61,31,30,2,0,0.5081967213114754,0.6406043344104458,0.6021899986903461,0.596493655737705,-0.13240761309897042,-0.09399327737887064,-0.08829693442622955,-180.91803278688525,305,-63.128820562176216,-0.20697973954811874,-47.70309839229884,-0.1564036012862257,5.0,0.01639344262295082,-15.425722169877375,-52.70309839229884
date,2026-07-07,118,0.019993222636394442,108,83,25,7,3,0.7685185185185185,0.653077963911673,0.6139404655190794,0.5963939259259258,0.11544055460684544,0.15457805299943905,0.17212459259259272,-191.37037037037038,540,95.76839961911229,0.17734888818354128,136.33357483329613,0.25246958302462247,290.0,0.5370370370370371,-40.56517521418384,-153.66642516670387
date,2026-07-08,101,0.01711284310403253,91,65,26,9,1,0.7142857142857143,0.6416659365285273,0.6032305379821423,0.5964614725274726,0.07261977775718698,0.11105517630357198,0.11782424175824169,-182.01098901098902,455,53.45323597675532,0.11747963950935236,85.89058048675335,0.1887705065642931,195.0,0.42857142857142855,-32.43734450999803,-109.10941951324665
date,2026-07-09,78,0.013215859030837005,73,51,22,5,0,0.6986301369863014,0.6389469358687351,0.6006520264582825,0.5845261369863014,0.05968320111756631,0.09797811052801886,0.11410399999999998,-180.27397260273972,365,34.21574926105188,0.09374177879740242,59.688141041360616,0.1635291535379743,145.0,0.3972602739726027,-25.472391780308733,-85.31185895863939
date,2026-07-10,114,0.0193154862758387,108,61,47,5,1,0.5648148148148148,0.6447827825962876,0.6060959803360036,0.5870675555555555,-0.07996796778147286,-0.04128116552118888,-0.022252740740740684,-184.90740740740742,540,-65.71401404201592,-0.12169261859632577,-35.40043172631859,-0.06555635504873812,70.0,0.12962962962962962,-30.31358231569733,-105.40043172631859
date,2026-07-11,89,0.0150796340223653,84,51,33,4,1,0.6071428571428571,0.637958910083943,0.5996817759182081,0.5811137976190476,-0.030816052941085914,0.007461081224648947,0.026029059523809517,-179.23809523809524,420,-22.370467120508632,-0.05326301695359198,3.034945160488962,0.007226059905926101,90.0,0.21428571428571427,-25.405412280997595,-86.96505483951104
date,2026-07-12,106,0.017960013554727212,98,65,33,8,0,0.6632653061224489,0.6453282978768723,0.6066379282323776,0.5833273469387755,0.017937008245576647,0.05662737789007133,0.07993795918367341,-184.8469387755102,490,14.456242757940649,0.029502536240695203,46.61795773182821,0.095138689248629,160.0,0.32653061224489793,-32.16171497388756,-113.38204226817179
date,2026-07-19,113,0.01914605218569976,103,64,39,9,1,0.6213592233009708,0.6426919048476439,0.6041833211087145,0.5918178252427184,-0.021332681546673116,0.017175902192256287,0.0295413980582524,-183.98058252427185,515,-20.29382053075351,-0.03940547675874468,11.256514525529482,0.021857309758309674,125.0,0.24271844660194175,-31.550335056282993,-113.74348547447052
date,2026-07-20,110,0.018637749915282956,105,62,43,3,2,0.5904761904761905,0.6388346162099909,0.6005139974662163,0.5913150190476191,-0.04835842573380045,-0.010037806990025766,-0.0008388285714285848,-180.35238095238094,525,-38.867347636586885,-0.07403304311730835,-7.850444726551958,-0.014953228050575158,95.0,0.18095238095238095,-31.01690291003493,-102.85044472655196
date,2026-07-21,116,0.01965435445611657,107,68,39,9,0,0.6355140186915887,0.6418433125550046,0.603299119610118,0.5856908037383178,-0.006329293863415852,0.032214899081470794,0.04982321495327091,-182.54205607476635,535,-1.6142765067160147,-0.0030173392648897472,32.47987729333159,0.060710051015573065,145.0,0.27102803738317754,-34.09415380004761,-112.52012270666842
date,2026-07-22,135,0.022873602168756352,119,71,48,15,1,0.5966386554621849,0.6448079294010155,0.6061344282307647,0.5865786890756303,-0.04816927393883064,-0.009495772768579824,0.010059966386554597,-185.26050420168067,595,-46.65343709572648,-0.07840913797601089,-11.654316027646349,-0.019587085760750165,115.0,0.19327731092436976,-34.99912106808013,-126.65431602764635
date,2026-07-23,21,0.003558115892917655,19,12,7,2,0,0.631578947368421,0.6481718038351248,0.6093892965707347,0.5870439473684211,-0.01659285646670383,0.02218965079768631,0.04453499999999988,-187.94736842105263,95,-1.4397214791030244,-0.015154962937926572,4.525218672461493,0.04763388076275256,25.0,0.2631578947368421,-5.964940151564518,-20.47478132753851
date,2026-07-24,100,0.016943409013893594,93,57,36,6,1,0.6129032258064516,0.6480481939804147,0.6091839947349336,0.5881132473118279,-0.035144968173963065,0.0037192310715180588,0.02478997849462372,-187.56989247311827,465,-26.394010646564478,-0.056761313218418236,1.577756236466116,0.00339302416444326,105.0,0.22580645161290322,-27.971766883030593,-103.42224376353388
date,2026-07-25,103,0.017451711284310403,98,65,33,5,0,0.6632653061224489,0.6519528227928827,0.6128868655093929,0.5822931020408163,0.011312483329566247,0.050378440613056075,0.08097220408163264,-190.70408163265307,490,7.70857854488284,0.01573179294874049,39.40966937264923,0.08042789667887598,160.0,0.32653061224489793,-31.701090827766393,-120.59033062735077
date,2026-07-26,132,0.022365299898339547,121,70,51,11,0,0.5785123966942148,0.6448758917897854,0.6062373542398409,0.5820435289256198,-0.0663634950955706,-0.027724957545626094,-0.0035311322314049987,-185.1404958677686,605,-67.23048339374178,-0.11112476594006905,-32.92311118684856,-0.05441836559809679,95.0,0.15702479338842976,-34.30737220689322,-127.92311118684856
date,2026-07-27,85,0.014401897661809555,80,49,31,5,0,0.6125,0.6424790773723098,0.6039222498582573,0.5764643625,-0.02997907737230976,0.00857775014174278,0.03603563750000005,-182.9875,400,-18.245998436154107,-0.04561499609038527,6.1181037051801095,0.015295259262950273,90.0,0.225,-24.364102141334214,-83.8818962948199
date,2026-07-28,118,0.019993222636394442,112,70,42,6,0,0.625,0.6417240249915989,0.6032417301950855,0.5831076607142857,-0.016724024991598863,0.021758269804914465,0.04189233928571434,-182.64285714285714,560,-12.44878882063167,-0.02222998003684227,22.465454429839568,0.0401168829104278,140.0,0.25,-34.91424325047124,-117.53454557016043
date,2026-07-29,104,0.01762114537444934,96,54,42,7,1,0.5625,0.6455364666952607,0.6067862764219828,0.5774095208333333,-0.08303646669526066,-0.044286276421982795,-0.0149095208333333,-185.53125,480,-64.4396264206876,-0.13424922170976583,-37.89400126587749,-0.07894583597057811,60.0,0.125,-26.54562515481011,-97.89400126587749
date,2026-07-30,60,0.010166045408336157,56,37,19,4,0,0.6607142857142857,0.6473973884830487,0.6085624461372175,0.5818226964285714,0.013316897231236968,0.05215183957706815,0.07889158928571427,-187.08928571428572,280,8.790616059183659,0.03139505735422735,27.230735929017186,0.09725262831791852,90.0,0.32142857142857145,-18.440119869833527,-62.769264070982814
date,2026-07-31,111,0.01880718400542189,102,72,30,8,1,0.7058823529411765,0.6456297567689938,0.6069273715440232,0.5794187156862745,0.060252596172182704,0.09895498139715331,0.12646363725490206,-186.2450980392157,510,48.07460841768944,0.09426393807390086,83.6683600935169,0.1640556080265037,210.0,0.4117647058823529,-35.593751675827455,-126.3316399064831
date,2026-08-01,59,0.009996611318197221,54,30,24,5,0,0.5555555555555556,0.6461503431724201,0.6073820772990586,0.5777885925925926,-0.09059478761686457,-0.051826521743502996,-0.02223303703703705,-186.12962962962962,270,-39.11545599929375,-0.1448720592566435,-24.35303449326199,-0.09019642404911848,30.0,0.1111111111111111,-14.76242150603176,-54.35303449326199
date,2026-08-02,105,0.017790579464588275,86,61,25,19,0,0.7093023255813954,0.6513224928159466,0.6122511210193223,0.5771324302325581,0.057979832765448824,0.09705120456207306,0.13216989534883727,-190.2325581395349,430,38.29073566807408,0.0890482224838932,68.18060092605734,0.15855953703734266,180.0,0.4186046511627907,-29.88986525798326,-111.81939907394266
month,2026-05,1877,0.3180277871907828,1716,1106,610,141,20,0.6445221445221445,0.6485304850992202,0.6096499438875986,0.5880881188811189,-0.004008340577075664,0.03487220063454588,0.05643402564102562,-188.08508158508158,8580,-57.114856305778915,-0.006656743159181692,486.57334707335906,0.05671018031158031,2480.0,0.289044289044289,-543.688203379138,-1993.426652926641
month,2026-06,1297,0.21975601491019994,1177,712,465,103,17,0.6049277824978759,0.6430717481934182,0.6045179418174378,0.5958731588785047,-0.03814396569554224,0.0004098406804381449,0.00905462361937126,-183.70518266779948,5885,-345.29789571062344,-0.05867423886331749,7.958369638538159,0.001352314297117784,1235.0,0.20985556499575192,-353.2562653491616,-1227.0416303614618
month,2026-07,2564,0.4344290071162318,2374,1484,890,176,14,0.6251053074978938,0.6420839956001317,0.6035736706257945,0.5897893887952823,-0.016978688102237904,0.021531636872099358,0.035315918702611526,-183.01305812973882,11870,-319.16180088219267,-0.026888104539359112,418.01416346598546,0.035216020511035,2970.0,0.2502106149957877,-737.1759643481781,-2551.9858365340147
month,2026-08,164,0.027787190782785496,140,91,49,24,0,0.65,0.6493275208105864,0.6103730612986491,0.5773855214285714,0.0006724791894135995,0.03962693870135092,0.07261447857142866,-188.65,700,-0.8247203312196802,-0.0011781719017424004,43.827566432795344,0.06261080918970763,210.0,0.3,-44.652286764015024,-166.17243356720465
game,822702,7,0.0011860386309725517,6,2,4,1,0,0.3333333333333333,0.6125064165252255,0.5755263543170434,0.5690076666666667,-0.2791730831918922,-0.24219302098371004,-0.23567433333333337,-158.83333333333334,30,-13.660604619834384,-0.4553534873278128,-12.608713171466876,-0.42029043904889585,-10.0,-0.3333333333333333,-1.051891448367508,-2.608713171466876
game,822703,9,0.0015249068112504235,7,4,3,2,0,0.5714285714285714,0.6370465220495506,0.5988832580118324,0.5753125714285715,-0.06561795062097919,-0.027454686583261,-0.0038840000000001096,-177.0,35,-2.855060737841157,-0.08157316393831877,-0.8102313755569619,-0.023149467873056054,5.0,0.14285714285714285,-2.044829362284195,-5.8102313755569615
game,822704,7,0.0011860386309725517,6,5,1,1,0,0.8333333333333334,0.6190286647432449,0.5821005387465567,0.5494378333333333,0.21430466859008845,0.2512327945867767,0.2838955000000001,-166.5,30,11.02136619394135,0.36737887313137835,13.620862230731518,0.45402874102438395,20.0,0.6666666666666666,-2.5994960367901676,-6.379137769268482
game,822705,10,0.0016943409013893595,9,6,3,1,0,0.6666666666666666,0.6059885823193384,0.5694386042347075,0.582344,0.06067808434732824,0.09722806243195914,0.08432266666666666,-156.44444444444446,45,2.605558171671701,0.05790129270381558,5.646679520172952,0.12548176711495448,15.0,0.3333333333333333,-3.0411213485012505,-9.353320479827048
game,822706,11,0.0018637749915282956,11,6,5,0,0,0.5454545454545454,0.6235140681445224,0.5862158486220237,0.5551210909090908,-0.07805952268997696,-0.04076130316747828,-0.009666545454545372,-170.0909090909091,55,-6.356559795494352,-0.11557381446353367,-3.259755326860293,-0.05926827867018714,5.0,0.09090909090909091,-3.0968044686340592,-8.259755326860294
game,822707,6,0.0010166045408336157,4,3,1,2,0,0.75,0.6443165034362857,0.6056743225914183,0.56957675,0.10568349656371434,0.1443256774085817,0.18042325000000003,-181.75,20,3.3593131729777688,0.16796565864888843,4.84724750883721,0.2423623754418605,10.0,0.5,-1.4879343358594412,-5.15275249116279
game,822708,7,0.0011860386309725517,6,4,2,1,0,0.6666666666666666,0.6361120238282763,0.5979197201269449,0.6118294999999999,0.030554642838390378,0.06874694653972169,0.054837166666666715,-176.5,30,1.5563490563490556,0.051878301878301857,3.57604008018946,0.11920133600631533,10.0,0.3333333333333333,-2.019691023840404,-6.423959919810541
game,822709,9,0.0015249068112504235,9,2,7,0,0,0.2222222222222222,0.6248915059432792,0.587482675126891,0.6138842222222222,-0.40266928372105704,-0.3652604529046688,-0.39166199999999995,-173.11111111111111,45,-28.135170118343197,-0.6252260026298488,-27.064468026794252,-0.6014326228176501,-25.0,-0.5555555555555556,-1.0707020915489451,-2.064468026794252
game,822710,6,0.0010166045408336157,6,3,3,0,0,0.5,0.6399328156482257,0.6015289963870597,0.580574,-0.13993281564822568,-0.1015289963870597,-0.08057400000000003,-178.16666666666666,30,-6.75226491308613,-0.22507549710287097,-5.265173879647204,-0.17550579598824012,0.0,0.0,-1.4870910334389258,-5.265173879647204
game,822711,8,0.0013554727211114877,7,4,3,1,0,0.5714285714285714,0.6120781650747968,0.5755993993434309,0.6039197142857143,-0.040649593646225446,-0.004170827914859454,-0.03249114285714294,-163.14285714285714,35,-2.7308850437519228,-0.07802528696434065,-0.695332388341467,-0.01986663966689906,5.0,0.14285714285714285,-2.0355526554104557,-5.695332388341467
game,822712,9,0.0015249068112504235,8,1,7,1,0,0.125,0.5980155355856831,0.5619593334499261,0.58268225,-0.4730155355856831,-0.4369593334499261,-0.45768224999999996,-149.5,40,-31.855345911949684,-0.796383647798742,-31.331236897274632,-0.7832809224318658,-30.0,-0.75,-0.5241090146750516,-1.331236897274632
game,822713,6,0.0010166045408336157,5,4,1,1,0,0.8,0.6595507187362047,0.6199329370093047,0.5819243999999999,0.1404492812637953,0.1800670629906953,0.21807560000000015,-195.2,25,5.046059804269931,0.20184239217079725,6.971290835212509,0.27885163340850033,15.0,0.6,-1.9252310309425775,-8.028709164787491
game,822714,11,0.0018637749915282956,8,3,5,3,0,0.375,0.6301368483864267,0.5921660018708881,0.5671887500000001,-0.2551368483864267,-0.21716600187088808,-0.19218875000000013,-172.875,40,-15.64270274299344,-0.39106756857483604,-14.077618784561789,-0.35194046961404474,-10.0,-0.25,-1.5650839584316518,-4.077618784561789
game,822715,9,0.0015249068112504235,9,2,7,0,0,0.2222222222222222,0.6347563183926123,0.5968300095252377,0.579547,-0.41253409617039005,-0.37460778730301547,-0.3573247777777778,-175.77777777777777,45,-29.391025641025642,-0.6531339031339032,-28.400688458827993,-0.6311264101961777,-25.0,-0.5555555555555556,-0.9903371821976492,-3.400688458827993
