group_type,group,games,actual_mean,raw_mean_forecast,raw_mae,raw_rmse,raw_bias,raw_crps,intercept_mean_forecast,intercept_mae,intercept_rmse,intercept_bias,intercept_crps
DATE,2026-08-15,15,8.2,7.9458044344804275,2.948089176955229,3.6862809135028853,-0.2541955655195721,2.1080449772903833,8.439354434480428,3.0004349555908005,3.685287252444685,0.2393544344804282,2.0931622750611547
WEEK,2026-W32,49,8.755102040816327,8.011316247745176,2.93315240252424,3.9484740470088475,-0.7437857930711501,2.1577958283737924,8.504866247745177,2.958868336049776,3.8858522805250715,-0.2502357930711495,2.124441286355659
WEEK,2026-W33,77,8.519480519480519,8.078083955326859,3.477364918961444,4.180977453744289,-0.4413965641536606,2.4132025571790603,8.57163395532686,3.461923187526815,4.157939576610271,0.0521534358463399,2.388381617691325
MONTH,2026-08,126,8.61111111111111,8.05211873571176,3.265726718124754,4.092129493546904,-0.558992375399351,2.3138777181992336,8.545668735711761,3.2662907452857444,4.054298215560832,-0.06544237539935044,2.285738155505233
TIME_BLOCK,AUG_06_TO_10,59,8.898305084745763,8.044788498908735,3.055275236606008,3.9657328260218114,-0.8535165858370282,2.204720286791039,8.538338498908734,3.043171520381453,3.8894886846483065,-0.35996658583702756,2.1600896226487443
TIME_BLOCK,AUG_11_TO_15,67,8.35820895522388,8.0585737203592,3.451049664536783,4.200285746837327,-0.2996352348646801,2.4100014264542113,8.552123720359202,3.462768868708926,4.194069863181809,0.19391476513532052,2.3963838784684093
RAW_FORECAST_BAND,<7.75,39,8.435897435897436,7.585043217821485,2.624986594334253,3.444094853988194,-0.8508542180759509,1.9316644734381878,8.078593217821485,2.6451195861171666,3.356412186711458,-0.35730421807595053,1.8895310035268642
RAW_FORECAST_BAND,7.75-8.24,55,8.018181818181818,7.983383698965286,3.608509957296277,4.18691421593011,-0.03479811921653199,2.450343760409741,8.476933698965286,3.6040926845491463,4.211827754144156,0.4587518807834686,2.4460712543477388
RAW_FORECAST_BAND,8.25-8.74,21,9.523809523809524,8.446787600897768,3.739095200679658,5.021315622760566,-1.0770219229117552,2.7198721488235913,8.940337600897768,3.762597581632039,4.939035720236607,-0.5834719229117544,2.678514025406223
RAW_FORECAST_BAND,8.75-9.24,6,8.666666666666666,8.84669852351266,2.3702057723809546,3.298511268615921,0.18003185684599346,1.911291864927244,9.340248523512662,2.456194229688206,3.361767040944225,0.6735818568459943,1.9258165169375772
RAW_FORECAST_BAND,>=9.25,5,12.6,9.840288200324803,3.579361560965834,4.204653255556449,-2.759711799675197,2.571940978323908,10.333838200324804,3.2832315609658336,3.8985367876296944,-2.266161799675196,2.394737166365976
PARK_CONTEXT,RUN_SUPPRESSING_<0.98,43,8.069767441860465,7.69605087296159,3.1647980984038866,3.898146748942419,-0.373716568898875,2.210915009661724,8.189600872961591,3.2186829538479134,3.882041222556797,0.11983343110112542,2.1999353020623333
PARK_CONTEXT,NEUTRAL_0.98_TO_1.02,41,8.121951219512194,8.045958416676944,3.598521534950531,4.515292008976526,-0.07599280283525167,2.525982440182398,8.539508416676945,3.6324451693231543,4.533921154271277,0.41755719716474915,2.528527035322607
PARK_CONTEXT,RUN_BOOSTING_>1.02,42,9.642857142857142,8.422678049489969,3.0441872695090484,3.844058778620676,-1.2201790933671735,2.2122373102421684,8.91622804948997,2.9575955940070044,3.716980052801998,-0.726629093367173,2.136575741827432
PROBABLE_PITCHER_COMPLETENESS,DIRECT_STARTER_HISTORY,119,8.647058823529411,8.055286774807477,3.2780525628565425,4.081218411977284,-0.5917720487219341,2.3183565624993494,8.548836774807478,3.266207331111037,4.039281760346628,-0.09822204872193352,2.2859730338010023
PROBABLE_PITCHER_COMPLETENESS,DIRECT_STARTER_HISTORY+PITCHER_ROLE_COHORT,5,7,7.893764070876921,1.3616920596462392,1.5121200278250906,0.8937640708769214,1.0722885673465619,8.387314070876922,1.6578220596462394,1.8472501442447806,1.387314070876922,1.1690627163000673
PROBABLE_PITCHER_COMPLETENESS,DIRECT_STARTER_HISTORY+TEAM_STARTER_HISTORY,2,10.5,8.259507071603657,7.292425602779619,7.628845242516701,-2.2404929283963417,5.151359359474057,8.75305707160366,7.292425602779619,7.498751947300942,-1.746942928396341,5.063451494919867
UNCERTAINTY_BAND,NARROW_<=9,3,9,7.291825371376188,3.472028479432647,4.690673050870137,-1.7081746286238124,2.6526014964735416,7.785375371376188,3.6365451460993135,4.534298853929325,-1.2146246286238125,2.573972792951763
UNCERTAINTY_BAND,TYPICAL_10,88,8.443181818181818,7.8715393850286315,3.186429814247555,4.056380686348258,-0.5716424331531867,2.2570949245747713,8.365089385028632,3.1813745492298433,4.016658764360455,-0.07809243315318608,2.232349321377063
UNCERTAINTY_BAND,WIDE_>=11,35,9,8.571314820086675,3.447418782618177,4.126420173845145,-0.4286851799133247,2.4276124183172274,9.064864820086676,3.448058232442277,4.104604720618509,0.06486482008667614,2.395267112389216
