date,capture_file,observations,games,players,hits05,hits15,paired,pregame,poststart_or_unresolved,earliest,latest
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T200005Z.json,1156,13,239,667,253,239,1156,0,2026-05-22T20:00:36.739464+00:00,2026-05-22T20:00:36.739464+00:00
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T233001Z.json,583,6,115,329,131,115,583,0,2026-05-22T23:30:32.555120+00:00,2026-05-22T23:30:32.555120+00:00
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_prewarm_20260522T103004Z.json,1325,15,261,743,301,261,1325,0,2026-05-22T10:31:27.871405+00:00,2026-05-22T10:31:27.871405+00:00
2026-05-23,backend/mlb/exports/odds_history/2026-05-23/odds_mlb_playerprops__local_daily_20260523T123002Z.json,1418,15,278,778,334,278,1418,0,2026-05-23T12:33:08.237667+00:00,2026-05-23T12:33:08.237667+00:00
2026-05-23,backend/mlb/exports/odds_history/2026-05-23/odds_mlb_playerprops__local_prewarm_20260523T103004Z.json,764,8,150,422,178,150,764,0,2026-05-23T10:31:35.749913+00:00,2026-05-23T10:31:35.749913+00:00
2026-06-19,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T123658Z.json,482,13,241,434,48,241,482,0,2026-06-19T12:44:25.461448+00:00,2026-06-19T12:44:25.461448+00:00
2026-06-19,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T163005Z.json,518,14,259,454,64,259,518,0,2026-06-19T16:30:38.507088+00:00,2026-06-19T16:30:38.507088+00:00
2026-06-19,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T180003Z.json,518,14,259,454,64,259,518,0,2026-06-19T18:00:37.156093+00:00,2026-06-19T18:00:37.156093+00:00
2026-06-19,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T200003Z.json,486,13,243,422,64,243,486,0,2026-06-19T20:00:35.041754+00:00,2026-06-19T20:00:35.041754+00:00
2026-06-19,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T233005Z.json,312,8,156,258,54,156,312,0,2026-06-19T23:30:37.820183+00:00,2026-06-19T23:30:37.820183+00:00
2026-06-20,backend/mlb/exports/odds_history/2026-06-20/odds_mlb_playerprops__local_daily_20260620T123541Z.json,514,14,257,458,56,257,514,0,2026-06-20T12:45:48.812904+00:00,2026-06-20T12:45:48.812904+00:00
2026-06-20,backend/mlb/exports/odds_history/2026-06-20/odds_mlb_playerprops__local_daily_20260620T163004Z.json,522,14,261,466,56,261,522,0,2026-06-20T16:30:37.606189+00:00,2026-06-20T16:30:37.606189+00:00
2026-06-20,backend/mlb/exports/odds_history/2026-06-20/odds_mlb_playerprops__local_daily_20260620T180002Z.json,456,12,228,404,52,228,456,0,2026-06-20T18:00:35.008385+00:00,2026-06-20T18:00:35.008385+00:00
2026-06-20,backend/mlb/exports/odds_history/2026-06-20/odds_mlb_playerprops__local_daily_20260620T200001Z.json,422,11,211,376,46,211,422,0,2026-06-20T20:00:33.268964+00:00,2026-06-20T20:00:33.268964+00:00
2026-06-21,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T124133Z.json,480,13,240,410,70,240,480,0,2026-06-21T12:46:52.693578+00:00,2026-06-21T12:46:52.693578+00:00
2026-06-21,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T163005Z.json,524,14,262,446,78,262,524,0,2026-06-21T16:30:37.775493+00:00,2026-06-21T16:30:37.775493+00:00
2026-06-21,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T180005Z.json,348,9,174,284,64,174,348,0,2026-06-21T18:00:41.797405+00:00,2026-06-21T18:00:41.797405+00:00
2026-06-21,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T200004Z.json,154,4,77,138,16,77,154,0,2026-06-21T20:00:35.573009+00:00,2026-06-21T20:00:35.573009+00:00
2026-06-21,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T233000Z.json,36,1,18,32,4,18,0,36,2026-06-21T23:30:25.081908+00:00,2026-06-21T23:30:25.081908+00:00
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T123000Z.json,442,12,221,386,56,221,442,0,2026-06-22T12:33:13.499969+00:00,2026-06-22T12:33:13.499969+00:00
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T163005Z.json,480,13,240,408,72,240,480,0,2026-06-22T16:30:38.440753+00:00,2026-06-22T16:30:38.440753+00:00
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T180004Z.json,478,13,239,406,72,239,478,0,2026-06-22T18:00:39.722416+00:00,2026-06-22T18:00:39.722416+00:00
