game_pk,player_mlb_id,player,partition,normal_player_stats_row_count,classification,stored_game_date,position,is_starter,plate_appearances,at_bats,hits,doubles,triples,home_runs,stored_total_bases,pa_source,pa_backfilled_at
824163,669394,Jake Burger,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,2,0,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
824163,677649,Ezequiel Duran,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824163,694671,Wyatt Langford,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824404,606466,Ketel Marte,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824404,608070,José Ramírez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824404,672515,Gabriel Moreno,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824404,672695,Geraldo Perdomo,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824404,677587,Brayan Rocchio,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824404,680757,Steven Kwan,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,2,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824404,682998,Corbin Carroll,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824404,683953,Travis Bazzana,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,2,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824404,700932,Kyle Manzardo,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824404,800050,Chase DeLauter,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,4,2,1,0,0,3,statsapi,2026-08-03 12:42:12.988997+00:00
824483,663886,Tyler Stephenson,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,5,4,2,1,0,1,6,statsapi,2026-08-03 12:42:12.988997+00:00
824483,663968,Jake Mangum,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,2,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,663993,Nathaniel Lowe,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,5,4,3,2,0,0,5,statsapi,2026-08-03 12:42:12.988997+00:00
824483,664040,Brandon Lowe,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,3,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,668709,JJ Bleday,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,5,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824483,668804,Bryan Reynolds,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824483,682622,Noelvi Marte,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,682829,Elly De La Cruz,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,5,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824483,682848,Endy Rodríguez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,693304,Nick Gonzales,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,699013,Esmerlyn Valdez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824483,701398,Sal Stewart,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,5,1,0,0,1,4,statsapi,2026-08-03 12:42:12.988997+00:00
824648,663757,Trent Grisham,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824648,665862,Jazz Chisholm Jr.,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824648,691176,Jasson Domínguez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824648,700250,Ben Rice,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824807,547180,Bryce Harper,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,592663,J.T. Realmuto,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,607208,Trea Turner,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,624413,Pete Alonso,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,656941,Kyle Schwarber,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,664761,Alec Bohm,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,669016,Brandon Marsh,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,681082,Bryson Stott,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824807,683002,Gunnar Henderson,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824891,621566,Matt Olson,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,2,0,0,1,5,statsapi,2026-08-03 12:42:12.988997+00:00
824891,643289,Mauricio Dubón,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,3,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824891,645277,Ozzie Albies,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,3,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824891,660670,Ronald Acuña Jr.,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824891,671277,Luis García Jr.,FORMERLY_LINEUP_ADMITTED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824891,671739,Michael Harris II,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,3,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,677588,José Tena,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,682928,CJ Abrams,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,686611,Dylan Crews,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,686948,Drake Baldwin,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,695578,James Wood,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824891,695734,Daylen Lile,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822783,802139,JJ Wetherholt,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
823996,592885,Christian Yelich,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
823996,641343,Jake Bauers,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823996,661388,William Contreras,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823996,668930,Brice Turang,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823996,669003,Garrett Mitchell,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823996,683734,Andrew Vaughn,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823996,687263,Zach Neto,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823996,694192,Jackson Chourio,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,3,2,0,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
824163,572233,Christian Walker,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,4,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
824163,665161,Jeremy Peña,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,5,4,2,0,0,1,5,statsapi,2026-08-03 12:42:12.988997+00:00
824163,670541,Yordan Alvarez,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,5,5,4,3,0,0,7,statsapi,2026-08-03 12:42:12.988997+00:00
824163,670623,Isaac Paredes,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,5,5,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824163,673237,Yainer Diaz,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,0,0,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,516782,Starling Marte,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824323,623205,Andrew Velazquez,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824323,650489,Willi Castro,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,4,3,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824323,664983,Jake McCarthy,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,5,5,1,0,0,1,4,statsapi,2026-08-03 12:42:12.988997+00:00
