slate_date,game_pk,batter_mlb_id,player_name,game,complete_evaluated_population,standard_reconciliation_union,standard_closeout_surface,broad_ever_positive_population,broad_final_pregame_population,consensus_population,complete_outcome_status,standard_outcome_status,ever_positive_outcome_status,final_pregame_outcome_status,resolution_method
2026-07-27,823597,643289,Mauricio Dubón,ATL @ NYM,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823597,671739,Michael Harris II,ATL @ NYM,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,645277,Ozzie Albies,ATL @ NYM,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,660670,Ronald Acuña Jr.,ATL @ NYM,YES,NO,NO,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,687952,Christian Encarnacion-Strand,BAL @ DET,YES,YES,YES,NO,NO,NO,NO_ACTION,,,,NO_ACTION_FINAL_LINEUP
2026-07-27,824245,691723,Coby Mayo,BAL @ DET,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,690993,Colt Keith,BAL @ DET,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,693307,Dillon Dingler,BAL @ DET,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,687637,Dylan Beavers,BAL @ DET,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,824245,650402,Gleyber Torres,BAL @ DET,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,683002,Gunnar Henderson,BAL @ DET,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,701678,Hao-Yu Lee,BAL @ DET,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,702616,Jackson Holliday,BAL @ DET,YES,NO,NO,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,669236,Jeremiah Jackson,BAL @ DET,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,805808,Kevin McGonigle,BAL @ DET,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,665750,Leody Taveras,BAL @ DET,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,663837,Matt Vierling,BAL @ DET,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,624413,Pete Alonso,BAL @ DET,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,824245,682985,Riley Greene,BAL @ DET,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824245,679529,Spencer Torkelson,BAL @ DET,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824245,621493,Taylor Ward,BAL @ DET,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,655316,Andruw Monasterio,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,702332,Caleb Durbin,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,678882,Ceddanne Rafaela,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,657136,Connor Wong,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,678554,Curtis Mead,BOS @ ATH,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,703607,Henry Bolte,BOS @ ATH,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824977,805779,Jacob Wilson,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,680776,Jarren Duran,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,643446,Jeff McNeil,BOS @ ATH,YES,YES,NO,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,824977,641680,Jonah Heim,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,807799,Masataka Yoshida,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,701762,Nick Kurtz,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,695720,Tommy White,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,691016,Tyler Soderstrom,BOS @ ATH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,575929,Willson Contreras,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824977,677800,Wilyer Abreu,BOS @ ATH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,676475,Alec Burleson,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,608324,Alex Bregman,CHC @ STL,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,691458,Blaze Jordan,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,608348,Carson Kelly,CHC @ STL,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,621020,Dansby Swanson,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,664023,Ian Happ,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,671056,Iván Herrera,CHC @ STL,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823025,802139,JJ Wetherholt,CHC @ STL,YES,YES,NO,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823025,691023,Jordan Walker,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,665877,José Fermín,CHC @ STL,YES,NO,NO,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823025,691026,Masyn Winn,CHC @ STL,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,683737,Michael Busch,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,676369,Nelson Velázquez,CHC @ STL,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823025,663538,Nico Hoerner,CHC @ STL,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,691718,Pete Crow-Armstrong,CHC @ STL,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823025,673548,Seiya Suzuki,CHC @ STL,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824490,682657,Angel Martínez,CLE @ CIN,YES,NO,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,677587,Brayan Rocchio,CLE @ CIN,YES,NO,NO,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,800050,Chase DeLauter,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,667472,Dane Myers,CLE @ CIN,YES,NO,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,682829,Elly De La Cruz,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,553993,Eugenio Suárez,CLE @ CIN,YES,NO,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,668709,JJ Bleday,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,608070,José Ramírez,CLE @ CIN,YES,NO,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,663993,Nathaniel Lowe,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,682622,Noelvi Marte,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,701398,Sal Stewart,CLE @ CIN,YES,YES,YES,YES,YES,NO,PENDING,,PENDING,PENDING,PENDING_OFFICIAL_GAME
2026-07-27,824490,680757,Steven Kwan,CLE @ CIN,YES,YES,NO,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,683953,Travis Bazzana,CLE @ CIN,YES,NO,NO,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824490,663886,Tyler Stephenson,CLE @ CIN,YES,YES,YES,NO,NO,NO,PENDING,,,,PENDING_OFFICIAL_GAME
2026-07-27,824001,572233,Christian Walker,HOU @ LAA,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,670623,Isaac Paredes,HOU @ LAA,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,665161,Jeremy Peña,HOU @ LAA,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,666176,Jo Adell,HOU @ LAA,YES,NO,NO,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,514888,Jose Altuve,HOU @ LAA,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824001,666139,Josh Lowe,HOU @ LAA,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,545361,Mike Trout,HOU @ LAA,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,694384,Nolan Schanuel,HOU @ LAA,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824001,687093,Vaughn Grissom,HOU @ LAA,YES,NO,NO,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824001,673237,Yainer Diaz,HOU @ LAA,YES,NO,YES,NO,NO,NO,NO_ACTION,,,,NO_ACTION_FINAL_LINEUP
2026-07-27,824001,670541,Yordan Alvarez,HOU @ LAA,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824001,687263,Zach Neto,HOU @ LAA,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,683734,Andrew Vaughn,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823195,668930,Brice Turang,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823195,805811,Bryce Eldridge,MIL @ SF,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,669477,Casey Schmitt,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823195,592885,Christian Yelich,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823195,806198,Cooper Pratt,MIL @ SF,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,669003,Garrett Mitchell,MIL @ SF,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,671218,Heliot Ramos,MIL @ SF,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823195,694192,Jackson Chourio,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823195,641343,Jake Bauers,MIL @ SF,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,808982,Jung Hoo Lee,MIL @ SF,YES,YES,YES,NO,NO,NO,NO_ACTION,,,,NO_ACTION_FINAL_LINEUP
2026-07-27,823195,650333,Luis Arraez,MIL @ SF,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823195,646240,Rafael Devers,MIL @ SF,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823195,661388,William Contreras,MIL @ SF,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,642708,Amed Rosario,NYY @ CWS,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,683011,Anthony Volpe,NYY @ CWS,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,700250,Ben Rice,NYY @ CWS,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,695731,Braden Montgomery,NYY @ CWS,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,805367,Chase Meidroth,NYY @ CWS,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824570,695657,Colson Montgomery,NYY @ CWS,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824570,691176,Jasson Domínguez,NYY @ CWS,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,665862,Jazz Chisholm Jr.,NYY @ CWS,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824570,676609,José Caballero,NYY @ CWS,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824570,680474,Max Schuemann,NYY @ CWS,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,678246,Miguel Vargas,NYY @ CWS,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,808959,Munetaka Murakami,NYY @ CWS,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,824570,502671,Paul Goldschmidt,NYY @ CWS,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,824570,545341,Randal Grichuk,NYY @ CWS,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,824570,663757,Trent Grisham,NYY @ CWS,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823839,664761,Alec Bohm,PHI @ MIA,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823839,669016,Brandon Marsh,PHI @ MIA,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823839,547180,Bryce Harper,PHI @ MIA,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,823839,681082,Bryson Stott,PHI @ MIA,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823839,592663,J.T. Realmuto,PHI @ MIA,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823839,656941,Kyle Schwarber,PHI @ MIA,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823839,672640,Otto Lopez,PHI @ MIA,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,823839,607208,Trea Turner,PHI @ MIA,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823839,669364,Xavier Edwards,PHI @ MIA,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,822868,607043,Brandon Nimmo,SEA @ TEX,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822868,663728,Cal Raleigh,SEA @ TEX,YES,NO,YES,NO,NO,NO,NO_ACTION,,,,NO_ACTION_FINAL_LINEUP
2026-07-27,822868,702284,Cole Young,SEA @ TEX,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822868,686527,Dominic Canzone,SEA @ TEX,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,822868,677649,Ezequiel Duran,SEA @ TEX,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822868,669394,Jake Burger,SEA @ TEX,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,822868,592626,Joc Pederson,SEA @ TEX,YES,YES,YES,YES,YES,NO,WIN,,WIN,WIN,EXACT_ID_MARKET_BACKED
2026-07-27,822868,647304,Josh Naylor,SEA @ TEX,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822868,677594,Julio Rodríguez,SEA @ TEX,YES,NO,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,822868,670042,Luke Raley,SEA @ TEX,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,822868,668227,Randy Arozarena,SEA @ TEX,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822868,694671,Wyatt Langford,SEA @ TEX,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,822705,672386,Alejandro Kirk,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,691781,Brady House,TOR @ WSH,YES,NO,YES,NO,NO,NO,NO_ACTION,,,,NO_ACTION_FINAL_LINEUP
2026-07-27,822705,682928,CJ Abrams,TOR @ WSH,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,662139,Daulton Varsho,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,695734,Daylen Lile,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,686611,Dylan Crews,TOR @ WSH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,676391,Ernie Clement,TOR @ WSH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,543807,George Springer,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,695578,James Wood,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,677588,José Tena,TOR @ WSH,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,822705,672960,Kazuma Okamoto,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,660688,Keibert Ruiz,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,671277,Luis García Jr.,TOR @ WSH,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,822705,664770,Nathan Lukes,TOR @ WSH,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,822705,665489,Vladimir Guerrero Jr.,TOR @ WSH,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
