scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2025-05-30,15,8.509070132170168,9.0,0.4909298678298329,-1.3752558266673542,4.591097705029258,5.351674656391354
DATE,2025-05-31,15,8.473813143071066,9.933333333333334,1.4595201902622676,0.8109901372667316,6.5037107394919635,7.6107296736521235
DATE,2025-06-01,15,8.405726952306216,6.4,-2.005726952306215,-2.305171709272864,3.40269400055813,4.032182041235511
DATE,2025-06-02,7,8.850749328844989,9.142857142857142,0.29210781401215363,0.9076708853545732,3.9615733907405195,4.5334285367278975
DATE,2025-06-03,15,8.665066281667759,8.4,-0.2650662816677593,-2.003962172244858,3.2257445904818645,3.668761337677474
DATE,2025-06-04,14,8.79766087089788,7.0,-1.7976608708978807,-3.01440005409559,3.9455295054551462,4.888450045480208
DATE,2025-06-05,13,8.61139319236915,9.846153846153847,1.234760653784696,1.1471513951338128,3.4871468072686036,4.74136464660003
DATE,2025-06-06,15,8.885190744151043,7.266666666666667,-1.6185240774843774,-1.691302171931893,2.8694554911595986,3.5928125436978084
DATE,2025-06-07,15,8.905965424589294,9.2,0.2940345754107048,-1.0521491283769162,3.938047377564957,5.083606641752702
DATE,2025-06-08,15,8.890568078625996,7.733333333333333,-1.1572347452926628,-3.2212725298871643,4.1884999324321415,4.863454195909339
DATE,2025-06-09,9,8.600118643241132,11.555555555555555,2.9554369123144237,2.89843969650237,3.448730632104239,4.34088749526969
DATE,2025-06-10,15,8.750249214698716,9.333333333333334,0.5830841186346173,0.1983960957213622,4.2288420525811565,5.27200398231956
DATE,2025-06-11,15,8.768601716298411,9.2,0.43139828370158906,-0.31147586312285824,2.2693274988560956,2.8275121632775657
DATE,2025-06-12,8,8.741350730652597,8.125,-0.6163507306525966,-1.735376974698812,4.300790532362409,5.256634173237107
DATE,2025-06-13,15,8.423884227385988,9.0,0.5761157726140121,-0.22108814456975345,4.366996014325795,5.2974032044737145
DATE,2025-06-14,15,8.430481083687308,8.733333333333333,0.3028522496460243,-1.1005674501349763,3.701302155193714,4.125828446910648
DATE,2025-06-15,15,8.426869820628733,7.466666666666667,-0.9602031539620665,-1.8288468958741815,3.580825862499833,4.067604009417668
DATE,2025-06-16,7,8.945744069283597,5.857142857142857,-3.0886012121407407,-2.1147318379025535,3.525993355110638,4.465655356561436
DATE,2025-06-17,15,8.564456323672964,9.866666666666667,1.3022103429937044,0.7298104363541622,2.9235880514062718,3.7467740537291543
DATE,2025-06-18,12,8.79215544793982,8.0,-0.7921554479398201,-2.4960786082526303,3.4489372014797706,4.284724464100024
DATE,2025-06-19,16,8.613353650416478,9.4375,0.8241463495835213,0.379819496582142,3.4849455183565263,4.301316683881662
DATE,2025-06-20,15,8.903477062625907,11.733333333333333,2.8298562707074257,2.416297140759351,4.522421094763937,6.276147552215963
DATE,2025-06-21,15,8.8091075724726,9.133333333333333,0.3242257608607345,0.1493588531096286,2.798369529301442,3.595371309232373
DATE,2025-06-22,15,8.963951423582875,10.4,1.436048576417125,-1.0628680928319767,4.998016340758039,5.974717661864279
DATE,2025-06-23,9,8.598776505587068,10.0,1.4012234944129311,1.234663318344678,3.2594540090275075,3.898475457646148
DATE,2025-06-24,15,8.600899711822306,9.733333333333333,1.1324336215110278,2.1477364641529437,3.920655021301718,4.573853013246666
DATE,2025-06-25,15,8.646042121582655,6.533333333333333,-2.11270878824932,-1.6658497831329484,3.3284189244356686,4.154699138347424
DATE,2025-06-26,9,8.822935813891187,6.666666666666667,-2.156269147224519,-4.640451666369897,4.6586040761851475,5.260459575195757
DATE,2025-06-27,15,8.448817427922672,11.866666666666667,3.4178492387439934,1.1390432880665369,5.584249210238264,8.076287270983121
DATE,2025-06-28,15,8.531654710447372,10.666666666666666,2.1350119562192966,2.291422275831719,4.309155122691994,4.895446218847214
DATE,2025-06-29,15,8.543670436928368,7.666666666666667,-0.8770037702617003,-1.2977048785730325,3.256977457485361,3.9357572784607684
DATE,2025-06-30,8,8.662332659054961,9.875,1.2126673409450384,0.06395464704343379,3.6276479101982977,4.990295616484098
DATE,2025-07-01,12,8.59672826671711,7.916666666666667,-0.6800616000504437,-0.9659625134184617,3.2167098051739154,4.1961712068309724
DATE,2025-07-02,18,8.626380213144374,9.5,0.873619786855627,1.3703757695206678,3.1229809389732455,3.873001415221106
DATE,2025-07-03,10,8.733104676774666,8.3,-0.4331046767746658,-1.2785431243173626,3.4702046280928927,4.3314321382324295
DATE,2025-07-04,15,8.699346418002216,9.733333333333333,1.0339869153311187,1.9896663121603027,3.953507685371196,4.604386983090553
DATE,2025-07-05,15,8.709381399518737,9.533333333333333,0.8239519338145972,1.331629679684486,4.033377355974946,4.815595942355948
DATE,2025-07-06,15,8.66852063463123,6.8,-1.8685206346312302,-2.3026718041137038,3.216799908000282,3.7073820249145326
DATE,2025-07-07,10,8.590909408434705,9.4,0.8090905915652942,1.5992706247504103,2.773704107082154,2.984974624622785
DATE,2025-07-08,15,8.68280169111961,9.333333333333334,0.650531642213723,0.2602027447794697,3.6210164739764026,4.232992142239366
DATE,2025-07-09,14,8.63094203438593,9.714285714285714,1.0833436798997853,1.0887780994795868,3.249905040719454,4.158354384438323
DATE,2025-07-10,10,8.877453027699392,8.7,-0.17745302769939056,-0.5038047461874484,2.172416517245612,2.782465328220528
DATE,2025-07-11,16,8.672151780955511,9.5625,0.890348219044489,1.6427845466785493,2.8239644094249856,3.3978143094103075
DATE,2025-07-12,15,8.658509406169062,9.2,0.5414905938309377,-0.12944173260868652,4.123148563938979,5.376006079867432
DATE,2025-07-13,15,8.6572956497987,7.2,-1.457295649798701,-2.212453852568336,2.8479318390009762,3.2658598490224566
DATE,2025-07-18,15,8.564901294840645,8.933333333333334,0.36843203849268813,1.0369293687585213,3.319745471660194,3.9685890079111528
DATE,2025-07-19,15,8.54886200470824,10.533333333333333,1.9844713286250946,2.017359348617246,4.159081434612457,5.083166632573684
DATE,2025-07-20,15,8.582904151762333,8.866666666666667,0.2837625149043315,-0.03382794863322047,2.3797121224230913,2.9348883001897987
DATE,2025-07-21,15,8.648022528443853,9.4,0.7519774715561466,-0.2649838314875783,4.074627498557252,4.769571728874591
DATE,2025-07-22,15,8.586793355564426,7.933333333333334,-0.6534600222310922,-1.7662629879213458,2.971279512137875,3.7625468501248305
DATE,2025-07-23,15,8.7213300812073,9.266666666666667,0.5453365854593664,-1.704638206636977,3.9912154013934593,4.68143965406049
DATE,2025-07-24,5,8.569116886338819,10.2,1.6308831136611794,-0.9576927831773814,3.7301216630732745,4.5003656651478
DATE,2025-07-25,14,8.506244631756244,8.785714285714286,0.27946965395804224,-0.06564638357105324,4.547421031100388,5.61976859258278
DATE,2025-07-26,16,8.634713215449157,8.4375,-0.19721321544915704,-1.0155344384706941,3.267095241512864,4.0994317746556606
