full_name,player_id,game_id,team_id,line,p_over,game_date
J. Robertson,8480027,2025020405,25,0.5,0.3917961754255586,2025-11-30
M. Frost,8480028,2025020404,20,0.5,0.3808628594295462,2025-11-30
R. Poehling,8480068,2025020403,24,0.5,0.4228060039364658,2025-11-30
F. Zetterlund,8480188,2025020405,9,0.5,0.3885840609730182,2025-11-30
D. Batherson,8480208,2025020405,9,0.5,0.3781887506876124,2025-11-30
E. Robinson,8480762,2025020404,12,0.5,0.3414085688707678,2025-11-30
J. Farabee,8480797,2025020404,20,0.5,0.3732329353599882,2025-11-30
B. Tkachuk,8480801,2025020405,9,0.5,0.3541691448925403,2025-11-30
J. Kotkaniemi,8480829,2025020404,12,0.5,0.3480313602072312,2025-11-30
A. Svechnikov,8480830,2025020404,12,0.5,0.3582866843713462,2025-11-30
O. Bäck,8480840,2025020405,25,0.5,0.4259393706837613,2025-11-30
M. Pospisil,8481028,2025020404,20,0.5,0.4123473563057007,2025-11-30
Y. Sharangovich,8481068,2025020404,20,0.5,0.3762506054683003,2025-11-30
K. MacLean,8481237,2025020402,2,0.5,0.3904069443515823,2025-11-30
D. Cozens,8481528,2025020405,9,0.5,0.3868085773737275,2025-11-30
J. Beecher,8481556,2025020404,20,0.5,0.4370946207187149,2025-11-30
C. McMichael,8481580,2025020402,15,0.5,0.4119064138317447,2025-11-30
S. Pinto,8481596,2025020405,9,0.5,0.3660772508281075,2025-11-30
S. Holmstrom,8481601,2025020402,2,0.5,0.4491165648371358,2025-11-30
I. Mikheyev,8481624,2025020403,16,0.5,0.39613515402771,2025-11-30
A. Protas,8481656,2025020402,15,0.5,0.3877535337870782,2025-11-30
N. Nesterenko,8481754,2025020403,24,0.5,0.380094129350997,2025-11-30
C. Zary,8482074,2025020404,20,0.5,0.5191101822094009,2025-11-30
J. Sourdif,8482088,2025020402,15,0.5,0.4005458561472793,2025-11-30
R. Greig,8482092,2025020405,9,0.5,0.3875250344378582,2025-11-30
S. Jarvis,8482093,2025020404,12,0.5,0.3521730360738439,2025-11-30
T. Stützle,8482116,2025020405,9,0.5,0.3797954859141012,2025-11-30
S. Colangelo,8482118,2025020403,24,0.5,0.4222001648756807,2025-11-30
M. Bourque,8482145,2025020405,25,0.5,0.381631861184622,2025-11-30
H. Lapierre,8482148,2025020402,15,0.5,0.4459799518621689,2025-11-30
L. Slaggert,8482172,2025020403,16,0.5,0.4293286578493627,2025-11-30
E. Heineman,8482476,2025020402,2,0.5,0.4517486643108432,2025-11-30
M. Coronato,8482679,2025020404,20,0.5,0.3813283446804121,2025-11-30
L. Stankoven,8482702,2025020404,12,0.5,0.3980641362999796,2025-11-30
C. Dach,8482703,2025020403,16,0.5,0.4190125323894479,2025-11-30
W. Johnston,8482740,2025020405,25,0.5,0.4064776759546868,2025-11-30
M. McTavish,8482745,2025020403,24,0.5,0.4200965263077709,2025-11-30
J. Blake,8482809,2025020404,12,0.5,0.3420355567040797,2025-11-30
C. Gauthier,8483445,2025020403,24,0.5,0.3954198313830859,2025-11-30
R. Greene,8483450,2025020403,16,0.5,0.4156418331020785,2025-11-30
F. Nazar,8483493,2025020403,16,0.5,0.411779644850017,2025-11-30
M. Gatcomb,8483553,2025020402,2,0.5,0.3815859014069475,2025-11-30
