full_name,player_id,game_id,team_id,line,p_over,game_date
Braeden Bowman,8483890,2025020738,54,0.5,0.5564249365179496,2026-01-14
Denver Barkey,8484142,2025020736,4,0.5,0.5105200536290688,2026-01-14
G. Perreault,8484210,2025020737,3,0.5,0.4775041036360956,2026-01-14
Z. Metsa,8484305,2025020736,7,0.5,0.3687781707712123,2026-01-14
N. Matinpalo,8484321,2025020737,9,0.5,0.3247521169276704,2026-01-14
B. Catton,8484800,2025020735,55,0.5,0.7197093231224211,2026-01-14
C. Perry,8470621,2025020738,26,1.5,0.5184770571717967,2026-01-14
A. Kopitar,8471685,2025020738,26,1.5,0.3042115926146642,2026-01-14
J. Quick,8471734,2025020737,3,1.5,0.1981031094447149,2026-01-14
J. Reimer,8473503,2025020737,9,1.5,0.1480492038213397,2026-01-14
D. Perron,8474102,2025020737,9,1.5,0.810593853122517,2026-01-14
E. Dadonov,8474149,2025020735,1,1.5,0.554281280079527,2026-01-14
L. Eller,8474189,2025020737,9,1.5,0.3158096560683478,2026-01-14
J. Markstrom,8474593,2025020735,1,1.5,0.1542703143150368,2026-01-14
J. Allen,8474596,2025020735,1,1.5,0.1542703143150368,2026-01-14
B. McNabb,8475188,2025020738,54,1.5,0.4072098731624763,2026-01-14
R. Smith,8475191,2025020738,54,1.5,0.312513223850877,2026-01-14
B. Dumoulin,8475208,2025020738,26,1.5,0.3534557557934377,2026-01-14
N. Deslauriers,8475235,2025020736,4,1.5,0.4144447434319071,2026-01-14
D. Kuemper,8475311,2025020738,26,1.5,0.1719323012442704,2026-01-14
N. Jensen,8475324,2025020737,9,1.5,0.274783795408327,2026-01-14
B. Dillon,8475455,2025020735,1,1.5,0.2583854510846575,2026-01-14
P. Grubauer,8475831,2025020735,55,1.5,0.1656083967520902,2026-01-14
S. Carrick,8475842,2025020737,3,1.5,0.5833767622863348,2026-01-14
O. Palat,8476292,2025020735,1,1.5,0.5300435358640722,2026-01-14
A. Forsberg,8476341,2025020738,26,1.5,0.1719323012442704,2026-01-14
N. Seeler,8476372,2025020736,4,1.5,0.6206213675957357,2026-01-14
N. Cousins,8476393,2025020737,9,1.5,0.5833631664135512,2026-01-14
B. Saad,8476438,2025020738,54,1.5,0.747838917455273,2026-01-14
J. Edmundson,8476441,2025020738,26,1.5,0.6389081349325437,2026-01-14
W. Karlsson,8476448,2025020738,54,1.5,0.6989859654094213,2026-01-14
A. Larsson,8476457,2025020735,55,1.5,0.4827371026990263,2026-01-14
J. Oleksiak,8476467,2025020735,55,1.5,0.4943319124450667,2026-01-14
J. Armia,8476469,2025020738,26,1.5,0.5411205769700552,2026-01-14
S. Noesen,8476474,2025020735,1,1.5,0.6568518894831156,2026-01-14
L. Glendening,8476822,2025020735,1,1.5,0.5489944536417342,2026-01-14
C. Ceci,8476879,2025020738,26,1.5,0.3402712070391026,2026-01-14
M. Murray,8476899,2025020735,55,1.5,0.1656083967520902,2026-01-14
C. Sissons,8476925,2025020738,54,1.5,0.6237748068917741,2026-01-14
C. Brown,8477015,2025020735,1,1.5,0.3962461189951038,2026-01-14
B. Hutton,8477018,2025020738,54,1.5,0.5200814926862091,2026-01-14
K. MacDermid,8477073,2025020737,9,1.5,0.1489664526217875,2026-01-14
C. Soucy,8477369,2025020737,3,1.5,0.4643038138393239,2026-01-14
J. Brodzinski,8477380,2025020737,3,1.5,0.8429602420543245,2026-01-14
Spencer Martin,8477484,2025020737,3,1.5,0.1981031094447149,2026-01-14
B. Pesce,8477488,2025020735,1,1.5,0.6207368651763203,2026-01-14
Rasmus Ristolainen,8477499,2025020736,4,1.5,0.5358997842160316,2026-01-14
C. Sheary,8477839,2025020737,3,1.5,0.6085744226250408,2026-01-14
G. Hathaway,8477903,2025020736,4,1.5,0.424302942446859,2026-01-14
F. Gaudreau,8477919,2025020735,55,1.5,0.4541783174088805,2026-01-14
B. Montour,8477986,2025020735,55,1.5,0.3852066186913588,2026-01-14
J. Lammikko,8477996,2025020735,1,1.5,0.5044720484566265,2026-01-14
M. Amadio,8478020,2025020737,9,1.5,0.3905082467054097,2026-01-14
I. Shesterkin,8478048,2025020737,3,1.5,0.1981031094447149,2026-01-14
J. Siegenthaler,8478399,2025020735,1,1.5,0.2922307510789398,2026-01-14
J. Greenway,8478413,2025020736,7,1.5,0.6748194938573522,2026-01-14
K. Kolesar,8478434,2025020738,54,1.5,0.5233004179796027,2026-01-14
D. Vladar,8478435,2025020736,4,1.5,0.1537246588321139,2026-01-14
N. Juulsen,8478454,2025020736,4,1.5,0.36123501186631,2026-01-14
J. Lauzon,8478468,2025020738,54,1.5,0.3413490554305532,2026-01-14
A. Hill,8478499,2025020738,54,1.5,0.1708535207531664,2026-01-14
W. Borgen,8478840,2025020737,3,1.5,0.4785159481284124,2026-01-14
C. White,8478841,2025020735,1,1.5,0.4365994584608142,2026-01-14
J. Daccord,8478916,2025020735,55,1.5,0.1656083967520902,2026-01-14
R. Abols,8479022,2025020736,4,1.5,0.5814564094726543,2026-01-14
A. Lyon,8479312,2025020736,7,1.5,0.1763430001500746,2026-01-14
A. Fox,8479323,2025020737,3,1.5,0.5692565814194446,2026-01-14
R. Lindgren,8479324,2025020735,55,1.5,0.3773569483642059,2026-01-14
C. Grundstrom,8479336,2025020736,4,1.5,0.6910182121198883,2026-01-14
B. Howden,8479353,2025020738,54,1.5,0.383079377689315,2026-01-14
B. Malenstyn,8479359,2025020736,7,1.5,0.2806043607389556,2026-01-14
J. Mahura,8479372,2025020735,55,1.5,0.2480065886823047,2026-01-14
T. Raddysh,8479390,2025020737,3,1.5,0.5320726110106793,2026-01-14
Carter Hart,8479394,2025020738,54,1.5,0.1708535207531664,2026-01-14
J. Moverare,8479421,2025020738,26,1.5,0.4398439938731899,2026-01-14
T. Moore,8479675,2025020738,26,1.5,0.7312091719880973,2026-01-14
Z. MacEwen,8479772,2025020735,1,1.5,0.6576296526768456,2026-01-14
J. Danforth,8479941,2025020736,7,1.5,0.3252435092087226,2026-01-14
C. Timmins,8479982,2025020736,7,1.5,0.6096580532464315,2026-01-14
C. Fleury,8479985,2025020735,55,1.5,0.6222480167218769,2026-01-14
C. Glass,8479996,2025020735,1,1.5,0.4969663409273102,2026-01-14
M. Anderson,8479998,2025020738,26,1.5,0.3907309255779232,2026-01-14
U. Vaakanainen,8480001,2025020737,3,1.5,0.328134128563128,2026-01-14
U. Luukkonen,8480045,2025020736,7,1.5,0.1763430001500746,2026-01-14
Johnathan Kovacevic,8480192,2025020735,1,1.5,0.2939881108377697,2026-01-14
J. Bryson,8480196,2025020736,7,1.5,0.43125061399963,2026-01-14
Z. Whitecloud,8480727,2025020738,54,1.5,0.2795267575779825,2026-01-14
M. Samuelsson,8480807,2025020736,7,1.5,0.5723875796116682,2026-01-14
M. Kesselring,8480891,2025020736,7,1.5,0.4064799185880043,2026-01-14
P. Cotter,8481032,2025020735,1,1.5,0.2691270075893799,2026-01-14
A. Schmid,8481033,2025020738,54,1.5,0.1708535207531664,2026-01-14
S. Ersson,8481035,2025020736,4,1.5,0.1537246588321139,2026-01-14
C. Reinhardt,8481133,2025020738,54,1.5,0.4846102346740322,2026-01-14
P. Krebs,8481522,2025020736,7,1.5,0.6137966608254645,2026-01-14
M. Robertson,8481525,2025020737,3,1.5,0.3176925582706955,2026-01-14
K. Korczak,8481527,2025020738,54,1.5,0.3556768834110006,2026-01-14
A. Turcotte,8481532,2025020738,26,1.5,0.466972827780557,2026-01-14
C. Ellis,8481551,2025020736,7,1.5,0.1763430001500746,2026-01-14
B. Brink,8481553,2025020736,4,1.5,0.5953588214886817,2026-01-14
J. Spence,8481606,2025020737,9,1.5,0.4446573409390303,2026-01-14
Zac Jones,8481708,2025020736,7,1.5,0.1763430001500746,2026-01-14
A. Edstrom,8481726,2025020737,3,1.5,0.6457761348681843,2026-01-14
Andre Lee,8481732,2025020738,26,1.5,0.4530646137589793,2026-01-14
T. Kartye,8481789,2025020735,55,1.5,0.4803857943932014,2026-01-14
B. Schneider,8482073,2025020737,3,1.5,0.5083271166476719,2026-01-14
R. Greig,8482092,2025020737,9,1.5,0.7741880723988254,2026-01-14
T. Kleven,8482095,2025020737,9,1.5,0.3301393167427789,2026-01-14
A. Holtz,8482125,2025020738,54,1.5,0.5606753249649685,2026-01-14
E. Andrae,8482126,2025020736,4,1.5,0.2325040162036853,2026-01-14
J. Drysdale,8482142,2025020736,4,1.5,0.356589532173564,2026-01-14
T. Foerster,8482159,2025020736,4,1.5,0.7534868130166389,2026-01-14
A. Zub,8482245,2025020737,9,1.5,0.3368987899826578,2026-01-14
J. Malott,8482408,2025020738,26,1.5,0.5305221428943001,2026-01-14
H. Shepard,8482411,2025020737,9,1.5,0.1480492038213397,2026-01-14
L. Meriläinen,8482447,2025020737,9,1.5,0.1480492038213397,2026-01-14
M. Rempe,8482460,2025020737,3,1.5,0.4066586839830077,2026-01-14
J. Dunne,8482623,2025020736,7,1.5,0.3375705865469421,2026-01-14
S. Morrow,8482666,2025020737,3,1.5,0.4651218296293007,2026-01-14
S. Helenius,8482726,2025020738,26,1.5,0.2971354152776874,2026-01-14
B. Othmann,8482747,2025020737,3,1.5,0.5659647054415907,2026-01-14
R. Winterton,8482751,2025020735,55,1.5,0.8459192545488138,2026-01-14
C. Lindbom,8482761,2025020738,54,1.5,0.1708535207531664,2026-01-14
R. Evans,8482858,2025020735,55,1.5,0.202410758077938,2026-01-14
Jacob Melanson,8482874,2025020735,55,1.5,0.4178868998049899,2026-01-14
T. Kozak,8482896,2025020736,7,1.5,0.3042578338729246,2026-01-14
Marc McLaughlin,8483397,2025020735,1,1.5,0.1542703143150368,2026-01-14
Taylor Ward,8483406,2025020738,26,1.5,0.3191567235936876,2026-01-14
J.Kulich,8483468,2025020736,7,1.5,0.7654945946627663,2026-01-14
S. Nemec,8483495,2025020735,1,1.5,0.5354761175746782,2026-01-14
N. Ostlund,8483500,2025020736,7,1.5,0.5900661885386822,2026-01-14
S. Wright,8483524,2025020735,55,1.5,0.6026342787736719,2026-01-14
B. Meyers,8483570,2025020735,55,1.5,0.9196733218213324,2026-01-14
N. Laba,8483690,2025020737,3,1.5,0.4115850346140595,2026-01-14
N. Grebenkin,8483733,2025020736,4,1.5,0.463672715271476,2026-01-14
Braeden Bowman,8483890,2025020738,54,1.5,0.5208455614029229,2026-01-14
Denver Barkey,8484142,2025020736,4,1.5,0.4710005267603567,2026-01-14
G. Perreault,8484210,2025020737,3,1.5,0.4107715920574911,2026-01-14
Z. Metsa,8484305,2025020736,7,1.5,0.2843859219623111,2026-01-14
N. Matinpalo,8484321,2025020737,9,1.5,0.2451054186467271,2026-01-14
B. Catton,8484800,2025020735,55,1.5,0.7095715678466004,2026-01-14
C. Perry,8470621,2025020738,26,2.5,0.7045772809698452,2026-01-14
A. Kopitar,8471685,2025020738,26,2.5,0.2513630544959175,2026-01-14
J. Quick,8471734,2025020737,3,2.5,0.124344765847974,2026-01-14
J. Reimer,8473503,2025020737,9,2.5,0.0750916401875931,2026-01-14
C. Giroux,8473512,2025020737,9,2.5,0.8339384435039575,2026-01-14
D. Perron,8474102,2025020737,9,2.5,0.9253545659018252,2026-01-14
E. Dadonov,8474149,2025020735,1,2.5,0.6688756948090288,2026-01-14
L. Eller,8474189,2025020737,9,2.5,0.2807279905845106,2026-01-14
D. Doughty,8474563,2025020738,26,2.5,0.7214308546969235,2026-01-14
J. Eberle,8474586,2025020735,55,2.5,0.921702758053683,2026-01-14
J. Markstrom,8474593,2025020735,1,2.5,0.0819671936342985,2026-01-14
J. Allen,8474596,2025020735,1,2.5,0.0819671936342985,2026-01-14
B. McNabb,8475188,2025020738,54,2.5,0.4312104490549812,2026-01-14
R. Smith,8475191,2025020738,54,2.5,0.4037753507276683,2026-01-14
B. Dumoulin,8475208,2025020738,26,2.5,0.3339247883561911,2026-01-14
N. Deslauriers,8475235,2025020736,4,2.5,0.394252975536832,2026-01-14
D. Kuemper,8475311,2025020738,26,2.5,0.0981632313290537,2026-01-14
N. Jensen,8475324,2025020737,9,2.5,0.2463112809524756,2026-01-14
B. Dillon,8475455,2025020735,1,2.5,0.2221878957196008,2026-01-14
J. Zucker,8475722,2025020736,7,2.5,0.9465954027574645,2026-01-14
J. Schwartz,8475768,2025020735,55,2.5,0.8758650557332966,2026-01-14
P. Grubauer,8475831,2025020735,55,2.5,0.0904905693694962,2026-01-14
S. Carrick,8475842,2025020737,3,2.5,0.7317954594511503,2026-01-14
M. Stone,8475913,2025020738,54,2.5,0.7639076013680025,2026-01-14
O. Palat,8476292,2025020735,1,2.5,0.5585439325668022,2026-01-14
