population,candidate_id,metric,date_clusters,bootstrap_draws,point_delta_joint_minus_champion,ci95_low,ci95_high,fraction_draws_favoring_champion_retention,unadjusted_two_sided_bootstrap_p,seed
2026_SEQUENTIAL_EARLY,S2_08,log_loss,98,10000,-2.419428051018345e-05,-0.0005523672009874093,0.000498384164649734,0.4598,0.9196,20260831
2026_SEQUENTIAL_EARLY,S2_09,mae,98,10000,0.000441981508118859,-0.0012819239323004171,0.00217709947198951,0.6985,0.603,20260831
2026_SEQUENTIAL_EARLY,S2_09,crps,98,10000,0.0013596860771536,0.000299743086183185,0.002460927352356414,0.9933,0.0134,20260831
2026_SEQUENTIAL_EARLY,S2_09,brier,98,10000,0.0001425167502289001,1.825393229585573e-05,0.00027069778648670863,0.9875,0.025,20260831
2026_SEQUENTIAL_EARLY,S2_09,log_loss,98,10000,0.00033200055160799045,4.585042738451226e-05,0.000627644436721883,0.9887,0.0226,20260831
2026_SEQUENTIAL_EARLY,S2_10,mae,98,10000,-0.002115746949715746,-0.004369685916206077,0.00013623055963317646,0.0343,0.0686,20260831
2026_SEQUENTIAL_EARLY,S2_10,crps,98,10000,-0.00028689197487402656,-0.0016418966274354633,0.001060150049673531,0.3439,0.6878,20260831
2026_SEQUENTIAL_EARLY,S2_10,brier,98,10000,-1.655535299712199e-05,-0.0001794750150393258,0.00014379659007307142,0.4187,0.8374,20260831
2026_SEQUENTIAL_EARLY,S2_10,log_loss,98,10000,-4.133677719207029e-05,-0.0004106753439549036,0.00032463941324912713,0.4137,0.8274,20260831
2026_SEQUENTIAL_EARLY,S2_11,mae,98,10000,0.036766873932673375,0.016219030917407333,0.05642998557533843,0.9999,0.0002,20260831
2026_SEQUENTIAL_EARLY,S2_11,crps,98,10000,0.01713515853121469,0.004138918053298872,0.02992680702840085,0.9948,0.0104,20260831
2026_SEQUENTIAL_EARLY,S2_11,brier,98,10000,0.001953787259906946,0.00050411802077803,0.0033633987083066573,0.9955,0.009,20260831
2026_SEQUENTIAL_EARLY,S2_11,log_loss,98,10000,0.004181499426327762,0.0009322103764893545,0.007348001895424435,0.994,0.012,20260831
2026_SEQUENTIAL_EARLY,S2_12,mae,98,10000,0.05316741319724207,0.026073950187312338,0.07936564189363263,0.9999,0.0002,20260831
2026_SEQUENTIAL_EARLY,S2_12,crps,98,10000,0.02838111990708435,0.011402915511849842,0.045282233342152305,0.9994,0.0012,20260831
2026_SEQUENTIAL_EARLY,S2_12,brier,98,10000,0.0032069740115586417,0.0012595588174214823,0.005116295649426436,0.9992,0.0016,20260831
2026_SEQUENTIAL_EARLY,S2_12,log_loss,98,10000,0.006993041189818063,0.0026118523640389275,0.011294011160453235,0.999,0.002,20260831
2026_SEQUENTIAL_EARLY,S2_13,mae,98,10000,0.041853859595851854,0.018767929650231517,0.06386028013319783,0.9999,0.0002,20260831
2026_SEQUENTIAL_EARLY,S2_13,crps,98,10000,0.018436036402843248,0.0037699801290738515,0.03288103524186266,0.9922,0.0156,20260831
2026_SEQUENTIAL_EARLY,S2_13,brier,98,10000,0.0020816593896836456,0.0004439583930309577,0.0036865738858483568,0.9931,0.0138,20260831
2026_SEQUENTIAL_EARLY,S2_13,log_loss,98,10000,0.004426689243862506,0.0007407253082476314,0.00802171430315836,0.9909,0.0182,20260831
2026_SEQUENTIAL_EARLY,S2_14,mae,98,10000,0.13919726666843166,0.07937318110047589,0.19711381304648135,1.0,0.0,20260831
2026_SEQUENTIAL_EARLY,S2_14,crps,98,10000,0.02248382482345272,-0.01458233666162357,0.05864548537063522,0.8818,0.2364,20260831
2026_SEQUENTIAL_EARLY,S2_14,brier,98,10000,0.002494877342281935,-0.001740830288431882,0.00665138013209282,0.8744,0.2512,20260831
2026_SEQUENTIAL_EARLY,S2_14,log_loss,98,10000,0.004938833585430643,-0.004498355680416039,0.014177419252619377,0.8495,0.301,20260831
2026_SEQUENTIAL_EARLY,S2_15,mae,98,10000,0.03928225999701085,-5.3136217624510224e-05,0.07767461295540258,0.9748,0.0504,20260831
2026_SEQUENTIAL_EARLY,S2_15,crps,98,10000,-0.01774512606746057,-0.04190499842589477,0.006175144004244027,0.0719,0.1438,20260831
2026_SEQUENTIAL_EARLY,S2_15,brier,98,10000,-0.002039744975743863,-0.0048184212253969535,0.0007198756296245369,0.0742,0.1484,20260831
2026_SEQUENTIAL_EARLY,S2_15,log_loss,98,10000,-0.004908777482744611,-0.011106625835178211,0.001269995766965172,0.058,0.116,20260831
2026_LATE_HOLDOUT,S2_01,mae,33,10000,0.0034902807485569162,-0.005530811077187037,0.012343928669728874,0.7885,0.423,20260831
2026_LATE_HOLDOUT,S2_01,crps,33,10000,-0.0007628637160714399,-0.00595649819627988,0.004337425845150436,0.3849,0.7698,20260831
2026_LATE_HOLDOUT,S2_01,brier,33,10000,2.0514349219088424e-05,-0.0005934727511239542,0.0006225462756684376,0.5323,0.9354,20260831
2026_LATE_HOLDOUT,S2_01,log_loss,33,10000,9.54987956021511e-05,-0.001296662617726553,0.0014731787491242415,0.5612,0.8776,20260831
2026_LATE_HOLDOUT,S2_02,mae,33,10000,0.0015634464251311534,-0.009181777792624675,0.011958346823546052,0.6161,0.7678,20260831
2026_LATE_HOLDOUT,S2_02,crps,33,10000,-0.0002650555366427017,-0.007186632239480595,0.006089884519775487,0.4695,0.939,20260831
2026_LATE_HOLDOUT,S2_02,brier,33,10000,0.00012687112232056928,-0.0005889267345520393,0.000792006943139601,0.6491,0.7018,20260831
2026_LATE_HOLDOUT,S2_02,log_loss,33,10000,0.00040425058244024457,-0.001234136938716471,0.0019317924996949843,0.697,0.606,20260831
2026_LATE_HOLDOUT,S2_03,mae,33,10000,0.0009592485393990831,-0.005167494961201959,0.007188830396428085,0.6146,0.7708,20260831
2026_LATE_HOLDOUT,S2_03,crps,33,10000,-0.0021222626148884325,-0.005892897502289824,0.0016751914510466923,0.1414,0.2828,20260831
2026_LATE_HOLDOUT,S2_03,brier,33,10000,-0.0001987861211487153,-0.0006419856967750853,0.00024972890437698937,0.1907,0.3814,20260831
2026_LATE_HOLDOUT,S2_03,log_loss,33,10000,-0.0005343902755582435,-0.0015659526741796399,0.0005129284574018429,0.1598,0.3196,20260831
2026_LATE_HOLDOUT,S2_04,mae,33,10000,-0.0029227988858391406,-0.0315655882411583,0.026087116360852043,0.4247,0.8494,20260831
2026_LATE_HOLDOUT,S2_04,crps,33,10000,0.025674431323859364,0.008706955781926425,0.043490321494196515,0.9981,0.0038,20260831
2026_LATE_HOLDOUT,S2_04,brier,33,10000,0.0022850780743961133,0.00028086036871068407,0.004318408713377252,0.987,0.026,20260831
2026_LATE_HOLDOUT,S2_04,log_loss,33,10000,0.005906318933440625,0.001135228662926787,0.010663394658330695,0.9907,0.0186,20260831
2026_LATE_HOLDOUT,S2_05,mae,33,10000,-0.007734451582934287,-0.018506158123957308,0.0030386999704841984,0.0783,0.1566,20260831
2026_LATE_HOLDOUT,S2_05,crps,33,10000,-0.004783530189235359,-0.011189683278336242,0.0014830063221075917,0.0697,0.1394,20260831
2026_LATE_HOLDOUT,S2_05,brier,33,10000,-0.0006240660806473551,-0.0013916347781857271,0.0001361407164454424,0.0516,0.1032,20260831
2026_LATE_HOLDOUT,S2_05,log_loss,33,10000,-0.001436758381227499,-0.0031889251079648424,0.0003166092061300654,0.0528,0.1056,20260831
2026_LATE_HOLDOUT,S2_06,mae,33,10000,-0.000826446110691559,-0.007654632009247243,0.007053194676134078,0.4062,0.8124,20260831
2026_LATE_HOLDOUT,S2_06,crps,33,10000,0.0013335439676441954,-0.0035798885734288745,0.006530677730656321,0.7005,0.599,20260831
2026_LATE_HOLDOUT,S2_06,brier,33,10000,5.732234742271594e-06,-0.0004924543614988943,0.0005356485383058886,0.5081,0.9838,20260831
2026_LATE_HOLDOUT,S2_06,log_loss,33,10000,-6.667794310893686e-05,-0.0012017803866772481,0.0011420520955548546,0.4536,0.9072,20260831
2026_LATE_HOLDOUT,S2_07,mae,33,10000,-0.004058712538544966,-0.01377577359741768,0.005400522614908023,0.2043,0.4086,20260831
2026_LATE_HOLDOUT,S2_07,crps,33,10000,-0.005010497996731834,-0.011577085641465095,0.0012262080338324515,0.0589,0.1178,20260831
2026_LATE_HOLDOUT,S2_07,brier,33,10000,-0.0005333461736650974,-0.0012769367252578449,0.00019596929771897281,0.0734,0.1468,20260831
2026_LATE_HOLDOUT,S2_07,log_loss,33,10000,-0.0013133501279172248,-0.0030171324336824472,0.0003500347773816232,0.0609,0.1218,20260831
2026_LATE_HOLDOUT,S2_08,mae,33,10000,-0.0017665544014400535,-0.008144161481955924,0.004237473473290889,0.2894,0.5788,20260831
2026_LATE_HOLDOUT,S2_08,crps,33,10000,-0.0003790494212554219,-0.004289588234025552,0.0034353422097260257,0.4222,0.8444,20260831
2026_LATE_HOLDOUT,S2_08,brier,33,10000,-7.69284296060031e-05,-0.000517507679836565,0.0003496094893467528,0.3629,0.7258,20260831
2026_LATE_HOLDOUT,S2_08,log_loss,33,10000,-0.0001591503862909516,-0.0011831346667832594,0.0008313475599438711,0.3785,0.757,20260831
2026_LATE_HOLDOUT,S2_09,mae,33,10000,-0.002190030456172895,-0.00530684761460256,0.0007581399236533975,0.0776,0.1552,20260831
2026_LATE_HOLDOUT,S2_09,crps,33,10000,-0.0006264200865432542,-0.002545615055960319,0.001235903837731116,0.2567,0.5134,20260831
2026_LATE_HOLDOUT,S2_09,brier,33,10000,-7.572845377750014e-05,-0.0002889444533101736,0.0001315633683927731,0.2386,0.4772,20260831
2026_LATE_HOLDOUT,S2_09,log_loss,33,10000,-0.00014752909105313335,-0.0006369792621833031,0.00033036310144683327,0.2762,0.5524,20260831
2026_LATE_HOLDOUT,S2_10,mae,33,10000,0.0008559075949698867,-0.0021568929736519903,0.0037515028791863278,0.7124,0.5752,20260831
2026_LATE_HOLDOUT,S2_10,crps,33,10000,0.0007863437907675725,-0.0010109320280566414,0.0024770564823169677,0.8106,0.3788,20260831
2026_LATE_HOLDOUT,S2_10,brier,33,10000,9.43102726251719e-05,-0.00012220327759193203,0.0002956390973356577,0.808,0.384,20260831
2026_LATE_HOLDOUT,S2_10,log_loss,33,10000,0.00021227310773578434,-0.0003016651993166617,0.0006911817492468884,0.7966,0.4068,20260831
2026_LATE_HOLDOUT,S2_11,mae,33,10000,0.017391122804534264,-0.023257046379704216,0.060946659867138056,0.7877,0.4246,20260831
2026_LATE_HOLDOUT,S2_11,crps,33,10000,0.014933587490897854,-0.01318124962501354,0.04532355000609983,0.8448,0.3104,20260831
2026_LATE_HOLDOUT,S2_11,brier,33,10000,0.0008388706185997852,-0.002179827585414652,0.004037006676272909,0.6952,0.6096,20260831
2026_LATE_HOLDOUT,S2_11,log_loss,33,10000,0.0015881923262764024,-0.0053033481752101635,0.008879527856920769,0.6642,0.6716,20260831
2026_LATE_HOLDOUT,S2_12,mae,33,10000,0.03597254893595462,-0.015653202921010446,0.09029178490924726,0.9137,0.1726,20260831
