candidate_id,features_pipe,population,mean_signed_delta,mean_absolute_delta,median_absolute_delta,p90_absolute_delta,maximum_absolute_delta
S2_03,home_starter_ra9|away_starter_ra9,ALL_GOVERNED_EVALUATION,0.015956958105092543,0.05739210345464669,0.042502820160981614,0.11765891098790854,0.8702240674911135
S2_04,home_starter_prior_starts|away_starter_prior_starts,FROZEN_2025_VALIDATION,-0.17479227521158325,0.20719011799990542,0.18178298995059805,0.4154298056734803,0.5960342607866895
S2_04,home_starter_prior_starts|away_starter_prior_starts,2026_SEQUENTIAL_EARLY,-0.2179204038257874,0.24678837778755577,0.1958408495224937,0.5422445477153381,0.6903699537261048
S2_04,home_starter_prior_starts|away_starter_prior_starts,2026_LATE_HOLDOUT,-0.23737194245484625,0.262675447692263,0.2192136253774173,0.5761308349964113,0.7042261977784143
S2_04,home_starter_prior_starts|away_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.23698277864085499,0.2663485128881632,0.2078519014567144,0.5892090653046336,0.6926305436777191
S2_04,home_starter_prior_starts|away_starter_prior_starts,ALL_GOVERNED_EVALUATION,-0.1962407145732807,0.22675663926365414,0.1914876061489883,0.4836226026401864,0.7042261977784143
S2_05,home_expected_outs|away_expected_outs,FROZEN_2025_VALIDATION,0.0027056390890640666,0.08125289879322847,0.06419591003352565,0.1689815200478108,0.5182623001306297
S2_05,home_expected_outs|away_expected_outs,2026_SEQUENTIAL_EARLY,-0.001597493319036814,0.08798670571142932,0.06275471372018959,0.19238080160103976,0.550671403322621
S2_05,home_expected_outs|away_expected_outs,2026_LATE_HOLDOUT,0.0011631991594729244,0.08935591028065709,0.07179123047622937,0.18325302919708758,0.47099825635268466
S2_05,home_expected_outs|away_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.00504837864503024,0.0814023457448847,0.06236410476279186,0.1628557793022103,0.29822342275204505
S2_05,home_expected_outs|away_expected_outs,ALL_GOVERNED_EVALUATION,0.0013540548762218721,0.08408570047103185,0.06462376202616049,0.17507148138338383,0.550671403322621
S2_06,home_bullpen_ra9|away_bullpen_ra9,FROZEN_2025_VALIDATION,0.0011689165508378802,0.07846869233804109,0.06680082962860823,0.1580858621032974,0.35523231564462954
S2_06,home_bullpen_ra9|away_bullpen_ra9,2026_SEQUENTIAL_EARLY,0.00013989827906760895,0.06797022187670938,0.051722690392486115,0.1498930916125092,0.279262213959548
S2_06,home_bullpen_ra9|away_bullpen_ra9,2026_LATE_HOLDOUT,-0.0006725757066731638,0.06712525841078898,0.05717451023039555,0.11913628604657767,0.33419389399273314
S2_06,home_bullpen_ra9|away_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.004618309261985189,0.06500870588889893,0.057016659316152296,0.1451622703019555,0.2624189197359623
S2_06,home_bullpen_ra9|away_bullpen_ra9,ALL_GOVERNED_EVALUATION,0.0004658776244082063,0.07370469464922798,0.06144690028415667,0.15229892346496784,0.35523231564462954
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,0.004634638606706496,0.07264638327193065,0.05968421903777177,0.15203818734864855,0.3475398843702866
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,-0.0001278717539797153,0.07226777003484332,0.0615340518470493,0.15144010301505872,0.32996968443329244
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,0.02663405824451642,0.07111688205141498,0.0607162377595305,0.15039589649883744,0.34124278894554116
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.03709202225916005,0.07074508480956083,0.054444400666847415,0.15662488019788068,0.23901846114993042
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,ALL_GOVERNED_EVALUATION,0.006635177316092031,0.07230916880160228,0.06036459812809891,0.15172211354711648,0.3475398843702866
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,0.0006112487872282437,0.04548859418310953,0.037121377414113255,0.09493702485063517,0.3194205248435278
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,-0.0014340271564627193,0.0460951285170814,0.03943271634263823,0.09675641226846743,0.19874463394806874
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,-0.001486301496588434,0.049275617024083083,0.041036312046683676,0.1026027169603246,0.20406402764146137
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0033292245127899325,0.0398284916163291,0.03438547235804679,0.07843077739517179,0.11915218210727652
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,ALL_GOVERNED_EVALUATION,-0.00035313666026919895,0.045849814305780126,0.03810929926043016,0.09604578672771034,0.3194205248435278
S2_09,home_prevention|home_bullpen_ra9,FROZEN_2025_VALIDATION,-0.011853778992350326,0.030721314281172595,0.028725591685299534,0.05919840793074904,0.10648073719491968
S2_09,home_prevention|home_bullpen_ra9,2026_SEQUENTIAL_EARLY,-0.012018215871772847,0.02770431694501023,0.02753322433053995,0.0490016342834263,0.0838703777930121
S2_09,home_prevention|home_bullpen_ra9,2026_LATE_HOLDOUT,-0.011225782004893353,0.026343716605897557,0.025567365776705486,0.05059133895621883,0.0791824149777014
S2_09,home_prevention|home_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.01326271791007407,0.026529736435263532,0.01932607079391291,0.05887529594944896,0.07661075965301656
S2_09,home_prevention|home_bullpen_ra9,ALL_GOVERNED_EVALUATION,-0.011889691602285705,0.02922666932618732,0.027669881802205865,0.055798151834370924,0.10648073719491968
S2_10,away_prevention|away_bullpen_ra9,FROZEN_2025_VALIDATION,-0.012757049480509479,0.030438335011547548,0.027172799570742256,0.0586431165379832,0.10627709595913615
S2_10,away_prevention|away_bullpen_ra9,2026_SEQUENTIAL_EARLY,-0.01294621677898055,0.030257464731965306,0.02780246153537469,0.052931906678926666,0.12310864569291446
S2_10,away_prevention|away_bullpen_ra9,2026_LATE_HOLDOUT,-0.013018344818106714,0.027811226191866496,0.026094027844100864,0.04986463730202288,0.10092908852553695
S2_10,away_prevention|away_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.009972933119315294,0.02740671265616537,0.021494194296054037,0.04945612752040951,0.1171404626955912
S2_10,away_prevention|away_bullpen_ra9,ALL_GOVERNED_EVALUATION,-0.012739112560156807,0.030007161029782764,0.026847612516160524,0.055914825552156364,0.12310864569291446
S2_11,home_prevention|strict_prior_total_run_factor,FROZEN_2025_VALIDATION,0.04447074094405469,0.27303126129023214,0.21124867864022434,0.5678393617127238,1.5360640172574094
S2_11,home_prevention|strict_prior_total_run_factor,2026_SEQUENTIAL_EARLY,0.04655950363957517,0.28322165425964996,0.21965311329004678,0.6004394184551742,1.461724556079199
S2_11,home_prevention|strict_prior_total_run_factor,2026_LATE_HOLDOUT,0.04361213445801864,0.3095614567195617,0.2287013329979377,0.6134283168700166,1.466069417816401
S2_11,home_prevention|strict_prior_total_run_factor,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.03546484898413265,0.303986832952922,0.20247793678118509,0.5855560519910004,1.533508317672922
S2_11,home_prevention|strict_prior_total_run_factor,ALL_GOVERNED_EVALUATION,0.04467818063304147,0.28090309196247154,0.21473565684157236,0.5808262892263703,1.5360640172574094
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,FROZEN_2025_VALIDATION,0.05952498540898792,0.38090834910564453,0.3375477120840813,0.6810007045683496,2.0596967471099585
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,2026_SEQUENTIAL_EARLY,0.06065055876223066,0.3850002921756816,0.2975126588130248,0.7272646524004136,1.9442193816980549
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,2026_LATE_HOLDOUT,0.05699425751510652,0.4132199758535461,0.3243522500985332,0.7519591697345914,1.9175933800230016
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.04756798733278753,0.40272419190419007,0.2586994222819756,0.7119375483134918,1.9955271357578361
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,ALL_GOVERNED_EVALUATION,0.05916888845382495,0.3862065284260482,0.3241237407834543,0.7109889188138896,2.0596967471099585
S2_13,home_offense|strict_prior_total_run_factor,FROZEN_2025_VALIDATION,0.07498706107575265,0.31246855677920254,0.26029527434951305,0.6453286221463728,1.7346583731783234
S2_13,home_offense|strict_prior_total_run_factor,2026_SEQUENTIAL_EARLY,0.07700443791746324,0.318685832486438,0.23827213785385304,0.6912641409724367,1.6374712083334835
S2_13,home_offense|strict_prior_total_run_factor,2026_LATE_HOLDOUT,0.06967948630289847,0.34465269123707964,0.24071434178584283,0.7133797150796708,1.6527542401811406
S2_13,home_offense|strict_prior_total_run_factor,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.06466948600840582,0.3384702831474995,0.23610246477412655,0.6824567810557549,1.7298308177434176
S2_13,home_offense|strict_prior_total_run_factor,ALL_GOVERNED_EVALUATION,0.07467253164860996,0.31853711897958104,0.2490261193430463,0.6689557344885704,1.7346583731783234
S2_14,strict_prior_total_run_factor|park_history_depth,FROZEN_2025_VALIDATION,0.6258212897060521,0.7568522412034429,0.7813566009139254,1.1786373658237257,1.5815984667752936
S2_14,strict_prior_total_run_factor|park_history_depth,2026_SEQUENTIAL_EARLY,0.9478421994525641,1.0516576275662837,1.030039422628306,1.429703251385333,1.8760675126436581
S2_14,strict_prior_total_run_factor|park_history_depth,2026_LATE_HOLDOUT,1.0857639367536873,1.193765284607342,1.1992653554411827,1.583110346277252,1.9377741045098489
S2_14,strict_prior_total_run_factor|park_history_depth,PROSPECTIVE_AUG17_28_CLEAN_RAW,1.1216799407652007,1.2168932460256183,1.2261338707348695,1.6713096826028364,1.9097276138170454
S2_14,strict_prior_total_run_factor|park_history_depth,ALL_GOVERNED_EVALUATION,0.7863637721856114,0.9056609956098874,0.9129365412009527,1.3676783521282168,1.9377741045098489
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,FROZEN_2025_VALIDATION,0.37566657359140054,0.4232618447855783,0.4016171995530122,0.7087862839342066,1.0712816903481617
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,2026_SEQUENTIAL_EARLY,0.6386853555076677,0.6565524295939889,0.6626850953303585,0.9830957686410606,1.2934385806346587
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,2026_LATE_HOLDOUT,0.7522048251273117,0.7541770839541428,0.7664371288994456,1.0971332875364634,1.358656726522927
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.7966107913749113,0.7975007070995306,0.8014060847998241,1.1514027816042431,1.3174737127508127
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,ALL_GOVERNED_EVALUATION,0.5074592517146846,0.5398778326378759,0.5112476667999637,0.9267181843302099,1.358656726522927
