candidate_id,candidate_type,features_pipe,population,games,mae,rmse,actual_minus_forecast_bias,crps,brier,log_loss,ece,mean_forecast,champion_mae,champion_rmse,champion_actual_minus_forecast_bias,champion_crps,champion_brier,champion_log_loss,champion_ece,mae_delta,rmse_delta,actual_minus_forecast_bias_delta,crps_delta,brier_delta,log_loss_delta,ece_delta,constituent_single_mae_deltas,constituent_single_rmse_deltas,constituent_single_actual_minus_forecast_bias_deltas,constituent_single_crps_deltas,constituent_single_brier_deltas,constituent_single_log_loss_deltas,constituent_single_ece_deltas
S2_05,PAIR,home_expected_outs|away_expected_outs,FROZEN_2025_VALIDATION,2433,3.6002340935998696,4.594339217298342,0.2123417609330034,2.533681123359017,0.22743474490168855,0.6468873216033795,0.01681833220451603,8.675862102609948,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.003027457433333325,0.0026773855046497985,-0.0027056390890640436,0.00208534474498423,0.00024916089853868617,0.0005906645890515483,0.0003508935518326574,"[0.005496147694631137, -0.002439644442924216]","[0.004745485977077024, -0.0020650470952201516]","[-0.0012558716977309758, -0.0014455464133419915]","[0.0032800940088648645, -0.00119533821072082]","[0.0003932764113105669, -0.0001441824539493708]","[0.0008902723835184645, -0.00030140897193209337]","[-2.6991004412398045e-05, -0.000937007447742326]"
S2_05,PAIR,home_expected_outs|away_expected_outs,2026_SEQUENTIAL_EARLY,1281,3.5200112846219493,4.501231370895671,0.579030738166124,2.5051443186599234,0.22684963649461268,0.6459424180385251,0.04983125165612583,8.410820940210144,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,-0.0009346846194562275,0.0004634226648549955,0.0015974933190369134,-3.2837618273440228e-06,-4.985061949100422e-05,-0.00011366355871322842,8.244607515141972e-05,"[0.0029223369652005005, -0.004003563171047109]","[0.003231014802552501, -0.0028049974157724478]","[0.010318285850484, -0.00870838802003171]","[0.0020445157323960572, -0.0020493984091127793]","[0.00024133244830940037, -0.0002920504298914717]","[0.0005245386897873017, -0.0006420375478340956]","[0.0008460404116417547, -0.0007634366323410122]"
S2_05,PAIR,home_expected_outs|away_expected_outs,2026_LATE_HOLDOUT,439,3.670526860421489,4.676367616065738,0.6598915581982464,2.5974931171412132,0.22991196303096312,0.6529190977204827,0.04357145771631451,8.26721550330517,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,-0.0077344515829347316,-0.004561876706942414,-0.0011631991594729385,-0.004783530189235385,-0.0006240660806474119,-0.0014367583812275875,-0.0003341647763727418,"[-0.006790464214379899, -0.00023555240746775397]","[-0.0034463985973802735, -0.0010386280530383374]","[0.006973191330251094, -0.008162962539598029]","[-0.004032478017219621, -0.0007193601016450835]","[-0.0005382215949630287, -8.120253903987074e-05]","[-0.0012486052746482068, -0.00018187532196434208]","[0.00037007974665794613, -0.0005948256069502958]"
S2_05,PAIR,home_expected_outs|away_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.7199593024452215,4.6173874044551795,0.4503394056932613,2.600274021211591,0.22902093954029168,0.6511195616914176,0.04362126344164197,8.235558030204174,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.0015818375979375077,0.004748273843532047,-0.005048378645030216,0.002952581620066841,0.0004065485749165654,0.0011616816127706375,0.001793148380361917,"[0.0025517478837939755, -0.0009981557898286475]","[0.007950085348058522, -0.003136981660779803]","[-0.00013380234922411027, -0.004961491353443093]","[0.004060231928736613, -0.0010689911190859824]","[0.00043883474495598485, -2.7714590614597023e-05]","[0.0011824488258845856, -6.90787839863205e-06]","[0.000623699674422655, -0.0013258367608474445]"
S2_05,PAIR,home_expected_outs|away_expected_outs,ALL_GOVERNED_EVALUATION,4309,3.5878809348423504,4.576172383756558,0.37556537973496884,2.534109601083743,0.22757060502072068,0.6473741532818579,0.029011045430305603,8.539496119452778,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,0.0007008158176247115,0.0013511935530923225,-0.0013540548762219773,0.0007960246566023343,7.700310764896523e-05,0.0001953978483832941,-0.00017717718978896985,"[0.003372638633839742, -0.002627834569932208]","[0.0035659585283820405, -0.0022134120784240707]","[0.0030639466608009536, -0.004416336199429716]","[0.002196015713179289, -0.001396170556499765]","[0.0002548543316378271, -0.00017750844788214093]","[0.0005742146836819062, -0.00037983268109975654]","[0.000209914682397859, -0.0003718842508945129]"
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,FROZEN_2025_VALIDATION,2433,3.600698053285686,4.593883947409083,0.2138784834712295,2.533005391611565,0.22737666848234997,0.6466859498515122,0.017529271759174875,8.674325380071721,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.003491417119149798,0.002222115615390763,-0.001168916550837923,0.0014096129975325056,0.0001910844792001043,0.0003892928371842519,0.0010618331064915013,"[0.0030677026014087616, 0.0006655505775152726]","[0.001471162631133005, 0.0008319129958707094]","[0.001464510419047993, -0.002676370393821098]","[0.0009793580480184083, 0.000480042718477236]","[0.0001501265617467884, 4.6025946784294947e-05]","[0.00028544401327113, 0.00011540327216585933]","[-0.0006923965487291225, -0.0010047864949065434]"
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,2026_SEQUENTIAL_EARLY,1281,3.5285380979824343,4.50967763950389,0.5772933465680197,2.5099558835817817,0.22739194420006972,0.6471428489968651,0.04959034651176327,8.412558331808249,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.00759212874102877,0.008909691273073506,-0.000139898279067463,0.004808281160030958,0.0004924570859660415,0.0010867673996267646,-0.0001584590692111365,"[0.004527845806259201, 0.0032760997615652876]","[0.005681711046452875, 0.0032746314119913578]","[0.0021381418305959077, -0.0023078053647438423]","[0.003049994308255144, 0.0017849088462633667]","[0.00031518384714282477, 0.00018015228142695405]","[0.0006709495638795859, 0.0004236498866735383]","[1.0382045799173234e-05, -0.00016848072124155816]"
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,2026_LATE_HOLDOUT,439,3.6774348658937317,4.68422180756002,0.6617273330643925,2.6036101912980927,0.23054176134635276,0.6542891781586013,0.044540474944174305,8.265379728439024,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,-0.0008264461106919363,0.0032923147873393788,0.0006725757066731175,0.0013335439676440686,5.732234742233944e-06,-6.667794310899477e-05,0.0006348524514870543,"[-0.0008930721433082489, 0.0003857153174440242]","[0.0019810667360271594, 0.001382893906794358]","[0.0026065421261277644, -0.0019817971177468197]","[0.0005219330224490726, 0.0008640712259526673]","[-5.554570761381883e-05, 6.656639650248763e-05]","[-0.0002148679039076784, 0.00016387662794303814]","[-0.00016128549098325118, -0.00037870737639440766]"
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.7228342959914142,4.61989432020007,0.4600060936002768,2.6022744310023067,0.2290846757953147,0.6509921521659205,0.04236918397160534,8.22589134229716,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.004456831144130202,0.007255189588422972,0.004618309261985254,0.004952991410782648,0.00047028482993957677,0.00103427208727358,0.0005410689103252861,"[0.0026567997971986834, 0.0020838442526840417]","[0.004042050022578181, 0.003283065200998081]","[0.004126967808174509, 0.0004799854494703659]","[0.0029666729838271344, 0.0020427429497646976]","[0.00024705557611900963, 0.0002270200763488106]","[0.0005027533039988485, 0.0005314802158414844]","[-0.000690775228934265, -0.0008149577175580458]"
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,ALL_GOVERNED_EVALUATION,4309,3.591485663370059,4.5792953852650315,0.37645355698678257,2.535854093728341,0.22776550419887787,0.6477522929921612,0.028977083557284247,8.538607942200965,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,0.0043055443453332565,0.0044741950615661,-0.00046587762440825076,0.002540517301200307,0.00027190228580614706,0.0005735375586866098,-0.00021113906281032546,"[0.0030833819922242434, 0.0014644643948562575]","[0.0028499283841405543, 0.0016933325254484544]","[0.001877510444646624, -0.0023817681701038262]","[0.0016202716226585423, 0.0009636591632573577]","[0.00018175087889343855, 9.454490160340501e-05]","[0.0003569445767526158, 0.0002270421024243019]","[-3.924308463053999e-05, -0.00017220079788307294]"
