path,sha256,bytes,role
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_old_vs_coherent_evidence_comparison.md,74e1a49360f68153731995404407b4ad9c25f8e0e2f8e338fb4804af0dc2a83d,348,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_original_live_parity.csv,66194b0ee13f09afbe62df4dcc20d900d644241bcfb742c5cb8ecd95a964e6f2,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_outcome_attachment.csv,06d38ccfe9de95b2b23aeba6d58aabc0973795706583a610c35d66f4eea31e78,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_prediction_ledger_hashes.json,f040a2c3a6ad0975a4ae630fae8f49bdc0dc203c7e24dc781a001c83b09cb9a6,262,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_reconstruction_coverage.csv,2ac9964cac74124d08f8d93b38e45df3fbd68b848dce7827089778c26de2ed6e,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_reconstruction_design_decision.md,b7626ff8b35fcb31f8d9546ed2748e6167f26b045c0c24330155ef41ae145eaf,1451,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_slate_denominator.csv,5db2c73572c9033d57bf12a926d244921a0f7ee34ec7f7d41b6ebaa9e6f72c66,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_slate_scorecard.csv,43a7b8ca636c9c0aab9e95e08b045f1bd040a1aee79e7f3e38a76c5224825613,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_snapshot_policy.md,206d15d285ad6d86f213d8d1c07fce56320f6198c0e3dfe07f4bc7bb06ddc448,318,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_strict_prior_feature_lineage.csv,601fe5a5bd6a61f0278f9cb1a8369d23db4835e5e6d586770e4fa98d93cdf67a,22672,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_trivial_baseline_comparison.csv,a8582619c7567f525e3485685646b6cc3f52940e92303b80399f1ef85f23fee6,208,output
