row_type,venue_id,park_name,games,first_date,last_date,min_depth,max_depth,pearson_depth_vs_date,spearman_depth_vs_date,declines,season_reset_count,historical_depth_formula_mismatches,prospective_live_depth_mismatches,mechanical_calendar_growth,notes,estimated_depth_increase_per_week,estimated_depth_increase_per_month,positive_depth_steps,neutral_site_games,sparse_or_special_venue,season,reset_at_season_start
SEASON_BOUNDARY,32,American Family Field,81,2023-04-03,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,32,American Family Field,81,2024-04-02,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,32,American Family Field,81,2025-03-31,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,32,American Family Field,59,2026-03-26,2026-08-05,243.0,301.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,680,T-Mobile Park,301,2023-03-30,2026-08-05,0.0,300.0,,,0,0,0,,YES,,1.5557870100673266,6.764895302703464,300,0,False,,
SEASON_BOUNDARY,680,T-Mobile Park,81,2023-03-30,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,680,T-Mobile Park,81,2024-03-28,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,680,T-Mobile Park,81,2025-03-27,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,680,T-Mobile Park,58,2026-03-26,2026-08-05,243.0,300.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2392,Daikin Park,302,2023-03-30,2026-08-05,0.0,301.0,,,0,0,0,,YES,,1.557240754430582,6.771216494711548,301,0,False,,
SEASON_BOUNDARY,2392,Daikin Park,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2392,Daikin Park,81,2024-03-28,2024-09-25,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2392,Daikin Park,81,2025-03-27,2025-09-21,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2392,Daikin Park,59,2026-03-26,2026-08-05,243.0,301.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2394,Comerica Park,299,2023-04-06,2026-07-29,0.0,298.0,,,0,0,0,,YES,,1.546140758822691,6.722951335237951,288,0,False,,
SEASON_BOUNDARY,2394,Comerica Park,81,2023-04-06,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2394,Comerica Park,80,2024-04-05,2024-09-29,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2394,Comerica Park,81,2025-04-04,2025-09-21,161.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2394,Comerica Park,57,2026-04-03,2026-07-29,242.0,298.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2395,Oracle Park,296,2023-04-07,2026-07-29,0.0,295.0,,,0,0,0,,YES,,1.5446896408092896,6.716641563161822,294,0,False,,
SEASON_BOUNDARY,2395,Oracle Park,81,2023-04-07,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2395,Oracle Park,81,2024-04-05,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2395,Oracle Park,81,2025-04-04,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2395,Oracle Park,53,2026-03-25,2026-07-29,243.0,295.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2397,Tokyo Dome,2,2025-03-18,2025-03-19,0.0,1.0,,,0,0,0,,YES,,6.999999999999998,30.437499999999993,1,0,True,,
SEASON_BOUNDARY,2397,Tokyo Dome,2,2025-03-18,2025-03-19,0.0,1.0,,,,,,,,,,,,,,2025,False
VENUE_SUMMARY,2523,George M. Steinbrenner Field,81,2025-03-28,2025-09-21,0.0,80.0,,,0,0,0,,YES,,2.9043606075836954,12.628782284761247,80,0,False,,
SEASON_BOUNDARY,2523,George M. Steinbrenner Field,81,2025-03-28,2025-09-21,0.0,80.0,,,,,,,,,,,,,,2025,False
VENUE_SUMMARY,2529,Sutter Health Park,132,2025-03-31,2026-08-02,0.0,131.0,,,0,0,0,,YES,,1.4900067926548008,6.478868821632928,131,0,False,,
SEASON_BOUNDARY,2529,Sutter Health Park,81,2025-03-31,2025-09-28,0.0,80.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2529,Sutter Health Park,51,2026-04-03,2026-08-02,81.0,131.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2602,Great American Ball Park,301,2023-03-30,2026-08-05,0.0,300.0,,,0,0,0,,YES,,1.5468954146134979,6.726232740328334,295,0,False,,
SEASON_BOUNDARY,2602,Great American Ball Park,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2602,Great American Ball Park,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2602,Great American Ball Park,80,2025-03-27,2025-09-25,162.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2602,Great American Ball Park,59,2026-03-26,2026-08-05,242.0,300.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2680,Petco Park,297,2023-03-30,2026-08-02,0.0,296.0,,,0,0,0,,YES,,1.5378882718884384,6.687067753657763,295,0,False,,
SEASON_BOUNDARY,2680,Petco Park,79,2023-03-30,2023-09-24,0.0,78.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2680,Petco Park,80,2024-03-28,2024-09-22,79.0,158.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2680,Petco Park,81,2025-03-27,2025-09-28,159.0,239.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2680,Petco Park,57,2026-03-26,2026-08-02,240.0,296.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2681,Citizens Bank Park,300,2023-04-07,2026-08-05,0.0,299.0,,,0,0,0,,YES,,1.559757218914962,6.782158621532022,292,0,False,,
SEASON_BOUNDARY,2681,Citizens Bank Park,81,2023-04-07,2023-09-28,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2681,Citizens Bank Park,80,2024-03-29,2024-09-25,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2681,Citizens Bank Park,81,2025-03-31,2025-09-28,161.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2681,Citizens Bank Park,58,2026-03-26,2026-08-05,242.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2735,Journey Bank Ballpark,3,2023-08-20,2025-08-17,0.0,2.0,,,0,0,0,,YES,,0.019230769230769225,0.08361950549450547,2,0,True,,
SEASON_BOUNDARY,2735,Journey Bank Ballpark,1,2023-08-20,2023-08-20,0.0,0.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2735,Journey Bank Ballpark,1,2024-08-18,2024-08-18,1.0,1.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2735,Journey Bank Ballpark,1,2025-08-17,2025-08-17,2.0,2.0,,,,,,,,,,,,,,2025,False
VENUE_SUMMARY,2889,Busch Stadium,300,2023-03-30,2026-07-30,0.0,299.0,,,0,0,0,,YES,,1.549284108528791,6.73661929333501,292,0,False,,
SEASON_BOUNDARY,2889,Busch Stadium,79,2023-03-30,2023-10-01,0.0,78.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2889,Busch Stadium,80,2024-04-04,2024-09-22,79.0,158.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2889,Busch Stadium,81,2025-03-27,2025-09-21,159.0,239.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2889,Busch Stadium,60,2026-03-26,2026-07-30,240.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3289,Citi Field,300,2023-04-07,2026-08-02,0.0,299.0,,,0,0,0,,YES,,1.5513345442537307,6.745535027246132,288,0,False,,
SEASON_BOUNDARY,3289,Citi Field,81,2023-04-07,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,3289,Citi Field,80,2024-03-29,2024-09-22,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,3289,Citi Field,80,2025-04-04,2025-09-21,161.0,240.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,3289,Citi Field,59,2026-03-26,2026-08-02,241.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3309,Nationals Park,299,2023-03-30,2026-07-29,0.0,298.0,,,0,0,0,,YES,,1.5480348042487375,6.731187050617279,293,0,False,,
SEASON_BOUNDARY,3309,Nationals Park,80,2023-03-30,2023-09-24,0.0,78.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,3309,Nationals Park,81,2024-04-01,2024-09-29,80.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,3309,Nationals Park,81,2025-03-27,2025-09-28,161.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,3309,Nationals Park,57,2026-04-03,2026-07-29,242.0,298.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3312,Target Field,300,2023-04-07,2026-07-30,0.0,299.0,,,0,0,0,,YES,,1.5542935375026168,6.758401363962271,296,0,False,,
SEASON_BOUNDARY,3312,Target Field,81,2023-04-07,2023-09-28,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,3312,Target Field,81,2024-04-04,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,3312,Target Field,81,2025-04-03,2025-09-21,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,3312,Target Field,57,2026-04-03,2026-07-30,243.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3313,Yankee Stadium,296,2023-03-30,2026-08-05,0.0,295.0,,,0,0,0,,YES,,1.5403764110735318,6.697886716007233,289,0,False,,
SEASON_BOUNDARY,3313,Yankee Stadium,81,2023-03-30,2023-09-25,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,3313,Yankee Stadium,81,2024-04-05,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,3313,Yankee Stadium,82,2025-03-27,2025-09-30,162.0,243.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,3313,Yankee Stadium,52,2026-04-03,2026-08-05,244.0,295.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3949,Rickwood Field,1,2024-06-20,2024-06-20,0.0,0.0,,,0,0,0,,YES,,nan,nan,0,0,True,,
SEASON_BOUNDARY,3949,Rickwood Field,1,2024-06-20,2024-06-20,0.0,0.0,,,,,,,,,,,,,,2024,False
VENUE_SUMMARY,4169,loanDepot park,300,2023-03-30,2026-07-29,0.0,299.0,,,0,0,0,,YES,,1.556236471814841,6.7668496586948885,299,0,False,,
SEASON_BOUNDARY,4169,loanDepot park,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,4169,loanDepot park,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,4169,loanDepot park,81,2025-03-27,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,4169,loanDepot park,57,2026-03-27,2026-07-29,243.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,4705,Truist Park,301,2023-04-06,2026-08-05,0.0,300.0,,,0,0,0,,YES,,1.5521651875921372,6.749146842476525,296,0,False,,
SEASON_BOUNDARY,4705,Truist Park,81,2023-04-06,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,4705,Truist Park,81,2024-04-05,2024-09-30,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,4705,Truist Park,81,2025-04-04,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,4705,Truist Park,58,2026-03-27,2026-08-05,243.0,300.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,5150,Gocheok Sky Dome,2,2024-03-20,2024-03-21,0.0,1.0,,,0,0,0,,YES,,6.999999999999998,30.437499999999993,1,0,True,,
SEASON_BOUNDARY,5150,Gocheok Sky Dome,2,2024-03-20,2024-03-21,0.0,1.0,,,,,,,,,,,,,,2024,False
VENUE_SUMMARY,5325,Globe Life Field,299,2023-03-30,2026-08-05,0.0,298.0,,,0,0,0,,YES,,1.5439858538950086,6.713581346847047,298,0,False,,
SEASON_BOUNDARY,5325,Globe Life Field,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,5325,Globe Life Field,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,5325,Globe Life Field,81,2025-03-27,2025-09-25,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,5325,Globe Life Field,56,2026-04-03,2026-08-05,243.0,298.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,5340,Estadio Alfredo Harp Helu,6,2023-04-29,2026-04-26,0.0,5.0,,,0,0,0,,YES,,0.024733735546245614,0.10754758224126441,5,0,True,,
SEASON_BOUNDARY,5340,Estadio Alfredo Harp Helu,2,2023-04-29,2023-04-30,0.0,1.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,5340,Estadio Alfredo Harp Helu,2,2024-04-27,2024-04-28,2.0,3.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,5340,Estadio Alfredo Harp Helu,2,2026-04-25,2026-04-26,4.0,5.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,5355,Las Vegas Ballpark,6,2026-06-08,2026-06-14,0.0,5.0,,,0,0,0,,YES,,5.500000000000001,23.915178571428573,5,0,True,,
SEASON_BOUNDARY,5355,Las Vegas Ballpark,6,2026-06-08,2026-06-14,0.0,5.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,5381,London Stadium,4,2023-06-24,2024-06-09,0.0,3.0,,,0,0,0,,YES,,0.040056815862727656,0.174175618974539,3,0,True,,
SEASON_BOUNDARY,5381,London Stadium,2,2023-06-24,2023-06-25,0.0,1.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,5381,London Stadium,2,2024-06-08,2024-06-09,2.0,3.0,,,,,,,,,,,,,,2024,False
VENUE_SUMMARY,6130,Bristol Motor Speedway,1,2025-08-02,2025-08-02,0.0,0.0,,,0,0,0,,YES,,nan,nan,0,0,True,,
SEASON_BOUNDARY,6130,Bristol Motor Speedway,1,2025-08-02,2025-08-02,0.0,0.0,,,,,,,,,,,,,,2025,False
