aggregation_level,period,games,mean_depth,standardized_mean_shift,share_above_training_p90,share_above_training_p95,share_above_training_p99,share_above_training_max,population_stability_index,drift_severity,threshold_contract
MONTH,2023-09,407,72.95085995085995,-0.15170347873930284,0.0,0.0,0.0,0.0,11.67506437107074,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-10,15,79.86666666666666,-0.0037892741598097397,0.0,0.0,0.0,0.0,12.463218025593747,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-03,55,79.18181818181819,-0.018436707648994043,0.0,0.0,0.0,0.0,10.055822209059436,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-04,397,88.26196473551637,0.17576806269048842,0.0,0.0,0.0,0.0,9.544807436643556,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-05,409,102.18092909535453,0.47346471999442513,0.0,0.0,0.0,0.0,9.998166565098167,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-06,401,114.77556109725685,0.7428367616211706,0.0,0.0,0.0,0.0,9.59496267088377,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-07,369,128.26829268292684,1.031417218263701,0.0,0.0,0.0,0.0,10.445297388056538,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-08,413,140.75060532687652,1.2983869908315857,0.19854721549636803,0.0,0.0,0.0,9.181709645482808,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2024-09,385,154.52207792207793,1.5929291170815518,0.9974025974025974,0.587012987012987,0.12467532467532468,0.0,11.738071439943322,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-03,67,146.01492537313433,1.4109794539081473,0.8955223880597015,0.8955223880597015,0.8656716417910447,0.7611940298507462,11.029963354491539,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-04,391,156.86700767263426,1.6430821119672496,0.9207161125319693,0.9207161125319693,0.9207161125319693,0.907928388746803,10.161569740499308,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-05,411,171.71776155717762,1.9607077395339416,0.9294403892944039,0.9294403892944039,0.9294403892944039,0.9294403892944039,9.380403765300485,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-06,397,185.15617128463475,2.2481263686733306,0.929471032745592,0.929471032745592,0.929471032745592,0.929471032745592,9.334242805281402,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-07,369,200.4308943089431,2.574819782638861,0.94579945799458,0.94579945799458,0.94579945799458,0.94579945799458,10.2233335709725,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-08,421,212.47030878859857,2.832316917758454,0.9406175771971497,0.9406175771971497,0.9406175771971497,0.9406175771971497,9.411916034894446,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2025-09,377,224.42175066312998,3.0879325084037106,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,11.18588505910286,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-03,76,244.19736842105263,3.5108903629148345,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-04,392,241.89030612244898,3.461547271235689,0.9617346938775511,0.9617346938775511,0.9617346938775511,0.9617346938775511,10.46320803170429,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-05,419,255.79713603818615,3.758984398925661,0.964200477326969,0.964200477326969,0.964200477326969,0.964200477326969,10.472172251281474,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-06,394,266.84010152284264,3.9951696370307754,0.9619289340101523,0.9619289340101523,0.9619289340101523,0.9619289340101523,9.450767636870614,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-07,371,282.2398921832884,4.3245379782575935,0.967654986522911,0.967654986522911,0.967654986522911,0.967654986522911,11.300143630932565,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2026-08,68,290.70588235294116,4.505607266828062,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,11.385515445671414,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-06,5,299.0,4.683000572463606,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-07,14,298.85714285714283,4.679945165983561,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-08,15,298.8,4.678723003391544,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-09,15,298.8,4.678723003391544,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-10,10,282.4,4.327962339482397,0.9,0.9,0.9,0.9,11.077384378692535,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-11,15,287.73333333333335,4.442030848070738,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,11.195090364830348,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-12,15,287.73333333333335,4.442030848070738,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,11.195090364830348,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-13,8,299.125,4.685674053133646,1.0,1.0,1.0,1.0,12.532624423335218,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-14,14,282.42857142857144,4.328573420778407,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,11.176235844538285,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
DAY,2026-08-15,15,283.6,4.353627753914775,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,11.195090364830348,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
