slate_date,game_pk,player_mlb_id,player,prop_type,line,governing_run_tag,market_timestamp_utc,final_pregame_over_odds,final_pregame_under_odds,plate_appearances,total_bases,outcome,settlement_status,outcome_source,source_sha256
2026-07-30,823271,650859,Luis Rengifo,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,139,-182,4,3,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,664034,Ty France,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,139,-182,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,665487,Fernando Tatis Jr.,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,120,-156,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,671218,Heliot Ramos,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,120,-156,5,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,701538,Jackson Merrill,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,141,-185,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,805811,Bryce Eldridge,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,152,-200,5,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,808982,Jung Hoo Lee,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,158,-208,5,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823595,596019,Francisco Lindor,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:26+00:00,149,-196,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e
2026-07-30,823595,666182,Bo Bichette,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:26+00:00,144,-189,4,3,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e
2026-07-30,823595,669065,Kyle Stowers,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:26+00:00,174,-233,4,4,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e
