population,variant,omitted_feature,mae,rmse,actual_minus_forecast_bias,mae_delta,rmse_delta,actual_minus_forecast_bias_delta,champion_mae,champion_rmse,champion_actual_minus_forecast_bias
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,away_bullpen_likely_available_reliever_count,3.597797535491611,4.591604012271664,0.21266229995985234,0.000590899325074723,-5.78195220279909e-05,-0.0023851000622150953,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,home_bullpen_recent_innings_burden,3.59745505284953,4.5917841624930045,0.2153672335225979,0.00024841668299391273,0.00012233069931255613,0.00031983350053046977,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,away_bullpen_recent_innings_burden,3.596114245835434,4.590707742629554,0.21766238267430055,-0.001092390331102422,-0.0009540891641375282,0.0026149826522331165,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_STRICT_PRIOR_TOTAL_RUN_FACTOR_REFIT_V1,strict_prior_total_run_factor,3.6087486891899188,4.601083609558997,0.23524244791874716,0.011542053023382515,0.009421777765305173,0.020195047896679724,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_PARK_HISTORY_DEPTH_REFIT_V1,park_history_depth,3.609047729660149,4.581630238180419,0.022841271842263648,0.011841093493612842,-0.010031593613272882,-0.1922061281798038,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_GAME_NUMBER_REFIT_V1,game_number,3.59762672439278,4.591907913044758,0.21595190922158405,0.0004200882262437311,0.00024608125106606593,0.0009045091995166232,3.5972066361665362,4.591661831793692,0.21504740002206743
2026_SEQUENTIAL_EARLY,CHAMPION,NONE,3.5209459692414056,4.500767948230816,0.5774332448470871,0.0,0.0,0.0,,,
2026_SEQUENTIAL_EARLY,RAW_MINUS_LEAGUE_TOTAL_REFIT_V1,league_total,3.5232313214614424,4.5090755022821885,0.6153571662878309,0.002285352220036785,0.008307554051372179,0.037923921440743746,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_OFFENSE_REFIT_V1,home_offense,3.5205698227983135,4.499007207564663,0.5783410587828224,-0.00037614644309202916,-0.001760740666153282,0.0009078139357352466,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_PREVENTION_REFIT_V1,home_prevention,3.5217968094403482,4.500871212198512,0.5714636047963697,0.0008508401989426595,0.00010326396769588797,-0.0059696400507174285,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_OFFENSE_REFIT_V1,away_offense,3.5208459837486648,4.5007930347814105,0.5793769885776238,-9.998549274081725e-05,2.508655059418885e-05,0.001943743730536629,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_PREVENTION_REFIT_V1,away_prevention,3.519720279264467,4.497348536407691,0.5663822398612481,-0.0012256899769385043,-0.003419411823124996,-0.011051004985838997,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_STARTER_RA9_REFIT_V1,home_starter_ra9,3.5209626137775687,4.501276941170302,0.5805813302206444,1.6644536163124002e-05,0.0005089929394861414,0.0031480853735572634,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_STARTER_RA9_REFIT_V1,away_starter_ra9,3.5228421750815224,4.5008248867728575,0.5771196581178336,0.0018962058401168491,5.6938542041251594e-05,-0.00031358672925352327,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_STARTER_PRIOR_STARTS_REFIT_V1,home_starter_prior_starts,3.5228579728552902,4.498273730143664,0.5453391699764235,0.0019120036138846608,-0.0024942180871523334,-0.032094074870663625,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_STARTER_PRIOR_STARTS_REFIT_V1,away_starter_prior_starts,3.5211878622453536,4.5007807977102425,0.5757016126438926,0.00024189300394805713,1.2849479426257915e-05,-0.0017316322031944997,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_EXPECTED_OUTS_REFIT_V1,home_expected_outs,3.5226811460736576,4.501053835824077,0.5747149754730885,0.0017351768322519945,0.00028588759326098057,-0.0027182693739986608,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_EXPECTED_OUTS_REFIT_V1,away_expected_outs,3.5173756764578963,4.498119978857258,0.5731555659313968,-0.003570292783509288,-0.0026479693735579346,-0.004277678915690308,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,home_workload_uncertainty_outs,3.519860256847424,4.499346908500284,0.5754355897027175,-0.001085712393981364,-0.0014210397305323141,-0.00199765514436967,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,away_workload_uncertainty_outs,3.5208806251809515,4.500205336710878,0.5759940401677783,-6.53440604541089e-05,-0.0005626115199381942,-0.0014392046793088031,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_BULLPEN_RA9_REFIT_V1,home_bullpen_ra9,3.5213191312020977,4.49976779346272,0.560844994122641,0.0003731619606921477,-0.0010001547680964507,-0.01658825072444614,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_BULLPEN_RA9_REFIT_V1,away_bullpen_ra9,3.5209442439413006,4.499147103276705,0.5661050123526616,-1.7253001050043792e-06,-0.001620844954111078,-0.011328232494425494,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,home_bullpen_likely_available_reliever_count,3.5173275268487245,4.49978256743657,0.6029964122019034,-0.003618442392681054,-0.000985380794245927,0.02556316735481623,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,away_bullpen_likely_available_reliever_count,3.521045737646556,4.5000643352065,0.5678662979425365,9.976840515024676e-05,-0.0007036130243163186,-0.009566946904550622,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,home_bullpen_recent_innings_burden,3.521128214640422,4.500958830668615,0.5778727489844021,0.0001822453990163453,0.00019088243779830094,0.0004395041373149722,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,RAW_MINUS_AWAY_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,away_bullpen_recent_innings_burden,3.521797477946614,4.500601907108632,0.5755223551728086,0.000851508705208559,-0.0001660411221839908,-0.0019108896742785486,3.5209459692414056,4.500767948230816,0.5774332448470871
