feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,0.0002398728370081038,0.00016692791196337708,2.998450142577269e-05,1.845170170877708e-05,2.641248594814627e-05,1.607155714111741e-05,1.303354360576714e-06,-2.342924375065003e-07,3.007291653811528e-06,-2.2906163998914764e-07,-0.0011532878056740303,-0.000784875366048321,True
home_bullpen_ra9,FROZEN_2025_VALIDATION,0.0030677026014087616,-0.00030944137542832095,0.001471162631133005,-0.001491673855274378,0.0009793580480184083,-0.0008416103840813705,0.0001501265617467884,-7.580582312366468e-05,0.00028544401327113,-0.00017441226269721,0.001464510419047993,-0.005082234248327322,True
away_bullpen_ra9,FROZEN_2025_VALIDATION,0.0006655505775152726,0.0005058313871439957,0.0008319129958707094,-0.0009039759887459198,0.000480042718477236,-0.00040615235455465637,4.6025946784294947e-05,-3.422572940584012e-05,0.00011540327216585933,-8.489455099813803e-05,-0.002676370393821098,-0.0066862264973678864,True
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,-0.008254315635499054,-0.006148075962337796,-0.009017738854865343,-0.005513243622981001,-0.005504026610252399,-0.0034098427620894434,-0.0006372467104224233,-0.0003894836901508214,-0.0014089152966769714,-0.0008460622176557075,-0.006582855245703817,0.009128259952994267,True
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,0.0015754143204413928,0.000590899325074723,0.001426462557615693,-5.78195220279909e-05,0.0009215765672681009,2.594836785307919e-05,0.00011207221423853442,1.0607122586436812e-05,0.0002503885745667178,2.385273025462542e-05,0.0018119017963281192,-0.0023851000622150953,True
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,0.0002668384960715642,0.00024841668299391273,9.784217903430203e-05,0.00012233069931255613,9.505477617999247e-05,0.00010787122046451714,1.605869338283661e-05,1.7480022318328015e-05,3.490722703825e-05,3.806005519724209e-05,0.0002853075289410978,0.00031983350053046977,True
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,-0.0017575898780908261,-0.001092390331102422,-0.001272134930050406,-0.0009540891641375282,-0.0008423285168324135,-0.0005557482627156496,-0.00010024609183406641,-4.8563015085767436e-05,-0.0002266808389037589,-0.00011521964050098532,-0.0009153874797511174,0.0026149826522331165,True
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,0.027196686798764524,0.011542053023382515,0.01829329888538922,0.009421777765305173,0.011457453750576718,0.005792529482294917,0.001436777169747383,0.0007224250901722018,0.002982977504307427,0.0014671835111131903,-0.057715717654953286,0.020195047896679724,True
park_history_depth,FROZEN_2025_VALIDATION,0.06233888609813265,0.011841093493612842,0.004781374455870235,-0.010031593613272882,0.0040253707830610885,-0.005443661324826987,0.0006212520057353177,-0.0005626380654502883,0.001168917687034976,-0.0013807833794006186,0.13259993024182223,-0.1922061281798038,True
game_number,FROZEN_2025_VALIDATION,0.001148831556796015,0.0004200882262437311,0.0007595053240647687,0.00024608125106606593,0.00045481149220583106,0.00011118069213900128,6.392857195933188e-05,2.164811523774901e-05,0.00013925727453534265,4.4920369014156414e-05,-0.00042130809371554445,0.0009045091995166232,True
