population,variant,omitted_feature,crps,brier,log_loss,ece,crps_delta,brier_delta,log_loss_delta,ece_delta,champion_crps,champion_brier,champion_log_loss,champion_ece
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,home_bullpen_likely_available_reliever_count,2.528185935851943,0.22679610031299904,0.6454505947966722,0.016386461506157413,-0.0034098427620894434,-0.0003894836901508214,-0.0008460622176557075,-8.097714652596094e-05,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,away_bullpen_likely_available_reliever_count,2.5316217269818857,0.2271961911257363,0.6463205097445825,0.015750434823687112,2.594836785307919e-05,1.0607122586436812e-05,2.385273025462542e-05,-0.0007170038289962613,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,home_bullpen_recent_innings_burden,2.531703649834497,0.2272030640254682,0.6463347170695252,0.016464924920401587,0.00010787122046451714,1.7480022318328015e-05,3.806005519724209e-05,-2.5137322817864183e-06,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_RECENT_INNINGS_BURDEN_REFIT_V1,away_bullpen_recent_innings_burden,2.531040030351317,0.2271370209880641,0.6461814373738269,0.015756566260373365,-0.0005557482627156496,-4.8563015085767436e-05,-0.00011521964050098532,-0.0007108723923100087,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_STRICT_PRIOR_TOTAL_RUN_FACTOR_REFIT_V1,strict_prior_total_run_factor,2.5373883080963275,0.22790800909332207,0.6477638405254411,0.017123047987680762,0.005792529482294917,0.0007224250901722018,0.0014671835111131903,0.0006556093349973889,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_PARK_HISTORY_DEPTH_REFIT_V1,park_history_depth,2.5261521172892056,0.22662294593769958,0.6449158736349273,0.010254202207018332,-0.005443661324826987,-0.0005626380654502883,-0.0013807833794006186,-0.006213236445665042,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_GAME_NUMBER_REFIT_V1,game_number,2.5317069593061716,0.22720723211838761,0.6463415773833421,0.01660329638706591,0.00011118069213900128,2.164811523774901e-05,4.4920369014156414e-05,0.00013585773438253707,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
2026_SEQUENTIAL_EARLY,CHAMPION,NONE,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.0,0.0,0.0,0.0,,,,
2026_SEQUENTIAL_EARLY,RAW_MINUS_LEAGUE_TOTAL_REFIT_V1,league_total,2.509458796308996,0.22737502461554543,0.6471286147020163,0.052961053287946015,0.004311193887245324,0.00047553750144174733,0.0010725331047779507,0.0032122477069716077,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441
2026_SEQUENTIAL_EARLY,RAW_MINUS_HOME_OFFENSE_REFIT_V1,home_offense,2.5045889394719,0.22683782950339312,0.6459088791259293,0.04986453527323515,-0.0005586629498508522,-6.16576107105582e-05,-0.00014720247130906028,0.0001157296922607437,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441
