feature,population,metric,stage1_frozen_delta,stage3_refit_delta,fraction_stage1_loss_recovered,recovery_defined,interpretation
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,brier,1.303354360576714e-06,-2.342924375065003e-07,1.1797611183829004,True,positive frozen loss basis only
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,log_loss,3.007291653811528e-06,-2.2906163998914764e-07,1.0761687479492814,True,positive frozen loss basis only
home_bullpen_ra9,FROZEN_2025_VALIDATION,mae,0.0030677026014087616,-0.00030944137542832095,1.1008707217206186,True,positive frozen loss basis only
home_bullpen_ra9,FROZEN_2025_VALIDATION,rmse,0.001471162631133005,-0.001491673855274378,2.0139421867489773,True,positive frozen loss basis only
home_bullpen_ra9,FROZEN_2025_VALIDATION,crps,0.0009793580480184083,-0.0008416103840813705,1.859349025399086,True,positive frozen loss basis only
home_bullpen_ra9,FROZEN_2025_VALIDATION,brier,0.0001501265617467884,-7.580582312366468e-05,1.5049461084143319,True,positive frozen loss basis only
home_bullpen_ra9,FROZEN_2025_VALIDATION,log_loss,0.00028544401327113,-0.00017441226269721,1.6110209168462886,True,positive frozen loss basis only
away_bullpen_ra9,FROZEN_2025_VALIDATION,mae,0.0006655505775152726,0.0005058313871439957,0.23998054508128164,True,positive frozen loss basis only
away_bullpen_ra9,FROZEN_2025_VALIDATION,rmse,0.0008319129958707094,-0.0009039759887459198,2.0866232325169856,True,positive frozen loss basis only
away_bullpen_ra9,FROZEN_2025_VALIDATION,crps,0.000480042718477236,-0.00040615235455465637,1.8460754406254294,True,positive frozen loss basis only
away_bullpen_ra9,FROZEN_2025_VALIDATION,brier,4.6025946784294947e-05,-3.422572940584012e-05,1.7436181501326267,True,positive frozen loss basis only
away_bullpen_ra9,FROZEN_2025_VALIDATION,log_loss,0.00011540327216585933,-8.489455099813803e-05,1.7356338291355058,True,positive frozen loss basis only
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,mae,-0.008254315635499054,-0.006148075962337796,,False,not defined because frozen removal did not worsen metric
