feature,replaceability_temporal_status,FROZEN_2025_VALIDATION_mae_delta,2026_SEQUENTIAL_EARLY_mae_delta,2026_LATE_HOLDOUT_mae_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_mae_delta,FROZEN_2025_VALIDATION_crps_delta,2026_SEQUENTIAL_EARLY_crps_delta,2026_LATE_HOLDOUT_crps_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_crps_delta,aggregate_mae_delta,aggregate_crps_delta,aggregate_mae_loss_recovery,aggregate_crps_loss_recovery
home_workload_uncertainty_outs,REGIME_DEPENDENT,-0.0011696889995840287,-0.001085712393981364,0.002066529042412224,-0.006083562315497559,-0.000596598182466046,-0.0009530703939431007,0.0005052065096897707,-0.003519084937290806,-0.000992917239330815,-0.0006961239603260339,5.068077692767127,
away_workload_uncertainty_outs,STABLE,0.00016692791196337708,-6.53440604541089e-05,-2.3246502689033832e-05,0.0006603291795070909,1.607155714111741e-05,-0.0003124366338562723,-8.649291062701181e-05,0.001178050689324639,9.636481914299111e-05,-4.9970691500700326e-05,0.43056032755474255,
home_bullpen_ra9,MOSTLY_STABLE,-0.00030944137542832095,0.0003731619606921477,-0.0006756617166936429,0.0031049734854207145,-0.0008416103840813705,-0.0007699997509500456,-0.0039244311630501905,-0.0009478408753080814,-2.0211191616770208e-05,-0.0011382446513263922,1.0065548776206579,1.7025023677565616
away_bullpen_ra9,STABLE,0.0005058313871439957,-1.7253001050043792e-06,0.001556914902460349,0.0007299734948231773,-0.00040615235455465637,-0.0009167249995916116,-0.0009708486245152415,-0.000733077111954028,0.000470141369889987,-0.0006273047061347015,0.6789670192451943,1.650961180106759
home_bullpen_likely_available_reliever_count,MOSTLY_STABLE,-0.006148075962337796,-0.003618442392681054,-0.005749348125546394,-0.009568003177045092,-0.0034098427620894434,-0.0005555791338571758,-0.0023570532946717293,-0.006721332481259168,-0.005479244800215444,-0.0025739425792701276,,
away_bullpen_likely_available_reliever_count,REGIME_DEPENDENT,0.000590899325074723,9.976840515024676e-05,-3.9978486963132553e-05,-0.0036892866616149433,2.594836785307919e-05,-0.0005196114314842681,-0.00014365079901423883,-0.0021365084665205814,0.00022566305637372608,-0.00023180503278963371,0.7919239136652712,1.2890390089865693
home_bullpen_recent_innings_burden,STABLE,0.00024841668299391273,0.0001822453990163453,-1.536929849255131e-05,-0.00012232137192258463,0.00010787122046451714,0.00014062933225167384,0.00015768536689897417,-0.00020107174558114949,0.0001884485703889105,0.0001115000087632545,0.16617905247989184,-0.40679575828924297
away_bullpen_recent_innings_burden,REGIME_DEPENDENT,-0.001092390331102422,0.000851508705208559,-0.0008114389280637901,-0.003097545494601839,-0.0005557482627156496,-0.00023548727033606554,-0.0005719427277499634,-0.00335985002691519,-0.0005584687423483281,-0.0005637071659712056,,
strict_prior_total_run_factor,MOSTLY_STABLE,0.011542053023382515,0.02897911331512537,0.003962157914320752,0.03247303632269016,0.005792529482294917,0.01874018582121595,0.02032659265792658,0.022138012980824406,0.01671135765915288,0.011714157918133683,0.5010765785906889,0.2612163348018829
park_history_depth,REGIME_DEPENDENT,0.011841093493612842,0.02713971591368347,0.08060358372004783,0.08801692991977728,-0.005443661324826987,-0.012105675984591002,-0.006960793695913736,0.01422664388129391,0.026152464812247533,-0.0068666119578999485,0.6646144663890263,
game_number,MOSTLY_STABLE,0.0004200882262437311,0.0005268722703353212,-0.0015672173635441489,0.002295236706980841,0.00011118069213900128,0.00012179111595633785,-0.0024425904304119506,0.0006844422049971932,0.00031725377963409684,-0.00012508869144989276,0.602875527164806,1.9420504970875536
