omitted_feature,absorber_rank,candidate_absorber,retained,absolute_coefficient_change,direct_contribution_correlation,source_concept_overlap,forecast_response_similarity,overlap_bonus,absorption_score,absorption_evidence,causal_claim,map
home_bullpen_likely_available_reliever_count,2,park_history_depth,park_history_depth,0.0012433795107506598,0.15830435700904866,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.13955709147713838,1.0,0.3098791626067249,NONE,False,home_bullpen_likely_available_reliever_count -> park_history_depth
home_bullpen_likely_available_reliever_count,3,home_bullpen_ra9,home_bullpen_ra9,0.001292459028331078,-0.11106953721043186,SAME_GOVERNED_STATE_FAMILY,-0.11297598419093877,1.0,0.3026534817692188,NONE,False,home_bullpen_likely_available_reliever_count -> home_bullpen_ra9
home_bullpen_likely_available_reliever_count,4,home_offense,home_offense,0.0007906576358748772,-0.029109780039972197,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.020452153194210215,1.0,0.20890620174137187,NONE,False,home_bullpen_likely_available_reliever_count -> home_offense
home_bullpen_likely_available_reliever_count,5,home_prevention,home_prevention,0.00044297383844573747,0.09155926057647888,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.09829531111425276,1.0,0.18909134870311234,NONE,False,home_bullpen_likely_available_reliever_count -> home_prevention
away_bullpen_likely_available_reliever_count,1,home_bullpen_likely_available_reliever_count,home_bullpen_likely_available_reliever_count,0.0014325177593255394,-0.3944233143865843,SAME_GOVERNED_STATE_FAMILY,-0.39382336863602596,1.0,0.7879581681727208,CLEAR,False,away_bullpen_likely_available_reliever_count -> home_bullpen_likely_available_reliever_count
away_bullpen_likely_available_reliever_count,2,park_history_depth,park_history_depth,0.0003789967047272587,-0.1717259207044796,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.1686633190583498,1.0,0.3051564470322399,NONE,False,away_bullpen_likely_available_reliever_count -> park_history_depth
away_bullpen_likely_available_reliever_count,3,away_prevention,away_prevention,0.0002731173056873485,-0.07619056336212429,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.07695544308077935,1.0,0.23164192189294636,NONE,False,away_bullpen_likely_available_reliever_count -> away_prevention
away_bullpen_likely_available_reliever_count,4,away_bullpen_ra9,away_bullpen_ra9,0.00022432399994841944,0.08947011656940432,SAME_GOVERNED_STATE_FAMILY,0.08924139154275323,1.0,0.21740705258099166,NONE,False,away_bullpen_likely_available_reliever_count -> away_bullpen_ra9
away_bullpen_likely_available_reliever_count,5,away_offense,away_offense,0.0002536649576351038,0.03432242274244033,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.03433901080589757,1.0,0.20940730621028456,NONE,False,away_bullpen_likely_available_reliever_count -> away_offense
home_bullpen_recent_innings_burden,1,away_bullpen_recent_innings_burden,away_bullpen_recent_innings_burden,0.0002697040989080605,-0.39064559190840115,SAME_GOVERNED_STATE_FAMILY,-0.387161187591952,1.0,0.786203296520473,CLEAR,False,home_bullpen_recent_innings_burden -> away_bullpen_recent_innings_burden
home_bullpen_recent_innings_burden,2,home_prevention,home_prevention,0.00014013642433584848,0.11874421217729163,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.12843718151192518,1.0,0.4287906970594654,WEAK,False,home_bullpen_recent_innings_burden -> home_prevention
home_bullpen_recent_innings_burden,3,park_history_depth,park_history_depth,9.54635470504922e-05,0.029349464402229714,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.03851061150867898,1.0,0.30632261704353786,NONE,False,home_bullpen_recent_innings_burden -> park_history_depth
home_bullpen_recent_innings_burden,4,home_bullpen_ra9,home_bullpen_ra9,8.097868152407393e-05,-0.10602057282432616,SAME_GOVERNED_STATE_FAMILY,-0.11429424504041809,1.0,0.303485803989059,NONE,False,home_bullpen_recent_innings_burden -> home_bullpen_ra9
home_bullpen_recent_innings_burden,5,away_prevention,away_prevention,7.764041080650028e-05,-0.03601022811583546,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.04159210447735917,1.0,0.2717707721728846,NONE,False,home_bullpen_recent_innings_burden -> away_prevention
away_bullpen_recent_innings_burden,1,home_bullpen_recent_innings_burden,home_bullpen_recent_innings_burden,0.0023308737864906727,-0.39064559190840115,SAME_GOVERNED_STATE_FAMILY,-0.38716118759195195,1.0,0.786203296520473,CLEAR,False,away_bullpen_recent_innings_burden -> home_bullpen_recent_innings_burden
away_bullpen_recent_innings_burden,2,away_prevention,away_prevention,0.0010136142395640417,-0.044601029989525684,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.03984735384826159,1.0,0.3540727783739639,WEAK,False,away_bullpen_recent_innings_burden -> away_prevention
away_bullpen_recent_innings_burden,3,away_bullpen_ra9,away_bullpen_ra9,0.0006615656312734808,0.02634112807079879,SAME_GOVERNED_STATE_FAMILY,0.021130486561152385,1.0,0.2645428178015552,NONE,False,away_bullpen_recent_innings_burden -> away_bullpen_ra9
away_bullpen_recent_innings_burden,4,park_history_depth,park_history_depth,0.0005789203268629917,-0.0507095083996425,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.05965577725892205,1.0,0.25569405248911825,NONE,False,away_bullpen_recent_innings_burden -> park_history_depth
away_bullpen_recent_innings_burden,5,home_prevention,home_prevention,0.0005578516917900886,0.004491891944981417,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.012524104189726274,1.0,0.2344093596405162,NONE,False,away_bullpen_recent_innings_burden -> home_prevention
strict_prior_total_run_factor,1,home_prevention,home_prevention,0.02286369369821298,-0.865241775266654,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.8784945423370552,1.0,0.9548225364038891,CLEAR,False,strict_prior_total_run_factor -> home_prevention
strict_prior_total_run_factor,2,home_bullpen_ra9,home_bullpen_ra9,0.0046329481088312335,0.775516776523588,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.8015304774917176,1.0,0.4867812997719384,WEAK,False,strict_prior_total_run_factor -> home_bullpen_ra9
