date,game_id,player_id,prediction_snapshots,multiplicity_class,side_changed,probability_changed,earliest_prediction_time,latest_valid_pregame_prediction_time,absolute_earliest_latest_change
2026-05-08,823871,682928,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,686894,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,689414,3,THREE,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 18:19:27.096721+00:00,0.0
2026-05-08,823871,691594,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,691781,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,691788,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,695578,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,695734,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,696285,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823871,805300,3,THREE,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 18:19:27.096721+00:00,0.0
2026-05-08,823957,500743,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,518692,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,571970,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,573262,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,621566,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,642086,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,645277,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,660271,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,663586,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,663656,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,669221,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,823957,669257,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,669289,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,671739,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,681624,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,686948,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823957,690976,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,824116,521692,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,656716,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,663330,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,663837,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,664728,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
