perturbation_type,excluded_segment,rows,home_wins,predicted_home_wins,accuracy,brier_score,log_loss,roc_auc,mean_home_probability,observed_home_win_rate,calibration_gap,reference_predicted_home_wins,reference_accuracy,reference_brier_score,reference_log_loss,reference_roc_auc,reference_mean_home_probability,reference_observed_home_win_rate,reference_calibration_gap,accuracy_delta_vs_reference,brier_improvement_vs_reference,log_loss_improvement_vs_reference
leave_one_team_out,DAL,1940,1079,1383,0.590721649484536,0.236451302164501,0.665335273441132,0.620285483935205,0.544582362554601,0.556185567010309,-0.0116032044557087,1940,0.556185567010309,0.247181095742308,0.687501328089436,,0.537803138373752,0.556185567010309,-0.0183824286365575,0.0345360824742268,0.0107297935778073,0.022166054648304
leave_one_team_out,DET,1977,1094,1406,0.590288315629742,0.236706593199956,0.665970580389264,0.622506992739145,0.543885391668966,0.55336368234699,-0.00947829067802397,1977,0.55336368234699,0.247394447935113,0.687928848333148,,0.537803138373752,0.55336368234699,-0.0155605439732386,0.0369246332827516,0.0106878547351563,0.021958267943884
leave_one_team_out,EDM,1927,1070,1380,0.593149974052932,0.236807894612094,0.666173293365348,0.619788656364846,0.544594901516115,0.555267254800208,-0.0106723532840922,1927,0.555267254800208,0.247250525909406,0.687640453924368,,0.537803138373752,0.555267254800208,-0.0174641164264556,0.0378827192527245,0.0104426312973115,0.0214671605590206
leave_one_team_out,FLA,1930,1076,1378,0.591709844559586,0.236287393640128,0.665043963076396,0.621938744417262,0.543879730831086,0.557512953367876,-0.0136332225367894,1930,0.557512953367876,0.247080737002007,0.687300226837332,,0.537803138373752,0.557512953367876,-0.0197098149941238,0.0341968911917099,0.0107933433618795,0.0222562637609354
leave_one_team_out,LAK,1964,1077,1405,0.589613034623218,0.237050179413187,0.666642506916641,0.621860799603056,0.54367316643513,0.54837067209776,-0.00469750566262961,1964,0.54837067209776,0.247771950849819,0.688685297732501,,0.537803138373752,0.54837067209776,-0.0105675337240078,0.0412423625254582,0.0107217714366326,0.0220427908158598
leave_one_team_out,MIN,1971,1105,1401,0.590055809233891,0.236549093798639,0.665583695900241,0.617678931583292,0.544017786916125,0.560629122272958,-0.0166113353568328,1971,0.560629122272958,0.246845135073378,0.68682812203905,,0.537803138373752,0.560629122272958,-0.022825983899206,0.0294266869609335,0.0102960412747388,0.0212444261388093
leave_one_team_out,MTL,1973,1092,1410,0.589457678661936,0.236495314954497,0.665491759219926,0.622385796193969,0.543838109931278,0.553471870248353,-0.00963376031707508,1973,0.553471870248353,0.247386268250702,0.687912457685239,,0.537803138373752,0.553471870248353,-0.0156687318746009,0.0359858084135833,0.0108909532962048,0.0224206984653128
leave_one_team_out,NJD,1970,1104,1408,0.595939086294416,0.235780774506234,0.664049355427888,0.623228152090237,0.544643493130937,0.560406091370558,-0.0157625982396215,1970,0.560406091370558,0.246861997609508,0.686861911593595,,0.537803138373752,0.560406091370558,-0.0226029529968066,0.0355329949238579,0.0110812231032741,0.0228125561657069
leave_one_team_out,NSH,1972,1095,1403,0.591277890466531,0.236138636018523,0.664733883492331,0.62350791146655,0.544031245277985,0.5552738336714,-0.011242588393415,1972,0.5552738336714,0.24725002850545,0.687639457214385,,0.537803138373752,0.5552738336714,-0.0174706952976478,0.0360040567951319,0.0111113924869264,0.0229055737220539
leave_one_team_out,NYI,1972,1098,1412,0.594320486815416,0.235572213587925,0.663539187895018,0.626568797855889,0.544537540788318,0.556795131845842,-0.0122575910575236,1972,0.556795131845842,0.247135008814657,0.68740897799787,,0.537803138373752,0.556795131845842,-0.01899199347209,0.037525354969574,0.0115627952267324,0.0238697901028525
leave_one_team_out,NYR,1961,1096,1401,0.591534931157573,0.236405535626869,0.66529237077979,0.619737563815873,0.544467047388034,0.558898521162672,-0.014431473774638,1961,0.558898521162672,0.246975979379861,0.687090311000228,,0.537803138373752,0.558898521162672,-0.0210953827889203,0.0326364099949006,0.0105704437529922,0.0217979402204379
leave_one_team_out,OTT,1967,1091,1397,0.593289273004575,0.235825076729029,0.66409153776466,0.625909265932557,0.54438185304128,0.55465175394001,-0.01026990089873,1967,0.55465175394001,0.24729706163778,0.687733703333594,,0.537803138373752,0.55465175394001,-0.0168486155662584,0.0386375190645653,0.0114719849087515,0.0236421655689332
leave_one_team_out,PHI,1978,1095,1406,0.594034378159757,0.235819638783942,0.664095292331026,0.627492411196781,0.544284534212839,0.553589484327604,-0.00930495011476506,1978,0.553589484327604,0.247377375888076,0.687894638955622,,0.537803138373752,0.553589484327604,-0.0157863459538519,0.0404448938321537,0.0115577371041339,0.0237993466245963
leave_one_team_out,PIT,1975,1089,1406,0.590379746835443,0.23693823702676,0.66642799452118,0.620384016649151,0.543965458868737,0.551392405063291,-0.00742694619455408,1975,0.551392405063291,0.24754348887097,0.688227500136925,,0.537803138373752,0.551392405063291,-0.0135892666895392,0.0389873417721519,0.0106052518442099,0.0217995056157451
leave_one_team_out,SEA,1978,1106,1408,0.590495449949444,0.236270193060652,0.665026855999027,0.620493720656303,0.544055870642701,0.559150657229525,-0.0150947865868239,1978,0.559150657229525,0.246956916310613,0.687052111964615,,0.537803138373752,0.559150657229525,-0.0213475188557729,0.0313447927199192,0.0106867232499606,0.0220252559655882
leave_one_team_out,SJS,1978,1103,1433,0.582406471183013,0.238345096398392,0.66928646999354,0.607349307084575,0.544965838744496,0.557633973710819,-0.0126681349663234,1978,0.557633973710819,0.247071587104467,0.687281892053071,,0.537803138373752,0.557633973710819,-0.0198308353370672,0.0247724974721941,0.00872649070607465,0.0179954220595315
leave_one_team_out,STL,1969,1091,1403,0.590655154900965,0.23649963600954,0.665515090761081,0.622720790731372,0.544123064324337,0.554088369730828,-0.00996530540649065,1969,0.554088369730828,0.247339657020215,0.687819056983069,,0.537803138373752,0.554088369730828,-0.0162852313570762,0.0365667851701371,0.0108400210106752,0.0223039662219883
leave_one_team_out,TBL,1968,1091,1396,0.589939024390244,0.236714460374786,0.66593951320296,0.61973417836617,0.543799200340947,0.554369918699187,-0.0105707183582403,1968,0.554369918699187,0.247318370150995,0.68777640184371,,0.537803138373752,0.554369918699187,-0.0165667803254351,0.035569105691057,0.010603909776209,0.0218368886407498
leave_one_team_out,TOR,1956,1093,1388,0.594580777096115,0.236273847415145,0.665077000476623,0.621872147522579,0.543990702289639,0.55879345603272,-0.0148027537430804,1956,0.55879345603272,0.246983922963153,0.687106228543048,,0.537803138373752,0.55879345603272,-0.020990317658968,0.0357873210633948,0.0107100755480081,0.0220292280664256
leave_one_team_out,UTA,2015,1126,1434,0.589081885856079,0.236722244864845,0.665941048009227,0.617420935171736,0.543995709073942,0.558808933002481,-0.0148132239285392,2015,0.558808933002481,0.246982752807094,0.687103883756257,,0.537803138373752,0.558808933002481,-0.0210057946287295,0.0302729528535981,0.0102605079422486,0.0211628357470299
leave_one_team_out,VAN,1965,1103,1397,0.593893129770992,0.236186058855728,0.664863311250001,0.619869245024643,0.543792576438312,0.561323155216285,-0.0175305787779729,1965,0.561323155216285,0.246792661826593,0.686722974887952,,0.537803138373752,0.561323155216285,-0.0235200168425331,0.0325699745547074,0.0106066029708645,0.0218596636379512
leave_one_team_out,VGK,1960,1088,1403,0.591326530612245,0.236719629470531,0.66595101840963,0.620041297052078,0.544546931637853,0.555102040816327,-0.0105551091784739,1960,0.555102040816327,0.247263017123594,0.687665484119107,,0.537803138373752,0.555102040816327,-0.0172989024425746,0.0362244897959184,0.0105433876530626,0.0217144657094767
leave_one_team_out,WPG,1958,1084,1394,0.586312563840654,0.23718356564095,0.666900049135347,0.617582983610157,0.544435585914966,0.553626149131767,-0.00919056321680123,1958,0.553626149131767,0.247374603798746,0.687889084176501,,0.537803138373752,0.553626149131767,-0.0158230107580152,0.0326864147088867,0.0101910381577955,0.0209890350411531
leave_one_team_out,WSH,1962,1092,1396,0.594291539245668,0.23637395985619,0.665250210781747,0.62181802871458,0.543601810431265,0.556574923547401,-0.0129731131161351,1962,0.556574923547401,0.247151657944211,0.687442339923196,,0.537803138373752,0.556574923547401,-0.0187717851736487,0.0377166156982671,0.0107776980880216,0.02219212914145
