slate_date,game_pk,batter_mlb_id,player_name,game,result,total_bases,resolution_reason_code,outcome_source,outcome_source_path,resolution_method,source_revision,resolved_timestamp_utc
2026-07-27,823025,608348,Carson Kelly,CHC @ STL,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049780+00:00
2026-07-27,823025,621020,Dansby Swanson,CHC @ STL,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049838+00:00
2026-07-27,823025,663538,Nico Hoerner,CHC @ STL,WIN,7,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049853+00:00
2026-07-27,823025,664023,Ian Happ,CHC @ STL,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049870+00:00
2026-07-27,823025,665877,José Fermín,CHC @ STL,WIN,4,NOT_IN_FINAL_LINEUP_LATER_APPEARANCE_ACTION,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049884+00:00
2026-07-27,823025,671056,Iván Herrera,CHC @ STL,LOSS,1,NOT_IN_FINAL_LINEUP_LATER_APPEARANCE_ACTION,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049900+00:00
2026-07-27,823025,673548,Seiya Suzuki,CHC @ STL,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049915+00:00
2026-07-27,823025,676369,Nelson Velázquez,CHC @ STL,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049935+00:00
2026-07-27,823025,676475,Alec Burleson,CHC @ STL,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049950+00:00
2026-07-27,823025,683737,Michael Busch,CHC @ STL,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049964+00:00
