slate_date,game_pk,batter_mlb_id,player,game,team,opponent,line,over_odds,under_odds,source_timestamp,lineup_status,batting_order,participation_state
2026-07-28,823026,691026,Masyn Winn,CHC @ STL,STL,CHC,1.5,158,-208,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,683737,Michael Busch,CHC @ STL,CHC,STL,1.5,128,-167,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,624424,Michael Conforto,CHC @ STL,CHC,STL,1.5,178,-238,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,663538,Nico Hoerner,CHC @ STL,CHC,STL,1.5,144,-189,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,691718,Pete Crow-Armstrong,CHC @ STL,CHC,STL,1.5,-109,-119,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,673548,Seiya Suzuki,CHC @ STL,CHC,STL,1.5,115,-149,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823193,683734,Andrew Vaughn,MIL @ SF,MIL,SF,1.5,155,-204,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,668930,Brice Turang,MIL @ SF,MIL,SF,1.5,130,-169,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,592885,Christian Yelich,MIL @ SF,MIL,SF,1.5,161,-213,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,671218,Heliot Ramos,MIL @ SF,SF,MIL,1.5,152,-200,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,694192,Jackson Chourio,MIL @ SF,MIL,SF,1.5,120,-156,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,808982,Jung Hoo Lee,MIL @ SF,SF,MIL,1.5,155,-204,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,650333,Luis Arraez,MIL @ SF,SF,MIL,1.5,118,-154,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,646240,Rafael Devers,MIL @ SF,SF,MIL,1.5,149,-196,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823193,661388,William Contreras,MIL @ SF,MIL,SF,1.5,132,-172,2026-07-28T23:29:32Z,UNKNOWN,,PREGAME
2026-07-28,823275,665487,Fernando Tatis Jr.,COL @ SD,SD,COL,1.5,-102,-127,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,657757,Gavin Sheets,COL @ SD,SD,COL,1.5,171,-227,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,696100,Hunter Goodman,COL @ SD,COL,SD,1.5,158,-208,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,701538,Jackson Merrill,COL @ SD,SD,COL,1.5,118,-154,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,630105,Jake Cronenworth,COL @ SD,SD,COL,1.5,130,-169,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,664983,Jake McCarthy,COL @ SD,COL,SD,1.5,161,-213,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,650859,Luis Rengifo,COL @ SD,SD,COL,1.5,158,-208,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,592518,Manny Machado,COL @ SD,SD,COL,1.5,109,-141,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,666160,Mickey Moniak,COL @ SD,COL,SD,1.5,158,-208,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,681198,TJ Rumfield,COL @ SD,COL,SD,1.5,186,-250,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,664034,Ty France,COL @ SD,SD,COL,1.5,120,-156,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823275,593428,Xander Bogaerts,COL @ SD,SD,COL,1.5,178,-238,2026-07-28T23:29:03Z,UNKNOWN,,PREGAME
2026-07-28,823676,686797,Brooks Lee,KC @ MIN,MIN,KC,1.5,141,-185,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,621439,Byron Buxton,KC @ MIN,MIN,KC,1.5,-123,-104,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,695600,Carter Jensen,KC @ MIN,KC,MIN,1.5,132,-172,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,695506,Jac Caglianone,KC @ MIN,KC,MIN,1.5,113,-147,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,605137,Josh Bell,KC @ MIN,MIN,KC,1.5,126,-164,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,665019,Kody Clemens,KC @ MIN,MIN,KC,1.5,102,-132,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,657041,Lane Thomas,KC @ MIN,KC,MIN,1.5,146,-192,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,807712,Luke Keaschall,KC @ MIN,MIN,KC,1.5,161,-213,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,679845,Nick Loftin,KC @ MIN,KC,MIN,1.5,174,-233,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,668904,Royce Lewis,KC @ MIN,MIN,KC,1.5,134,-175,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,680777,Ryan Jeffers,KC @ MIN,MIN,KC,1.5,113,-147,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,521692,Salvador Perez,KC @ MIN,KC,MIN,1.5,134,-175,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,663616,Trevor Larnach,KC @ MIN,MIN,KC,1.5,112,-145,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,605170,Victor Caratini,KC @ MIN,MIN,KC,1.5,136,-179,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823676,686469,Vinnie Pasquantino,KC @ MIN,KC,MIN,1.5,144,-189,2026-07-28T23:29:36Z,UNKNOWN,,PREGAME
2026-07-28,823923,681624,Andy Pages,SEA @ LAD,LAD,SEA,1.5,113,-147,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,663728,Cal Raleigh,SEA @ LAD,SEA,LAD,1.5,152,-200,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,702284,Cole Young,SEA @ LAD,SEA,LAD,1.5,146,-192,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,687221,Dalton Rushing,SEA @ LAD,LAD,SEA,1.5,152,-200,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,686527,Dominic Canzone,SEA @ LAD,SEA,LAD,1.5,146,-192,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,518692,Freddie Freeman,SEA @ LAD,LAD,SEA,1.5,-105,-123,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,647304,Josh Naylor,SEA @ LAD,SEA,LAD,1.5,171,-227,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,663656,Kyle Tucker,SEA @ LAD,LAD,SEA,1.5,152,-200,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,571970,Max Muncy,SEA @ LAD,LAD,SEA,1.5,118,-154,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,605141,Mookie Betts,SEA @ LAD,LAD,SEA,1.5,132,-172,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,668227,Randy Arozarena,SEA @ LAD,SEA,LAD,1.5,115,-149,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,608701,Rob Refsnyder,SEA @ LAD,SEA,LAD,1.5,186,-250,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,660271,Shohei Ohtani,SEA @ LAD,LAD,SEA,1.5,-125,-103,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,823923,669242,Tommy Edman,SEA @ LAD,LAD,SEA,1.5,139,-182,2026-07-28T23:30:09Z,UNKNOWN,,PREGAME
2026-07-28,824003,701358,Cam Smith,HOU @ LAA,HOU,LAA,1.5,171,-227,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,572233,Christian Walker,HOU @ LAA,HOU,LAA,1.5,134,-175,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,670623,Isaac Paredes,HOU @ LAA,HOU,LAA,1.5,146,-192,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,666176,Jo Adell,HOU @ LAA,LAA,HOU,1.5,161,-213,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,624585,Jorge Soler,HOU @ LAA,LAA,HOU,1.5,158,-208,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,514888,Jose Altuve,HOU @ LAA,HOU,LAA,1.5,141,-185,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,545361,Mike Trout,HOU @ LAA,LAA,HOU,1.5,128,-167,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,694384,Nolan Schanuel,HOU @ LAA,LAA,HOU,1.5,167,-222,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,687093,Vaughn Grissom,HOU @ LAA,LAA,HOU,1.5,161,-213,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,673237,Yainer Diaz,HOU @ LAA,HOU,LAA,1.5,152,-200,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,670541,Yordan Alvarez,HOU @ LAA,HOU,LAA,1.5,-108,-120,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824003,687263,Zach Neto,HOU @ LAA,LAA,HOU,1.5,124,-161,2026-07-28T23:29:40Z,UNKNOWN,,PREGAME
2026-07-28,824569,642708,Amed Rosario,NYY @ CWS,NYY,CWS,1.5,141,-185,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,643217,Andrew Benintendi,NYY @ CWS,CWS,NYY,1.5,178,-238,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,683011,Anthony Volpe,NYY @ CWS,NYY,CWS,1.5,171,-227,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,700250,Ben Rice,NYY @ CWS,NYY,CWS,1.5,126,-164,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,695657,Colson Montgomery,NYY @ CWS,CWS,NYY,1.5,152,-200,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,691176,Jasson Domínguez,NYY @ CWS,NYY,CWS,1.5,146,-192,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,678246,Miguel Vargas,NYY @ CWS,CWS,NYY,1.5,128,-167,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,808959,Munetaka Murakami,NYY @ CWS,CWS,NYY,1.5,146,-192,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,502671,Paul Goldschmidt,NYY @ CWS,NYY,CWS,1.5,122,-159,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,803011,Sam Antonacci,NYY @ CWS,CWS,NYY,1.5,152,-200,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824569,663757,Trent Grisham,NYY @ CWS,NYY,CWS,1.5,171,-227,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,824976,655316,Andruw Monasterio,BOS @ ATH,BOS,ATH,1.5,134,-175,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,702332,Caleb Durbin,BOS @ ATH,BOS,ATH,1.5,122,-159,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,678882,Ceddanne Rafaela,BOS @ ATH,BOS,ATH,1.5,103,-133,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,703607,Henry Bolte,BOS @ ATH,ATH,BOS,1.5,144,-189,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,805779,Jacob Wilson,BOS @ ATH,ATH,BOS,1.5,-108,-120,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,680776,Jarren Duran,BOS @ ATH,BOS,ATH,1.5,136,-179,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,641680,Jonah Heim,BOS @ ATH,ATH,BOS,1.5,124,-161,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,701762,Nick Kurtz,BOS @ ATH,ATH,BOS,1.5,113,-147,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,663853,Romy Gonzalez,BOS @ ATH,BOS,ATH,1.5,-108,-120,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,695720,Tommy White,BOS @ ATH,ATH,BOS,1.5,136,-179,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,691016,Tyler Soderstrom,BOS @ ATH,ATH,BOS,1.5,126,-164,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,575929,Willson Contreras,BOS @ ATH,BOS,ATH,1.5,-119,-109,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
2026-07-28,824976,677800,Wilyer Abreu,BOS @ ATH,BOS,ATH,1.5,106,-137,2026-07-28T23:28:58Z,UNKNOWN,,PREGAME
