scope,scope_value,confidence_ordering,quantile,rows,mean_probability,observed_rate,brier
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,second20,1253,0.5624144588986432,0.5594573024740622,0.24674253725785397
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,middle20,1254,0.6065629457735248,0.5940988835725678,0.2412579140617464
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,fourth20,1253,0.6488926129289704,0.6376695929768555,0.23082297826816442
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,top20,1254,0.7084241953748007,0.6156299840510366,0.2458376276410439
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,top10,627,0.7311791961722488,0.6124401913875598,0.25142338479931736
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,bottom20,1469,0.4604338274375903,0.48944860449285227,0.2508424009334617
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,second20,1470,0.5252117501829802,0.5625850340136055,0.24732384396821558
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,middle20,1469,0.5717739533243115,0.5895166780122533,0.24181370375405772
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,fourth20,1470,0.6167704427681338,0.5877551020408164,0.24296243123327516
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,top20,1470,0.6813719039095848,0.6265306122448979,0.23687193528403053
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,NEAR_MONOTONIC,top10,735,0.7068380049625205,0.6340136054421769,0.23672737616578687
