slate_date,run_tag,identities,games,recovery_classification,odds_path,odds_sha256,roster_path,roster_sha256
2026-06-21,local_daily_20260621T124133Z,156,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-21/odds_mlb_playerprops__local_daily_20260621T124133Z.json,e286869244749a8f462692de17cd75d24092d3f88105001392b7456079e81843,backend/mlb/exports/odds_history/2026-06-21/mlb_predictions_wide_calibrated__local_daily_20260621T124133Z.csv,3128dea12b762aa7ce01985537f38c2b377c158b6441a47f7fe24088174f600d
2026-06-22,local_daily_20260622T123000Z,133,12,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T123000Z.json,ee47d6cfd4705fa2608d1bfe4553b6ff128cc870ab1132d5d9cf89d6364e94b8,backend/mlb/exports/odds_history/2026-06-22/mlb_predictions_wide_calibrated__local_daily_20260622T123000Z.csv,75c23d30b085522b225cfa6aef83b2cb9ce5a0c125a4b7c2bfd9d87a56a6e5a9
2026-06-23,local_daily_20260623T123004Z,168,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T123004Z.json,604eac497d4ce0fb0b2e1a74267a1a55dffb53dd0abe0dbdae5c1d951559a075,backend/mlb/exports/odds_history/2026-06-23/mlb_predictions_wide_calibrated__local_daily_20260623T123004Z.csv,f419cf8d62d01409c8802e8648a1506cfcd58d4cd1ff3e0337171b4212a61cf6
2026-06-24,local_daily_20260624T123004Z,160,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-24/odds_mlb_playerprops__local_daily_20260624T123004Z.json,777b41df360a5355d0e85138ab4c38b48330116f977338becb0b28414040a9c0,backend/mlb/exports/odds_history/2026-06-24/mlb_predictions_wide_calibrated__local_daily_20260624T123004Z.csv,b83996290e6974dda06caa989e40fdd5ce341e6503ffc93f214add9ff089ff32
2026-06-25,local_daily_20260625T124202Z,110,9,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-25/odds_mlb_playerprops__local_daily_20260625T124202Z.json,4cf273496bed04154fd901dfbe522cc40f84b8301059e3b59185b53ae14ac9b3,backend/mlb/exports/odds_history/2026-06-25/mlb_predictions_wide_calibrated__local_daily_20260625T124202Z.csv,1b3ffed58cd08a8ce50bf9f71df45f8e0b3ed5df946726bc994166a8fdd31990
2026-06-26,local_daily_20260626T124026Z,148,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-26/odds_mlb_playerprops__local_daily_20260626T124026Z.json,4f32077351635f705992f69cfabc6ac1f184c9233caf1a07a3792b3f37f6d6c8,backend/mlb/exports/odds_history/2026-06-26/mlb_predictions_wide_calibrated__local_daily_20260626T124026Z.csv,b4f3fc4440f1b6f8536ec0542aa98526744e20844466af704a09b9bec8c82051
2026-06-27,local_daily_20260627T123520Z,183,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-27/odds_mlb_playerprops__local_daily_20260627T123520Z.json,84541241db88fffac97560cd696b2106c63202485b699e7594a0e1751f86bcde,backend/mlb/exports/odds_history/2026-06-27/mlb_predictions_wide_calibrated__local_daily_20260627T123520Z.csv,2da01e1a2aa211c65c0f614a044ca821ffa2a3191156f84e35eea2c5349d3294
2026-06-28,local_daily_20260628T123818Z,170,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-28/odds_mlb_playerprops__local_daily_20260628T123818Z.json,227506330adb00082372c8847ec7e7eb9276b94588be283e7d95b0ac6f78231b,backend/mlb/exports/odds_history/2026-06-28/mlb_predictions_wide_calibrated__local_daily_20260628T123818Z.csv,a02b318064b69fb5eccfec786272d7687f7e84171acf171e6f4225aa57c93bd2
2026-06-29,local_daily_20260629T123000Z,167,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-29/odds_mlb_playerprops__local_daily_20260629T123000Z.json,f5dcfb1a4357b1db9f4d1ecbcaf9759c6587b9dacb935553713b4801f3b3ad65,backend/mlb/exports/odds_history/2026-06-29/mlb_predictions_wide_calibrated__local_daily_20260629T123000Z.csv,8038145bf9bf6b657bbe328c6daf276bed07908d5c288f85e8b7c7bf7cd0a97f
2026-06-30,local_daily_20260630T123001Z,183,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-30/odds_mlb_playerprops__local_daily_20260630T123001Z.json,9ced7e1139ae2a14dedffbe5830eed7e39ec5173d26263b33d8459c7e8853592,backend/mlb/exports/odds_history/2026-06-30/mlb_predictions_wide_calibrated__local_daily_20260630T123001Z.csv,4873d811345bccf4a32c6525e9547768a949106f74dcea6684d74d316992de6f
2026-07-01,local_daily_20260701T123004Z,154,11,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-01/odds_mlb_playerprops__local_daily_20260701T123004Z.json,d38c430dfc713d4d5e649200978de31a916077a8d01ae50d3d5fb7a2f2546fa1,backend/mlb/exports/odds_history/2026-07-01/mlb_predictions_wide_calibrated__local_daily_20260701T123004Z.csv,a1e6aba78db1ec1a8468db473d63dc701fba0c0fe3e1d3eee8b57d7767923733
2026-07-02,local_daily_20260702T123000Z,108,9,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-02/odds_mlb_playerprops__local_daily_20260702T123000Z.json,ad1cab99525c3dba851ba02f5a5dea58970d576ec2a9bc2d387f9ae3097a4c89,backend/mlb/exports/odds_history/2026-07-02/mlb_predictions_wide_calibrated__local_daily_20260702T123000Z.csv,38f41e62681572cbf9b12a8e6918cbafe27f5cb0eb2e19c4be5c67412064a006
2026-07-03,local_daily_20260703T140350Z,166,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-03/odds_mlb_playerprops__local_daily_20260703T140350Z.json,1f35b73e41d4fc90af0f0664b286fdcb7fa6a63fa1d1a8f1772ee32b0749a0ff,backend/mlb/exports/odds_history/2026-07-03/mlb_predictions_wide_calibrated__local_daily_20260703T140350Z.csv,fc289147ed5e4e286c60263ed0dc90ea44a0069fdc7a340c94efd222e998134c
2026-07-04,local_daily_20260704T123003Z,193,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-04/odds_mlb_playerprops__local_daily_20260704T123003Z.json,bca374c76becdb64e610045c8334374ce38667f27dcac646e1b416eb6a391c0a,backend/mlb/exports/odds_history/2026-07-04/mlb_predictions_wide_calibrated__local_daily_20260704T123003Z.csv,54986f41e7badc3b1330ef3bf40e9d61e093b12c1262fb9c3683a9009c8dcf70
2026-07-05,local_daily_20260705T124201Z,183,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-05/odds_mlb_playerprops__local_daily_20260705T124201Z.json,6733269a0b758a524e653c7de9f577cecaa4594f306b1f0f72a7c756321dc8a6,backend/mlb/exports/odds_history/2026-07-05/mlb_predictions_wide_calibrated__local_daily_20260705T124201Z.csv,f4553d8a8f34b128823b2ec804e0de999a43f45e2d441b28ebf75f73daa1d191
2026-07-06,local_daily_20260706T123011Z,97,8,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-06/odds_mlb_playerprops__local_daily_20260706T123011Z.json,122ebdd47f26b796cff9186a95a3c6f57fdfc56fe14624942b22f4044389efe0,backend/mlb/exports/odds_history/2026-07-06/mlb_predictions_wide_calibrated__local_daily_20260706T123011Z.csv,03dd90fb63a7f08c419af36563b1a47b8be99cc5c8a48a766cbb9fa4063dadf7
2026-07-07,local_daily_20260707T123005Z,165,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-07/odds_mlb_playerprops__local_daily_20260707T123005Z.json,dcd03dde110e887e20e1c17d6915b64542d025ff924b1e02d523f93bba183f37,backend/mlb/exports/odds_history/2026-07-07/mlb_predictions_wide_calibrated__local_daily_20260707T123005Z.csv,6351d47e8104dcafd83d3ac201db46d0c3752fc5b6911c91b42eaf753b8ec6b4
2026-07-08,local_daily_20260708T124203Z,143,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-08/odds_mlb_playerprops__local_daily_20260708T124203Z.json,4fd2d777512ddf286b837b28b2463f16caea7ce27d89a39c457ea4527d3e84ad,backend/mlb/exports/odds_history/2026-07-08/mlb_predictions_wide_calibrated__local_daily_20260708T124203Z.csv,d630b210a82f39feab817d86861ad095411dde93cb39ff2604986b4d605ef529
2026-07-09,local_daily_20260709T123644Z,127,11,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-09/odds_mlb_playerprops__local_daily_20260709T123644Z.json,f1d548e14761733a50ad125f33b96569898d8c46ba10dc36a9233b8c43c3b9b7,backend/mlb/exports/odds_history/2026-07-09/mlb_predictions_wide_calibrated__local_daily_20260709T123644Z.csv,b021e560abc078012ffe5f66325d495c1468008f364742d1f81d0655ca4c01bc
2026-07-10,local_daily_20260710T124202Z,186,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-10/odds_mlb_playerprops__local_daily_20260710T124202Z.json,6cfd7fe5f5a9ea7bb3d1b48206690fd0474fe1ce6a40557b20172f1de43941a7,backend/mlb/exports/odds_history/2026-07-10/mlb_predictions_wide_calibrated__local_daily_20260710T124202Z.csv,af3463c15313f4b22b45f7dde8dc165ee8ac095535dc3da99ec0d8965a0b6e25
2026-07-11,local_daily_20260711T123425Z,140,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-11/odds_mlb_playerprops__local_daily_20260711T123425Z.json,063d93124c99a809473809b4091d3bbfff6b4001b3d05f4baea14c06e3926a75,backend/mlb/exports/odds_history/2026-07-11/mlb_predictions_wide_calibrated__local_daily_20260711T123425Z.csv,51a7443c0ac3f0739eed9e38b1d0a8e3850908862564e395dcea1f17df980d51
2026-07-12,local_daily_20260712T123143Z,173,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-12/odds_mlb_playerprops__local_daily_20260712T123143Z.json,d599aecc8f82cf90069bfadb38c0e377ae469942248731f9a2357e8358731d25,backend/mlb/exports/odds_history/2026-07-12/mlb_predictions_wide_calibrated__local_daily_20260712T123143Z.csv,945d5b823a6868d20460f554fa17991eae0430001abb607d6b3aa1e3a0c7bab5
2026-07-19,local_daily_20260719T123535Z,182,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-19/odds_mlb_playerprops__local_daily_20260719T123535Z.json,c23eb11e057c984c76dbfd66e3781681980e1dee118ab7284018c39bffc7282c,backend/mlb/exports/odds_history/2026-07-19/mlb_predictions_wide_calibrated__local_daily_20260719T123535Z.csv,a3b42e3080de13606c903de2468c6a942f362ea01442bdac7ce2f7777c0a526b
2026-07-20,local_daily_20260720T124009Z,188,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-20/odds_mlb_playerprops__local_daily_20260720T124009Z.json,1e98cfca27c340fcd5de815cbef91d8ac3febde57882a69f0d9b7a2f821b36f5,backend/mlb/exports/odds_history/2026-07-20/mlb_predictions_wide_calibrated__local_daily_20260720T124009Z.csv,47d8c797dfdefdcbc2c0317894b068c157d3a863559d7d3c8bdaa178d28e479e
2026-07-21,local_daily_20260721T123231Z,191,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-21/odds_mlb_playerprops__local_daily_20260721T123231Z.json,f46336bc95686063c2789b036f69f75c88e2842fad848f56541f4682fff6db3c,backend/mlb/exports/odds_history/2026-07-21/mlb_predictions_wide_calibrated__local_daily_20260721T123231Z.csv,9ac1e6d7912a47c0ea5243b2909cb65bc3ad5eaf1d815e913a98831e1c92cdd3
2026-07-22,local_daily_20260722T123956Z,210,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-22/odds_mlb_playerprops__local_daily_20260722T123956Z.json,a69e393d6e6dd71e1179b9235c6b7889d42b4da636f5cb0f5bab084a7b46c7f9,backend/mlb/exports/odds_history/2026-07-22/mlb_predictions_wide_calibrated__local_daily_20260722T123956Z.csv,c8cc7b40e852c34fbe94c169a57b6e4a5643a6875f547da144e02faaa1366a3e
2026-07-23,local_daily_20260723T124025Z,46,4,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-23/odds_mlb_playerprops__local_daily_20260723T124025Z.json,7a6f8aa2bd4920c7344a3b60243c2cf13f929fae6fc97be60dd1426bd9666e2c,backend/mlb/exports/odds_history/2026-07-23/mlb_predictions_wide_calibrated__local_daily_20260723T124025Z.csv,27535afa67c34c599129694aee0527e6b66ed19c63a2f968f5a85ac251846336
2026-07-24,local_daily_20260724T123005Z,166,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-24/odds_mlb_playerprops__local_daily_20260724T123005Z.json,33a80281b7daa9f777ddb9e421ad0c252e2c0bbbad00819f7e691bf39810bdf2,backend/mlb/exports/odds_history/2026-07-24/mlb_predictions_wide_calibrated__local_daily_20260724T123005Z.csv,171538a151d4fc641f2b1bc3cad4ca1b0de1b48149d74a022e6edc100df78989
2026-07-25,local_daily_20260725T123005Z,170,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-25/odds_mlb_playerprops__local_daily_20260725T123005Z.json,d0c0463408c58ce1fb3f6a04606f8df2479cad4812ce83903c92855c4850b1b3,backend/mlb/exports/odds_history/2026-07-25/mlb_predictions_wide_calibrated__local_daily_20260725T123005Z.csv,40652d79bb7895d2a90f5fee53127fae308e9629182a37d01dbde01dd556e02d
2026-07-26,local_daily_20260726T123004Z,191,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-26/odds_mlb_playerprops__local_daily_20260726T123004Z.json,3c16ac4ba89510b3e5bc1b7190a6448256773e339593435ae7f1155cc36e72fb,backend/mlb/exports/odds_history/2026-07-26/mlb_predictions_wide_calibrated__local_daily_20260726T123004Z.csv,5c074696d038eb99210a0ee17c0ad132b40c72afb226d0fdffd21e07c83ae996
2026-07-27,local_daily_20260727T123005Z,131,11,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-27/odds_mlb_playerprops__local_daily_20260727T123005Z.json,cb243dcc11fa6604db77761bdb0e527dcf14a3736e7c37bc77559284f75d4030,backend/mlb/exports/odds_history/2026-07-27/mlb_predictions_wide_calibrated__local_daily_20260727T123005Z.csv,fc71896741f3a775c35ad74bce6d99191e940d52794db5b9a5671299e5578803
2026-07-28,local_daily_20260728T123001Z,193,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-07-28/odds_mlb_playerprops__local_daily_20260728T123001Z.json,f207daba600e89490759e7195d8d2f60134658bf02c1553968328e4d06653447,backend/mlb/exports/odds_history/2026-07-28/mlb_predictions_wide_calibrated__local_daily_20260728T123001Z.csv,334450e84b7f41a457fc6dea2e5986d73db239f862534d68d277ea63432414c5
