slate_date,run_tag,odds_payload_present,same_run_roster_present,raw_exact_rows,decision,reason
2026-05-07,local_daily_20260507T180001Z,YES,YES,76,ELIGIBLE,ELIGIBLE
2026-05-07,local_daily_20260507T200001Z,YES,YES,34,ELIGIBLE,ELIGIBLE
2026-05-07,local_daily_20260507T233001Z,YES,YES,8,ELIGIBLE,ELIGIBLE
2026-05-08,local_daily_20260508T123001Z,YES,YES,154,ELIGIBLE,ELIGIBLE
2026-05-08,local_daily_20260508T163004Z,YES,YES,112,ELIGIBLE,ELIGIBLE
2026-05-08,local_daily_20260508T180005Z,YES,YES,111,ELIGIBLE,ELIGIBLE
2026-05-08,local_daily_20260508T200001Z,YES,YES,114,ELIGIBLE,ELIGIBLE
2026-05-08,local_daily_20260508T233005Z,YES,YES,64,ELIGIBLE,ELIGIBLE
2026-05-09,local_daily_20260509T123001Z,YES,YES,174,ELIGIBLE,ELIGIBLE
2026-05-09,local_daily_20260509T163005Z,YES,YES,132,ELIGIBLE,ELIGIBLE
2026-05-09,local_daily_20260509T180001Z,YES,YES,128,ELIGIBLE,ELIGIBLE
2026-05-09,local_daily_20260509T200002Z,YES,YES,112,ELIGIBLE,ELIGIBLE
2026-05-09,local_daily_20260509T233003Z,YES,YES,12,ELIGIBLE,ELIGIBLE
2026-05-10,local_daily_20260510T123005Z,YES,YES,169,ELIGIBLE,ELIGIBLE
2026-05-10,local_daily_20260510T163005Z,YES,YES,115,ELIGIBLE,ELIGIBLE
2026-05-10,local_daily_20260510T180002Z,YES,YES,69,ELIGIBLE,ELIGIBLE
2026-05-10,local_daily_20260510T200005Z,YES,YES,43,ELIGIBLE,ELIGIBLE
2026-05-10,local_daily_20260510T233000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-11,local_daily_20260511T123000Z,YES,YES,53,ELIGIBLE,ELIGIBLE
2026-05-11,local_daily_20260511T163000Z,YES,YES,48,ELIGIBLE,ELIGIBLE
2026-05-11,local_daily_20260511T180005Z,YES,YES,46,ELIGIBLE,ELIGIBLE
2026-05-11,local_daily_20260511T200005Z,YES,YES,46,ELIGIBLE,ELIGIBLE
2026-05-11,local_daily_20260511T233002Z,YES,YES,26,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T123004Z,YES,YES,153,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T154401Z,YES,YES,136,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T163005Z,YES,YES,131,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T180005Z,YES,YES,133,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T200003Z,YES,YES,134,ELIGIBLE,ELIGIBLE
2026-05-12,local_daily_20260512T233004Z,YES,YES,66,ELIGIBLE,ELIGIBLE
2026-05-13,local_daily_20260513T123003Z,YES,YES,130,ELIGIBLE,ELIGIBLE
2026-05-13,local_daily_20260513T163000Z,YES,YES,122,ELIGIBLE,ELIGIBLE
2026-05-13,local_daily_20260513T180005Z,YES,YES,114,ELIGIBLE,ELIGIBLE
2026-05-13,local_daily_20260513T200005Z,YES,YES,115,ELIGIBLE,ELIGIBLE
2026-05-13,local_daily_20260513T233004Z,YES,YES,54,ELIGIBLE,ELIGIBLE
2026-05-14,local_daily_20260514T123002Z,YES,YES,126,ELIGIBLE,ELIGIBLE
2026-05-14,local_daily_20260514T163000Z,YES,YES,78,ELIGIBLE,ELIGIBLE
2026-05-14,local_daily_20260514T180005Z,YES,YES,42,ELIGIBLE,ELIGIBLE
2026-05-14,local_daily_20260514T200004Z,YES,YES,26,ELIGIBLE,ELIGIBLE
2026-05-14,local_daily_20260514T234212Z,YES,YES,11,ELIGIBLE,ELIGIBLE
2026-05-15,local_daily_20260515T123000Z,YES,YES,125,ELIGIBLE,ELIGIBLE
2026-05-15,local_daily_20260515T163005Z,YES,YES,125,ELIGIBLE,ELIGIBLE
2026-05-15,local_daily_20260515T180004Z,YES,YES,127,ELIGIBLE,ELIGIBLE
2026-05-15,local_daily_20260515T200005Z,YES,YES,126,ELIGIBLE,ELIGIBLE
2026-05-15,local_daily_20260515T233002Z,YES,YES,66,ELIGIBLE,ELIGIBLE
2026-05-16,local_daily_20260516T123000Z,YES,YES,183,ELIGIBLE,ELIGIBLE
2026-05-16,local_daily_20260516T163005Z,YES,YES,135,ELIGIBLE,ELIGIBLE
2026-05-16,local_daily_20260516T180005Z,YES,YES,132,ELIGIBLE,ELIGIBLE
2026-05-16,local_daily_20260516T200001Z,YES,YES,103,ELIGIBLE,ELIGIBLE
2026-05-16,local_daily_20260516T233002Z,YES,YES,22,ELIGIBLE,ELIGIBLE
2026-05-17,local_daily_20260517T123002Z,YES,YES,140,ELIGIBLE,ELIGIBLE
2026-05-17,local_daily_20260517T163001Z,YES,YES,129,ELIGIBLE,ELIGIBLE
2026-05-17,local_daily_20260517T180005Z,YES,YES,73,ELIGIBLE,ELIGIBLE
2026-05-17,local_daily_20260517T200005Z,YES,YES,22,ELIGIBLE,ELIGIBLE
2026-05-17,local_daily_20260517T233002Z,YES,YES,3,ELIGIBLE,ELIGIBLE
2026-05-18,local_daily_20260518T123000Z,YES,YES,183,ELIGIBLE,ELIGIBLE
2026-05-18,local_daily_20260518T163004Z,YES,YES,131,ELIGIBLE,ELIGIBLE
2026-05-18,local_daily_20260518T180005Z,YES,YES,131,ELIGIBLE,ELIGIBLE
2026-05-18,local_daily_20260518T200005Z,YES,YES,140,ELIGIBLE,ELIGIBLE
2026-05-18,local_daily_20260518T233000Z,YES,YES,67,ELIGIBLE,ELIGIBLE
2026-05-19,local_daily_20260519T123000Z,YES,YES,172,ELIGIBLE,ELIGIBLE
2026-05-19,local_daily_20260519T163005Z,YES,YES,157,ELIGIBLE,ELIGIBLE
2026-05-19,local_daily_20260519T180005Z,YES,YES,151,ELIGIBLE,ELIGIBLE
2026-05-19,local_daily_20260519T200005Z,YES,YES,138,ELIGIBLE,ELIGIBLE
2026-05-19,local_daily_20260519T233000Z,YES,YES,69,ELIGIBLE,ELIGIBLE
2026-05-20,local_daily_20260520T123004Z,YES,YES,149,ELIGIBLE,ELIGIBLE
2026-05-20,local_daily_20260520T163004Z,YES,YES,125,ELIGIBLE,ELIGIBLE
2026-05-20,local_daily_20260520T180005Z,YES,YES,92,ELIGIBLE,ELIGIBLE
2026-05-20,local_daily_20260520T200005Z,YES,YES,71,ELIGIBLE,ELIGIBLE
2026-05-20,local_daily_20260520T233002Z,YES,YES,39,ELIGIBLE,ELIGIBLE
2026-05-21,local_daily_20260521T123004Z,YES,YES,63,ELIGIBLE,ELIGIBLE
2026-05-21,local_daily_20260521T163000Z,YES,YES,53,ELIGIBLE,ELIGIBLE
2026-05-21,local_daily_20260521T180005Z,YES,YES,44,ELIGIBLE,ELIGIBLE
2026-05-21,local_daily_20260521T200002Z,YES,YES,43,ELIGIBLE,ELIGIBLE
2026-05-21,local_daily_20260521T233001Z,YES,YES,22,ELIGIBLE,ELIGIBLE
2026-05-22,local_daily_20260522T123000Z,YES,YES,148,ELIGIBLE,ELIGIBLE
2026-05-22,local_daily_20260522T163004Z,YES,YES,112,ELIGIBLE,ELIGIBLE
2026-05-22,local_daily_20260522T180003Z,YES,YES,112,ELIGIBLE,ELIGIBLE
2026-05-22,local_daily_20260522T200005Z,YES,YES,98,ELIGIBLE,ELIGIBLE
2026-05-22,local_daily_20260522T233001Z,YES,YES,68,ELIGIBLE,ELIGIBLE
2026-05-23,local_daily_20260523T123002Z,YES,YES,171,ELIGIBLE,ELIGIBLE
2026-05-23,local_daily_20260523T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-23,local_daily_20260523T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-23,local_daily_20260523T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-23,local_daily_20260523T233002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-24,local_daily_20260524T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-24,local_daily_20260524T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-24,local_daily_20260524T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-24,local_daily_20260524T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-24,local_daily_20260524T233001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-25,local_daily_20260525T123430Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-25,local_daily_20260525T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-25,local_daily_20260525T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-25,local_daily_20260525T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-25,local_daily_20260525T233003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-26,local_daily_20260526T123000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-26,local_daily_20260526T163003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-26,local_daily_20260526T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-26,local_daily_20260526T200003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-26,local_daily_20260526T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T123005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T180004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T182906Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T184431Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-27,local_daily_20260527T233005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-28,local_daily_20260528T123005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-28,local_daily_20260528T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-28,local_daily_20260528T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-28,local_daily_20260528T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-28,local_daily_20260528T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T123000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T163003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T232249Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-29,local_daily_20260529T233003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-30,local_daily_20260530T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-30,local_daily_20260530T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-30,local_daily_20260530T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-30,local_daily_20260530T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-30,local_daily_20260530T233001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-31,local_daily_20260531T123003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-31,local_daily_20260531T163001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-31,local_daily_20260531T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-31,local_daily_20260531T200001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-31,local_daily_20260531T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-01,local_daily_20260601T124201Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-01,local_daily_20260601T163004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-01,local_daily_20260601T180001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-01,local_daily_20260601T200002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-01,local_daily_20260601T233000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-02,local_daily_20260602T124203Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-02,local_daily_20260602T163004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-02,local_daily_20260602T180002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-02,local_daily_20260602T200001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-02,local_daily_20260602T233000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-03,local_daily_20260603T123000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-03,local_daily_20260603T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-03,local_daily_20260603T180002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-03,local_daily_20260603T200004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-03,local_daily_20260603T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T123000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T135354Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T145715Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T163001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T200002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-04,local_daily_20260604T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-05,local_daily_20260605T123004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-05,local_daily_20260605T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-05,local_daily_20260605T180001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-05,local_daily_20260605T200004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-05,local_daily_20260605T233002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-06,local_daily_20260606T123003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-06,local_daily_20260606T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-06,local_daily_20260606T180003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-06,local_daily_20260606T200001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-06,local_daily_20260606T233003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-07,local_daily_20260607T123125Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-07,local_daily_20260607T163001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-07,local_daily_20260607T180001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-07,local_daily_20260607T200004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-07,local_daily_20260607T233000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-08,local_daily_20260608T123004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-08,local_daily_20260608T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-08,local_daily_20260608T180003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-08,local_daily_20260608T200004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-08,local_daily_20260608T233005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-09,local_daily_20260609T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-09,local_daily_20260609T163000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-09,local_daily_20260609T180004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-09,local_daily_20260609T200005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-09,local_daily_20260609T233000Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-10,local_daily_20260610T123004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-10,local_daily_20260610T163003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-10,local_daily_20260610T180003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-10,local_daily_20260610T200004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-10,local_daily_20260610T233001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-11,local_daily_20260611T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-11,local_daily_20260611T163001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-11,local_daily_20260611T180004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-11,local_daily_20260611T200002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-11,local_daily_20260611T233003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-12,local_daily_20260612T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-12,local_daily_20260612T163002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-12,local_daily_20260612T180005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-12,local_daily_20260612T200001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-12,local_daily_20260612T233001Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-13,local_daily_20260613T123004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-13,local_daily_20260613T163005Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-13,local_daily_20260613T180004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-13,local_daily_20260613T200002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-13,local_daily_20260613T233002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-14,local_daily_20260614T124103Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-14,local_daily_20260614T163004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-14,local_daily_20260614T180004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-14,local_daily_20260614T200003Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-14,local_daily_20260614T233004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-15,local_daily_20260615T124202Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-06-15,local_daily_20260615T163004Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
