slate_date,run_tag,game_pk,player_mlb_id,market_source,roster_source,recovery_method
2026-05-01,local_daily_20260501T134007Z,823389,656811,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,663886,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,663993,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,664040,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,665833,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,668715,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,668804,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,670770,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,680574,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,682829,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,693304,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,701398,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,502671,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,592450,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,621493,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,624413,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,641355,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,642708,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,668939,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,683002,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823557,694212,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
