slate_date,game_pk,player_mlb_id,player,team,opponent,scheduled_first_pitch_utc,normal_pipeline_run_tag,cohort_freeze_timestamp,provider_event_id,roster_observation_timestamp,roster_ingestion_run,roster_source_payload,roster_source_sha256,over_odds,under_odds,market_observation_timestamp,market_ingestion_run,market_source_payload,market_source_sha256,membership_decision,membership_reason,source_lineage_grade
2026-07-29,822702,695734,Daylen Lile,WSH,TOR,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,136,-179,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,607043,Brandon Nimmo,TEX,TB,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,146,-192,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,666018,Jonathan Aranda,TB,TEX,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,155,-204,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,669394,Jake Burger,TEX,TB,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,141,-185,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,676356,Jonny DeLuca,TB,TEX,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,186,-250,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,691406,Junior Caminero,TB,TEX,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,102,-132,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,694671,Wyatt Langford,TEX,TB,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,124,-161,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,822947,802415,Chandler Simpson,TB,TEX,2026-07-29T22:40:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,f7a4edfc8ce302460d9f8c40851ca78b,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,167,-222,2026-07-29T12:31:13Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,608324,Alex Bregman,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,152,-200,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,608348,Carson Kelly,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,174,-233,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,621020,Dansby Swanson,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,178,-238,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,663538,Nico Hoerner,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,155,-204,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,664023,Ian Happ,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,158,-208,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,673548,Seiya Suzuki,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,132,-172,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,676475,Alec Burleson,STL,CHC,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,144,-189,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,683737,Michael Busch,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,146,-192,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,691023,Jordan Walker,STL,CHC,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,109,-141,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,691026,Masyn Winn,STL,CHC,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,161,-213,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
2026-07-29,823022,691718,Pete Crow-Armstrong,CHC,STL,2026-07-29T23:45:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,c8354a0c9f4876c67feb31fa06f35aa5,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,115,-149,2026-07-29T12:33:01Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED
