slate_date,normal_runs_present,runs_examined_in_original_inventory,original_exclusion_decision,original_missing_requirement,original_evidence_paths_searched,original_run_selected_or_rejected,original_row_count
2026-05-24,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-25,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-26,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-27,7,7,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-28,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-29,6,6,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-30,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-31,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-01,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-02,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-03,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-04,7,7,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-05,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-06,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-07,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-08,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-09,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-10,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-11,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-12,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-13,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-14,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-15,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-16,6,6,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-17,4,4,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
