side,omitted_cluster_type,omitted_cluster,settled_wagers,wins,losses,net,roi
OVER,slate_date,2026-06-21,8490,3218,5272,-4895.926430294905,-0.11533395595512144
OVER,slate_date,2026-06-22,8512,3236,5276,-4793.786820359658,-0.11263596852348821
OVER,slate_date,2026-06-23,8492,3216,5276,-4936.335140159382,-0.11625848186903867
OVER,slate_date,2026-06-24,8488,3215,5273,-4925.723586584035,-0.11606323248312994
OVER,slate_date,2026-06-25,8543,3240,5303,-4907.583146141435,-0.11489132965331697
OVER,slate_date,2026-06-26,8496,3223,5273,-4868.776894977986,-0.11461339206633676
OVER,slate_date,2026-06-27,8469,3208,5261,-4930.913207139606,-0.1164461732705067
OVER,slate_date,2026-06-28,8484,3234,5250,-4696.891035135201,-0.11072350389286187
OVER,slate_date,2026-06-29,8489,3210,5279,-4972.489678320052,-0.11715136478548832
OVER,slate_date,2026-06-30,8476,3210,5266,-4893.024554547053,-0.11545598288218625
OVER,slate_date,2026-07-01,8497,3219,5278,-4899.968807933848,-0.11533408986545483
OVER,slate_date,2026-07-02,8536,3229,5307,-5002.768333324627,-0.11721575288951797
OVER,slate_date,2026-07-03,8481,3218,5263,-4818.984420553301,-0.1136418917710954
OVER,slate_date,2026-07-04,8462,3207,5255,-4840.346788106839,-0.11440195670306876
OVER,slate_date,2026-07-05,8470,3208,5262,-4908.360784915676,-0.1158999004702639
OVER,slate_date,2026-07-06,8545,3236,5309,-4960.67277591742,-0.11610702810807302
OVER,slate_date,2026-07-07,8486,3232,5254,-4718.885669412715,-0.1112157829227602
OVER,slate_date,2026-07-08,8509,3236,5273,-4784.48118535712,-0.11245695581988766
OVER,slate_date,2026-07-09,8518,3232,5286,-4870.49166010094,-0.11435763465839258
OVER,slate_date,2026-07-10,8460,3204,5256,-4925.598576528444,-0.11644441079263461
OVER,slate_date,2026-07-11,8505,3231,5274,-4815.266868633509,-0.11323378879796611
OVER,slate_date,2026-07-12,8474,3215,5259,-4856.252318458961,-0.11461534855933352
OVER,slate_date,2026-07-19,8471,3210,5261,-4885.465548834609,-0.11534566282220773
OVER,slate_date,2026-07-20,8458,3201,5257,-4921.7871463524625,-0.11638181949284612
OVER,slate_date,2026-07-21,8461,3204,5257,-4913.605096315369,-0.11614714800414536
OVER,slate_date,2026-07-22,8450,3201,5249,-4905.88401512412,-0.11611559799110344
OVER,slate_date,2026-07-23,8595,3263,5332,-4905.38069030762,-0.11414498406765841
OVER,slate_date,2026-07-24,8483,3220,5263,-4858.33069030762,-0.11454274879895367
OVER,slate_date,2026-07-25,8476,3222,5254,-4802.380690307615,-0.11331714701056193
OVER,slate_date,2026-07-26,8461,3195,5266,-5017.770460067572,-0.1186093951085586
OVER,slate_date,2026-07-27,8514,3224,5290,-4957.1036176217885,-0.11644593886825907
OVER,slate_date,2026-07-28,8455,3208,5247,-4838.957853584853,-0.11446381676132118
OVER,slate_date,2026-07-29,8497,3221,5276,-4904.285689861626,-0.11543569942006889
OVER,slate_date,2026-07-30,8557,3251,5306,-4859.110319937247,-0.11357041766827737
OVER,slate_date,2026-07-31,8481,3218,5263,-4844.763004948076,-0.11424980556415695
OVER,slate_date,2026-08-01,8548,3241,5307,-4925.260071251106,-0.1152377180919772
OVER,slate_date,2026-08-02,8507,3237,5270,-4768.596430414423,-0.11210994311542077
OVER,month,2026-05,5630,2182,3448,-2789.1969459020243,-0.0990833728561998
