dependent_schema,dependent_object,source_schema,source_object,dependency_type,evidence
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_6,mlb,pitcher_game_v4_features_5,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_base,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
mlb,pitcher_game_v4_features_7,mlb,pitcher_game_v4_features_6,n,pg_depend/pg_rewrite
