schema,object_name,object_type,classification,reason,future_action
mlb,pitcher_game_v4_features_2,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_2_clean,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_3,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_4,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_5,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_6,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_7,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_8,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,player_derived_stats,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,player_ids,TABLE,UNKNOWN_FAIL_CLOSED,MLB purpose or temporal lineage not established in bounded pass,REQUIRES_BLOCKER_RESOLUTION
mlb,player_profiles_cache,TABLE,UNKNOWN_FAIL_CLOSED,MLB purpose or temporal lineage not established in bounded pass,REQUIRES_BLOCKER_RESOLUTION
mlb,player_props,TABLE,ACTIVE_OPERATIONAL,referenced by current MLB daily/market workflow,RETAIN_OPERATIONAL
mlb,player_stats,TABLE,TRUSTED_SOURCE,source identity and official-result lineage established; audited fail-closed,RETAIN_OPERATIONAL
mlb,player_streak_history,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,player_streak_profiles,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,player_team_by_game,TABLE,UNKNOWN_FAIL_CLOSED,MLB purpose or temporal lineage not established in bounded pass,REQUIRES_BLOCKER_RESOLUTION
mlb,prop_features_precomputed,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,today_market_snapshot,MATERIALIZED_VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,today_market_timing_signal,MATERIALIZED_VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,today_odds_book_rows,TABLE,ACTIVE_OPERATIONAL,referenced by current MLB daily/market workflow,RETAIN_OPERATIONAL
mlb,today_player_context,MATERIALIZED_VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,today_slate_rows,TABLE,ACTIVE_OPERATIONAL,referenced by current MLB daily/market workflow,RETAIN_OPERATIONAL
mlb,today_wide_rows,TABLE,ACTIVE_OPERATIONAL,referenced by current MLB daily/market workflow,RETAIN_OPERATIONAL
mlb,today_workspace_mlb,MATERIALIZED_VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
nhl,_points_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,backfill_progress,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,blocked_shot_events,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,data_quality_audit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,eval_sog_daily,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,game_manpower_segments,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,games,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,games_season_audit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,games_season_audit_audit_id_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,games_write_audit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,games_write_audit_audit_id_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalie_game_logs_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalie_roll_feats_m,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalie_rolling_agg,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalies2023_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalies2023_stage_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,goalies_szn_sit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,import_goalie_logs_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,import_player_external_ids_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,import_players_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,import_skater_logs_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,import_skater_points_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,keep_games_filter,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,lines_szn_sit_denali,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,pairing_features_store_v2,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,pairing_features_v2,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_external_ids,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_game_2023_roll,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_game_2023_summary,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_game_2024_roll,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_game_2024_summary,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_game_shots_2023,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_shot_history_denali,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_shot_phoenix_denali,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,player_sog_denali_base,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,players,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,points_training_frame_phoenix,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,pp_roles_slate,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,predictions,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,predictions_prediction_id_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,roster_names,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,roster_status,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_features_game,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_features_rolling_d10,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_features_rolling_d20,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_game,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_game_recent_v2,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shift_teammate_overlap_game_v2,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shiftcharts_pairings_game,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shiftcharts_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shiftcharts_shifts,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shiftcharts_shifts_clean_v2,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shiftcharts_shifts_clean_v3,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shot_on_goal_events,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shot_stats_denali,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shots_all,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shots_stage_2023,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,shots_stage_2024,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_game_logs_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_game_special_teams_exposure,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_points_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_roll_windows_v1,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_rolling_agg,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_rolling_v3,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_shot_game_totals,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skater_special_teams_szn_to_date,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skaters2023_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skaters2023_stage_raw,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skaters_szn_sit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skaters_szn_sit_denali,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,skaters_szn_sit_stage,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,sog_denali_rollups_mv,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,sog_denali_rollups_v,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,sog_training_frame_phoenix,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_context_rolling,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_external_ids,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_game_2023_roll,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_game_2023_summary,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_game_2024_roll,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_game_2024_summary,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_game_sit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_pp_toi_totals_by_date_team,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_roll10_m,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,team_shot_history_denali,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,teams,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,teams_game_sit,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,teams_szn_sit_denali,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,tf_skater_attempts_roll10,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,tf_team_roll10,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_goalie_saves_v2,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_goalie_saves_v2_ready,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_saves_enr_filt,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_saves_enriched,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_sog_enriched,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_sog_enriched_pregame,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_sog_enriched_pregame_v2,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_sog_enriched_pregame_v2_denali_cols,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_nhl_sog_enriched_pregame_v2_mt,MATERIALIZED_VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_shots,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_shots_2023,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_shots_2024,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_shots_v,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_sog_denali,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_sog_denali_export,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_sog_player_game,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,training_features_sog_player_game_v2,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,user_props,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_dqa_goalie_ready_coverage,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_dqa_sog_ready_coverage,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_goalie_game_logs_played,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_site_sog_eval_publish,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_site_sog_predictions_publish,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_skater_game_logs_played,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_skater_logs_clean,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_skater_rolling_agg,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_slate_saves_features,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_slate_sog_features,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
nhl,v_sog_denali_rollups_per_game,VIEW,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
public,mlb_team_map,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
public,opp_starter_per_game,TABLE,UNKNOWN_FAIL_CLOSED,non-MLB object outside bounded source certification,REQUIRES_BLOCKER_RESOLUTION
realtime,messages,PARTITIONED_TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
realtime,messages_2026_02_21,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
realtime,messages_2026_02_22,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
realtime,messages_2026_02_23,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
