lane,period_type,period,rows,model_brier,model_log_loss,model_ece,model_accuracy,model_mean_probability,model_probability_sd,model_observed_rate,model_calibration_gap,betonline_brier,mean_separation
HITS_15_OVER,month,2026-05,22,0.2695848643189091,0.7327553881565799,0.13280372727272724,0.4090909090909091,0.5418946363636364,0.03091004748613371,0.4090909090909091,-0.13280372727272732,0.23791318056699504,0.18654158268392404
HITS_15_OVER,month,2026-06,54,0.2655829380039074,0.7245112972993583,0.2168973148148148,0.3148148148148148,0.5317121296296297,0.025356735267895964,0.3148148148148148,-0.21689731481481483,0.21410440958381785,0.18638020758845109
HITS_15_OVER,month,2026-07,85,0.27286249694160003,0.7393162905908093,0.27895931764705884,0.25882352941176473,0.5377828470588235,0.0343896427340647,0.25882352941176473,-0.2789593176470588,0.20143554897296626,0.18136155705853557
HITS_15_OVER,month,2026-08,3,0.28010875768866667,0.753502472968477,0.5290153333333334,0.0,0.5290153333333334,0.015859848261849458,0.0,-0.5290153333333334,0.1078865484489948,0.20075181786985377
HITS_15_OVER,chronological_third,third_1,55,0.2725647232097273,0.7386459446869182,0.26668140000000007,0.2727272727272727,0.5394086727272728,0.02949372346113632,0.2727272727272727,-0.26668140000000007,0.20298298429913525,0.19080738826774973
HITS_15_OVER,chronological_third,third_2,55,0.2615488442842727,0.7163767040712361,0.16545838181818187,0.36363636363636365,0.5290947454545455,0.02944075836363792,0.36363636363636365,-0.16545838181818184,0.23065739032033097,0.16990716312306375
HITS_15_OVER,chronological_third,third_3,54,0.2764766290399815,0.7466736116858493,0.299352537037037,0.24074074074074073,0.5400932777777778,0.03319737225177378,0.24074074074074073,-0.2993525370370371,0.19242942211071346,0.1916135834428339
HITS_15_UNDER,month,2026-05,262,0.21345561897400384,0.619407710766288,0.1364543320610687,0.7442748091603053,0.6322157137404579,0.0694289271305702,0.7442748091603053,0.11205909541984738,0.19589502347593482,-0.055661250023773964
HITS_15_UNDER,month,2026-06,351,0.22852426169333334,0.6495038418780988,0.0878157891737892,0.6752136752136753,0.5945646894586895,0.05719609896249477,0.6752136752136753,0.0806489857549858,0.22007422528818102,-0.0874422427453719
HITS_15_UNDER,month,2026-07,704,0.22166946801192752,0.6356125648208636,0.08869670312499997,0.6946022727272727,0.6105429502840909,0.06018714663718204,0.6946022727272727,0.08405932244318182,0.21254636304592822,-0.07349706089924206
HITS_15_UNDER,month,2026-08,65,0.20416097589280002,0.5979891323339485,0.09598676923076924,0.7230769230769231,0.6270901538461539,0.05657608420123792,0.7230769230769231,0.09598676923076921,0.21275768928036934,-0.05015706704870017
HITS_15_UNDER,chronological_third,third_1,461,0.22011191949747072,0.632772402809013,0.11505246420824294,0.7158351409978309,0.6168265596529283,0.06581591571055674,0.7158351409978309,0.09900858134490254,0.20598057613211818,-0.06765373827452428
HITS_15_UNDER,chronological_third,third_2,461,0.2284125784804013,0.6493127317522063,0.10737536008676792,0.6789587852494577,0.5975814859002169,0.060242823776680623,0.6789587852494577,0.08137729934924087,0.21770117725761234,-0.08417483297909109
HITS_15_UNDER,chronological_third,third_3,460,0.21455078993734567,0.6207825237453316,0.08953164999999992,0.7065217391304348,0.6197254586956523,0.058894435029647224,0.7065217391304348,0.08679628043478249,0.2102503267429091,-0.06583618172428163
