date,model_hits05_player_games,model_hits05_prediction_rows,original_synchronized_player_games,original_synchronized_rows,recovered_synchronized_player_games,recovered_synchronized_rows,original_pg_per_model_pg,recovered_pg_per_model_pg,original_rows_per_model_rows,recovered_rows_per_model_rows
2026-05-23,297,297,53,53,105,105,0.17845117845117844,0.35353535353535354,0.17845117845117844,0.35353535353535354
2026-05-24,296,296,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-25,241,241,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-26,274,274,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-27,281,281,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-28,117,117,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-29,268,268,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-30,271,271,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-31,281,281,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-01,168,168,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-02,279,279,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-03,262,262,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-04,157,157,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-05,267,267,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-06,266,266,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-07,272,272,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-08,145,145,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-09,257,257,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-10,268,268,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-11,148,148,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-12,266,266,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-13,269,269,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-14,275,275,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-15,186,186,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-16,297,297,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-17,261,261,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-18,173,173,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-19,269,269,153,153,221,221,0.5687732342007435,0.8215613382899628,0.5687732342007435,0.8215613382899628
2026-06-20,270,270,155,155,217,217,0.5740740740740741,0.8037037037037037,0.5740740740740741,0.8037037037037037
2026-06-21,298,298,147,147,213,213,0.49328859060402686,0.714765100671141,0.49328859060402686,0.714765100671141
2026-06-22,246,246,116,116,177,177,0.4715447154471545,0.7195121951219512,0.4715447154471545,0.7195121951219512
2026-06-23,310,310,161,161,220,220,0.5193548387096775,0.7096774193548387,0.5193548387096775,0.7096774193548387
2026-06-24,322,322,151,151,218,218,0.468944099378882,0.6770186335403726,0.468944099378882,0.6770186335403726
2026-06-25,183,183,88,88,123,123,0.4808743169398907,0.6721311475409836,0.4808743169398907,0.6721311475409836
2026-06-26,293,293,173,173,242,242,0.590443686006826,0.825938566552901,0.590443686006826,0.825938566552901
2026-06-27,304,304,163,163,238,238,0.5361842105263158,0.7828947368421053,0.5361842105263158,0.7828947368421053
2026-06-28,323,323,165,165,248,248,0.5108359133126935,0.7678018575851393,0.5108359133126935,0.7678018575851393
2026-06-29,238,238,128,128,189,189,0.5378151260504201,0.7941176470588235,0.5378151260504201,0.7941176470588235
2026-06-30,286,286,131,131,212,212,0.458041958041958,0.7412587412587412,0.458041958041958,0.7412587412587412
2026-07-01,266,266,127,127,204,204,0.4774436090225564,0.7669172932330827,0.4774436090225564,0.7669172932330827
2026-07-02,163,163,108,108,133,133,0.6625766871165644,0.8159509202453987,0.6625766871165644,0.8159509202453987
2026-07-03,243,243,115,115,180,180,0.4732510288065844,0.7407407407407407,0.4732510288065844,0.7407407407407407
2026-07-04,282,282,160,160,222,222,0.5673758865248227,0.7872340425531915,0.5673758865248227,0.7872340425531915
2026-07-05,291,291,126,126,189,189,0.4329896907216495,0.6494845360824743,0.4329896907216495,0.6494845360824743
2026-07-06,154,154,81,81,122,122,0.525974025974026,0.7922077922077922,0.525974025974026,0.7922077922077922
2026-07-07,320,320,154,154,233,233,0.48125,0.728125,0.48125,0.728125
2026-07-08,302,302,161,161,244,244,0.5331125827814569,0.8079470198675497,0.5331125827814569,0.8079470198675497
2026-07-09,255,255,131,131,200,200,0.5137254901960784,0.7843137254901961,0.5137254901960784,0.7843137254901961
2026-07-10,299,299,134,134,201,201,0.44816053511705684,0.6722408026755853,0.44816053511705684,0.6722408026755853
2026-07-11,317,317,143,143,221,221,0.45110410094637227,0.6971608832807571,0.45110410094637227,0.6971608832807571
2026-07-12,297,297,0,0,0,0,0.0,0.0,0.0,0.0
2026-07-13,0,0,0,0,0,0,,,,
2026-07-14,0,0,0,0,0,0,,,,
2026-07-15,0,0,0,0,0,0,,,,
2026-07-16,18,18,0,0,0,0,0.0,0.0,0.0,0.0
2026-07-17,260,260,0,0,0,0,0.0,0.0,0.0,0.0
2026-07-18,285,285,0,0,0,0,0.0,0.0,0.0,0.0
2026-07-19,319,319,150,150,217,217,0.4702194357366771,0.6802507836990596,0.4702194357366771,0.6802507836990596
2026-07-20,281,373,157,157,228,311,0.5587188612099644,0.8113879003558719,0.42091152815013405,0.8337801608579088
2026-07-21,297,396,113,113,191,261,0.38047138047138046,0.6430976430976431,0.28535353535353536,0.6590909090909091
2026-07-22,339,448,163,163,234,330,0.4808259587020649,0.6902654867256637,0.3638392857142857,0.7366071428571429
2026-07-23,102,145,62,62,74,110,0.6078431372549019,0.7254901960784313,0.42758620689655175,0.7586206896551724
2026-07-24,299,419,177,177,239,345,0.5919732441471572,0.7993311036789298,0.4224343675417661,0.8233890214797136
2026-07-25,308,438,177,177,247,370,0.5746753246753247,0.801948051948052,0.4041095890410959,0.8447488584474886
2026-07-26,306,404,158,158,231,318,0.5163398692810458,0.7549019607843137,0.3910891089108911,0.7871287128712872
2026-07-27,245,323,123,123,167,230,0.5020408163265306,0.6816326530612244,0.38080495356037153,0.7120743034055728
2026-07-28,315,403,145,145,213,289,0.4603174603174603,0.6761904761904762,0.3598014888337469,0.71712158808933
2026-07-29,325,442,150,150,246,343,0.46153846153846156,0.7569230769230769,0.3393665158371041,0.7760180995475113
2026-07-30,194,248,97,97,147,188,0.5,0.7577319587628866,0.3911290322580645,0.7580645161290323
2026-07-31,295,391,168,168,227,311,0.5694915254237288,0.7694915254237288,0.4296675191815857,0.7953964194373402
2026-08-01,298,398,164,164,223,314,0.5503355704697986,0.7483221476510067,0.4120603015075377,0.7889447236180904
2026-08-02,311,414,151,151,216,293,0.4855305466237942,0.6945337620578779,0.3647342995169082,0.7077294685990339
2026-08-03,158,215,0,0,0,0,0.0,0.0,0.0,0.0
2026-08-04,0,0,0,0,0,0,,,,
2026-08-05,0,0,0,0,0,0,,,,
2026-08-06,0,0,0,0,0,0,,,,
2026-08-07,0,0,0,0,0,0,,,,
2026-08-08,0,0,0,0,0,0,,,,
2026-08-09,0,0,0,0,0,0,,,,
2026-08-10,0,0,0,0,0,0,,,,
2026-08-11,0,0,0,0,0,0,,,,
2026-08-12,0,0,0,0,0,0,,,,
2026-08-13,0,0,0,0,0,0,,,,
2026-08-14,0,0,0,0,0,0,,,,
