row_type,feature,pitcher_id,appearances,pitchers,count_vs_date_pearson,count_vs_date_spearman,within_pitcher_declines,same_count_successors,season_resets,mechanical_career_growth,first_date,last_date,first_count,last_count,estimated_count_increase_per_month
PITCHER,home_starter_prior_starts,645261,41,,0.9495010818165076,,0,,,YES,2023-03-30,2026-07-28,0,81,2.0274979440789473
PITCHER,home_starter_prior_starts,647336,23,,0.9579513285667145,,0,,,YES,2023-06-30,2026-06-19,2,46,1.234331797235023
PITCHER,home_starter_prior_starts,650633,39,,0.9803737920208689,,0,,,YES,2023-08-24,2026-07-28,1,75,2.1069925163704397
PITCHER,home_starter_prior_starts,650644,44,,0.9827779986087811,,0,,,YES,2023-04-07,2026-07-04,1,86,2.1851245777027026
PITCHER,home_starter_prior_starts,650911,58,,0.9899166620355774,,0,,,YES,2023-04-22,2026-07-26,0,102,2.6067380352644833
PITCHER,home_starter_prior_starts,656288,42,,0.9688718725228089,,0,,,YES,2023-04-12,2026-07-09,0,78,2.0051731418918917
PITCHER,home_starter_prior_starts,656302,58,,0.9913805915093871,,0,,,YES,2023-04-05,2026-07-31,1,117,2.9107584501236605
PITCHER,home_starter_prior_starts,656412,11,,0.9232331635057912,,0,,,YES,2023-05-13,2024-08-15,1,16,0.9925271739130435
PITCHER,home_starter_prior_starts,656427,49,,0.9907742050553808,,0,,,YES,2023-04-01,2026-07-10,0,103,2.621289715719063
PITCHER,home_starter_prior_starts,656492,10,,0.9990551983643079,,0,,,YES,2026-04-05,2026-07-25,1,20,5.2100225225225225
PITCHER,home_starter_prior_starts,656550,26,,0.9634963755443139,,0,,,YES,2024-08-03,2026-08-04,1,48,1.9569938440492476
PITCHER,home_starter_prior_starts,656557,29,,0.9791657799407749,,0,,,YES,2023-04-02,2025-05-07,0,58,2.304667101827676
PITCHER,home_starter_prior_starts,656605,58,,0.9918974670247613,,0,,,YES,2023-04-11,2026-07-27,2,115,2.8590502909393187
PITCHER,home_starter_prior_starts,656629,14,,0.9982006228005973,,0,,,YES,2023-04-03,2023-09-03,0,25,4.9734477124183005
PITCHER,home_starter_prior_starts,656731,28,,0.973119320290784,,0,,,YES,2023-04-07,2025-06-14,1,53,1.9809136420525657
PITCHER,home_starter_prior_starts,656756,28,,0.95777565218347,,0,,,YES,2023-04-02,2024-08-14,0,49,2.9828750000000004
PITCHER,home_starter_prior_starts,656849,41,,0.9849904667415212,,0,,,YES,2023-04-11,2026-08-01,2,85,2.091318294701987
PITCHER,home_starter_prior_starts,656876,34,,0.8946680595847782,,0,,,YES,2023-04-09,2026-08-01,1,63,1.559607438016529
PITCHER,home_starter_prior_starts,657006,32,,0.9651318351397195,,0,,,YES,2023-04-01,2025-04-07,0,57,2.3540535956580735
PITCHER,home_starter_prior_starts,657277,60,,0.9918830754220886,,0,,,YES,2023-04-10,2026-07-29,2,118,2.927653399668325
PITCHER,home_starter_prior_starts,657376,33,,0.9642649494865492,,0,,,YES,2023-04-01,2025-06-28,0,60,2.22985347985348
PITCHER,home_starter_prior_starts,657746,52,,0.9914660428737538,,0,,,YES,2023-04-08,2026-07-29,1,103,2.57005380794702
PITCHER,home_starter_prior_starts,660271,28,,0.9298637540909791,,0,,,YES,2023-04-11,2026-07-03,2,50,1.2391857506361323
PITCHER,home_starter_prior_starts,661563,22,,0.9183221002827958,,0,,,YES,2024-04-07,2026-04-15,1,41,1.649728997289973
PITCHER,home_starter_prior_starts,663362,16,,0.8202800375406936,,0,,,YES,2023-06-24,2026-04-29,0,35,1.0243389423076923
