evidence_label,model,feature,period,variant,training_mean,training_p95,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,delta_mae_vs_original,delta_rmse_vs_original,delta_actual_minus_forecast_bias_vs_original,delta_crps_vs_original,delta_ladder_brier_vs_original,delta_ladder_log_loss_vs_original,delta_ladder_ece_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,18.73677711463264,49.0,439,8.152934328045996,8.927107061503417,0.7741727334574204,3.6737529111220177,4.701753781789695,2.6133544496452856,0.23143255199529422,0.6566761715018711,0.05580889059992401,-0.004508400882405894,0.02082428901701494,0.11311797609970109,0.011077802314837015,0.0008965228836836925,0.002320315400160866,0.011903268107236777
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,439,8.043474853736246,8.927107061503417,0.8836322077671704,3.673921375833645,4.722020355166058,2.62548203354123,0.23254746936555207,0.6595815096566551,0.06314770192751988,-0.004339936170778547,0.04109086239337767,0.2225774504094511,0.023205386210781498,0.0020114402539415377,0.005225653554944865,0.019242079434832644
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ORIGINAL,18.73677711463264,49.0,126,8.05211873571176,8.61111111111111,0.558992375399351,3.265726718124754,4.092129493546904,2.3138777181992336,0.22434798471609654,0.6408382598645951,0.06835425792700746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,18.73677711463264,49.0,126,7.838760062295744,8.61111111111111,0.7723510488153666,3.2719243659456185,4.101230272726077,2.3211746695110778,0.22603112936614456,0.6450928778068558,0.0872356789952915,0.006197647820864738,0.009100779179173735,0.21335867341601567,0.007296951311844158,0.001683144650048013,0.0042546179422606745,0.01888142106828404
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,18.73677711463264,49.0,126,7.945851079866406,8.61111111111111,0.6652600312447062,3.268005275818618,4.093274911206662,2.315098808009819,0.22492785312131672,0.6422914740872094,0.07770331467111713,0.0022785576938644247,0.0011454176597585075,0.10626765584535525,0.0012210898105853296,0.0005798684052201741,0.0014532142226143518,0.009349056744109671
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,126,7.838760062295744,8.61111111111111,0.7723510488153666,3.2719243659456185,4.101230272726077,2.3211746695110778,0.22603112936614456,0.6450928778068558,0.0872356789952915,0.006197647820864738,0.009100779179173735,0.21335867341601567,0.007296951311844158,0.001683144650048013,0.0042546179422606745,0.01888142106828404
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ORIGINAL,18.666803869108872,49.0,2433,8.673156463520883,8.888203863542952,0.21504740002206743,3.597206636166537,4.591661831793692,2.5315957786140326,0.22718558400314987,0.646296657014328,0.01646743865268339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,18.666803869108872,49.0,2433,8.662503379723374,8.888203863542952,0.2257004838195767,3.596720382769612,4.592307086178285,2.531936255379957,0.22722209020461548,0.6463830129740992,0.01723429959270892,-0.00048625339692520697,0.0006452543845929526,0.01065308379750926,0.00034047676592452447,3.6506201465613675e-05,8.635595977113386e-05,0.0007668609400255308
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,18.666803869108872,49.0,2433,8.66951627072157,8.888203863542952,0.21868759282138103,3.5971144509428665,4.5919798916025165,2.531771240979035,0.22720440668016453,0.6463405245846993,0.01700736403679546,-9.218522367060444e-05,0.00031805980882460005,0.003640192799313602,0.00017546236500232126,1.882267701466822e-05,4.386757037122546e-05,0.0005399253841120687
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,18.666803869108872,49.0,2433,8.662503379723374,8.888203863542952,0.2257004838195767,3.596720382769612,4.592307086178285,2.531936255379957,0.22722209020461548,0.6463830129740992,0.01723429959270892,-0.00048625339692520697,0.0006452543845929526,0.01065308379750926,0.00034047676592452447,3.6506201465613675e-05,8.635595977113386e-05,0.0007668609400255308
